index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.010210486,0.020739356,0.006823243,0.015098367,0.015098369
2,0.051282052,0.022695329,0.046058573,0.014100183,0.029424047,0.029424049
3,0.07692308,0.03677744,0.07531586,0.022619607,0.046826407,0.046826415
4,0.102564104,0.053742908,0.108642906,0.03302803,0.066433445,0.06643345
5,0.12820514,0.076821096,0.14590639,0.041559078,0.08289884,0.08289884
6,0.15384616,0.10544639,0.18815699,0.047615606,0.09639669,0.09639669
7,0.17948718,0.1351583,0.23865885,0.051580966,0.111637235,0.111637235
8,0.20512821,0.16939554,0.2966268,0.05385932,0.12465863,0.124658644
9,0.23076923,0.2076125,0.36431667,0.056116436,0.13752453,0.13752455
10,0.25641027,0.25369054,0.44188198,0.056990966,0.14983144,0.14983146
11,0.2820513,0.30968502,0.53053224,0.05562595,0.16158965,0.16158965
12,0.30769232,0.3748629,0.6331644,0.052512173,0.17171586,0.17171586
13,0.33333334,0.46084738,0.7439345,0.054082714,0.18425006,0.18425006
14,0.35897437,0.55133474,0.8752961,0.071896575,0.19555098,0.19555098
15,0.3846154,0.64986694,1.0289448,0.09342055,0.2041278,0.20412782
16,0.41025642,0.75228536,1.2120651,0.12264921,0.20884763,0.20884763
17,0.43589744,0.8661493,1.4272631,0.15121561,0.20947187,0.20947185
18,0.46153846,0.97728443,1.6845309,0.19719675,0.21052474,0.21052471
19,0.4871795,1.0893599,1.9887843,0.2623592,0.21167667,0.21167666
20,0.5128205,1.2074792,2.3510711,0.3172741,0.21323855,0.21323854
21,0.5384615,1.3736145,2.76147,0.3777335,0.21233132,0.21233132
22,0.56410253,1.6050385,3.218646,0.42811483,0.22546498,0.22546498
23,0.5897436,1.847875,3.7478824,0.51870704,0.2483502,0.2483502
24,0.61538464,2.092314,4.3627653,0.63034105,0.26862666,0.26862663
25,0.64102566,2.3232064,5.0753903,0.7773332,0.29012465,0.29012462
26,0.6666667,2.587228,5.885081,0.96651345,0.3157594,0.31575936
27,0.6923077,2.882225,6.814587,1.2003536,0.3321411,0.33214107
28,0.71794873,3.20401,7.8670354,1.5472237,0.34723216,0.34723213
29,0.74358976,3.6299775,9.067244,1.9056792,0.36646336,0.36646333
30,0.7692308,4.3973513,10.323777,2.2829163,0.38616583,0.3861658
31,0.7948718,5.59348,11.55836,2.693042,0.4128809,0.41288087
32,0.82051283,6.8722243,13.059704,3.2319148,0.4397593,0.43975928
33,0.84615386,8.250849,14.834208,3.9923112,0.46642795,0.46642792
34,0.8717949,9.738155,17.045626,4.69663,0.48019043,0.48019037
35,0.8974359,11.373937,17.910872,4.4961004,0.47764143,0.47764137
36,0.9230769,13.298364,18.298153,3.8712094,0.481669,0.48166895
37,0.94871795,15.487747,18.763378,3.0450056,0.48381853,0.48381847
38,0.974359,18.05056,19.241806,2.0382218,0.48537454,0.48537448
39,1.0,20.914818,18.905684,0.537532,0.48573428,0.48573422
