index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.013645033,0.013759124,0.014224329,0.014690017,0.014690008
2,0.051282052,-0.03133682,0.03039994,0.030148406,0.03412679,0.03412679
3,0.07692308,-0.05056607,0.050328784,0.048929542,0.053638138,0.05363812
4,0.102564104,-0.07144725,0.074466944,0.07090131,0.07192987,0.07192985
5,0.12820514,-0.09386794,0.1041641,0.09550798,0.09399528,0.093995266
6,0.15384616,-0.11227851,0.14374423,0.12238821,0.11526966,0.11526967
7,0.17948718,-0.13443413,0.18852884,0.15284796,0.1465143,0.1465143
8,0.20512821,-0.16172725,0.23871526,0.18782443,0.20659001,0.20659003
9,0.23076923,-0.20492685,0.29417545,0.22011994,0.27624765,0.27624765
10,0.25641027,-0.25473928,0.3562521,0.26171866,0.33738735,0.33738735
11,0.2820513,-0.31004074,0.43242073,0.30731612,0.39096949,0.39096949
12,0.30769232,-0.36928648,0.5212829,0.36501682,0.4448965,0.4448965
13,0.33333334,-0.4392875,0.6208636,0.4342298,0.48561555,0.48561555
14,0.35897437,-0.5179001,0.7305685,0.5204797,0.5192426,0.5192426
15,0.3846154,-0.61099946,0.8543072,0.61889327,0.5632974,0.5632974
16,0.41025642,-0.7150906,1.0021931,0.7287557,0.590926,0.59092605
17,0.43589744,-0.8395332,1.1742337,0.85081124,0.605568,0.60556805
18,0.46153846,-0.98155665,1.3686601,1.0018821,0.63636196,0.636362
19,0.4871795,-1.1307256,1.6019149,1.1825268,0.6739926,0.67399263
20,0.5128205,-1.3053904,1.8681253,1.398508,0.7154355,0.7154355
21,0.5384615,-1.4652932,2.207057,1.6399493,0.77489346,0.77489346
22,0.56410253,-1.6250737,2.605062,1.9236872,0.809761,0.809761
23,0.5897436,-1.8279896,3.0802836,2.2056727,0.81253135,0.81253135
24,0.61538464,-2.0357976,3.6228817,2.5391111,0.7789819,0.7789819
25,0.64102566,-2.2600687,4.2529025,2.9041674,0.6928797,0.6928797
26,0.6666667,-2.545229,4.9705796,3.3055997,0.5962485,0.5962485
27,0.6923077,-2.87514,5.8317842,3.6952567,0.5343616,0.5343616
28,0.71794873,-3.0898278,6.868682,4.1433616,0.5094731,0.5094731
29,0.74358976,-3.297165,8.047772,4.7039657,0.49929312,0.49929315
30,0.7692308,-3.668632,9.434633,5.212538,0.56932753,0.56932753
31,0.7948718,-4.0905757,11.063833,5.739506,0.58713394,0.58713394
32,0.82051283,-4.494932,12.939165,6.4436784,0.575113,0.575113
33,0.84615386,-5.147934,15.119806,7.1008515,0.6877123,0.6877123
34,0.8717949,-5.848805,17.71977,7.7234855,0.9667598,0.9667598
35,0.8974359,-6.4911084,20.682207,8.863771,1.824264,1.824264
36,0.9230769,-6.797332,24.223886,10.091249,3.0686955,3.0686955
37,0.94871795,-6.75518,28.424858,11.01064,4.3538394,4.3538394
38,0.974359,-7.169662,33.071014,12.289038,5.866824,5.866824
39,1.0,-7.2739563,38.581207,13.285839,7.655368,7.655368
