index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.015652703,-0.0029024635,0.018210595,0.023267826,0.023267822
2,0.051282052,0.03371545,-0.006083249,0.040956892,0.050785854,0.050785847
3,0.07692308,0.054303534,-0.0092007015,0.06740143,0.08110638,0.08110635
4,0.102564104,0.08035315,-0.014373586,0.095867604,0.11192253,0.11192249
5,0.12820514,0.110293135,-0.020051334,0.12893371,0.14682849,0.14682844
6,0.15384616,0.14541994,-0.026347708,0.16606747,0.1854972,0.18549713
7,0.17948718,0.18327327,-0.0339892,0.2104054,0.23042421,0.23042417
8,0.20512821,0.22499657,-0.04093045,0.26286978,0.28098363,0.28098357
9,0.23076923,0.2730407,-0.045947015,0.3238833,0.33276078,0.33276075
10,0.25641027,0.33220226,-0.050580088,0.39187074,0.38715214,0.3871521
11,0.2820513,0.40382177,-0.060479213,0.46794644,0.4408014,0.44080138
12,0.30769232,0.48435092,-0.07524084,0.55808586,0.4842916,0.48429158
13,0.33333334,0.58552575,-0.085464016,0.6548233,0.5079398,0.50793976
14,0.35897437,0.70092916,-0.10745075,0.76419806,0.52736586,0.5273658
15,0.3846154,0.8349238,-0.1403797,0.88561916,0.54422736,0.5442273
16,0.41025642,0.9941468,-0.18204284,1.0190943,0.56176335,0.56176335
17,0.43589744,1.1798196,-0.23096216,1.1716125,0.58561677,0.58561677
18,0.46153846,1.3978562,-0.26452574,1.3511708,0.6274572,0.6274572
19,0.4871795,1.6472888,-0.2978916,1.5659959,0.6848915,0.6848915
20,0.5128205,1.928192,-0.32908607,1.8275058,0.75662655,0.75662655
21,0.5384615,2.2617223,-0.37770694,2.1205285,0.8327583,0.8327583
22,0.56410253,2.667292,-0.405312,2.4360843,0.94292915,0.9429292
23,0.5897436,3.165032,-0.45136714,2.7469118,1.0549389,1.0549389
24,0.61538464,3.713986,-0.51807404,3.124808,1.2083194,1.2083194
25,0.64102566,4.3062057,-0.59818995,3.5970364,1.3742458,1.3742458
26,0.6666667,5.0188417,-0.65283024,4.093898,1.5366805,1.5366805
27,0.6923077,5.861973,-0.7221816,4.625039,1.7291666,1.7291666
28,0.71794873,6.860792,-0.85060704,5.181703,1.9744272,1.9744272
29,0.74358976,8.057468,-1.0631667,5.700428,2.2462084,2.2462084
30,0.7692308,9.469759,-1.1317167,6.2625604,2.5398717,2.5398717
31,0.7948718,11.099105,-1.0582955,6.9292274,2.7979426,2.7979426
32,0.82051283,12.894147,-1.1201953,7.9066596,3.1322222,3.1322222
33,0.84615386,14.898237,-1.2343911,9.168255,3.5414371,3.5414371
34,0.8717949,17.177752,-1.6228142,10.677588,3.9945328,3.9945328
35,0.8974359,19.411947,-2.693874,12.759336,4.432977,4.432977
36,0.9230769,21.986439,-3.9503732,15.212526,4.520023,4.520023
37,0.94871795,25.085379,-5.179718,17.934725,4.4420037,4.4420037
38,0.974359,29.034624,-5.8211474,20.672073,4.4816127,4.4816127
39,1.0,33.345753,-5.76368,24.248821,4.797214,4.797214
