index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.009630402,-0.0047747185,0.021529896,0.04070903,0.04070903
2,0.051282052,0.022069406,-0.008500135,0.04758177,0.07445504,0.07445502
3,0.07692308,0.035145603,-0.010044983,0.0784059,0.10581986,0.10581985
4,0.102564104,0.048601605,-0.011251403,0.11480846,0.14690337,0.14690335
5,0.12820514,0.064955145,-0.009899883,0.1564745,0.18213278,0.18213277
6,0.15384616,0.08806381,-0.004190315,0.20208982,0.19741693,0.19741693
7,0.17948718,0.112573266,0.0043456606,0.25480074,0.2171336,0.21713358
8,0.20512821,0.14028029,0.014448645,0.31537065,0.23760112,0.2376011
9,0.23076923,0.17297114,0.024518963,0.3852453,0.25007653,0.2500765
10,0.25641027,0.21564963,0.040897693,0.46306407,0.26331756,0.26331753
11,0.2820513,0.26468945,0.059861712,0.55388033,0.27881968,0.27881965
12,0.30769232,0.31881344,0.080570936,0.66107273,0.29676792,0.2967679
13,0.33333334,0.3796007,0.105443165,0.7852257,0.3160796,0.31607956
14,0.35897437,0.44797206,0.13637653,0.927268,0.33531672,0.33531666
15,0.3846154,0.51940453,0.16411816,1.0942245,0.35196665,0.3519666
16,0.41025642,0.5938683,0.18531679,1.2913946,0.36117563,0.36117557
17,0.43589744,0.6906706,0.20327099,1.5158173,0.3678547,0.36785465
18,0.46153846,0.8075906,0.2124072,1.7750243,0.3910038,0.39100373
19,0.4871795,0.9456902,0.22792971,2.0756376,0.42454618,0.42454612
20,0.5128205,1.0906007,0.2556372,2.4316792,0.46485415,0.46485412
21,0.5384615,1.2476847,0.29715952,2.8480165,0.51232916,0.5123291
22,0.56410253,1.3889334,0.35742652,3.3393075,0.55203706,0.552037
23,0.5897436,1.5143583,0.34272832,3.9145355,0.5848493,0.58484924
24,0.61538464,1.6770196,0.27871862,4.5618663,0.6259965,0.6259964
25,0.64102566,1.7986326,0.2116274,5.311435,0.666324,0.6663239
26,0.6666667,1.9012325,0.113609254,6.171105,0.7129241,0.71292394
27,0.6923077,1.9922322,-0.024854898,7.15768,0.76919067,0.7691905
28,0.71794873,1.9665625,-0.20419578,8.294492,0.8106343,0.81063414
29,0.74358976,1.9933822,-0.45193133,9.592317,0.8341708,0.83417064
30,0.7692308,2.0840983,-0.78792286,11.0746765,0.8471914,0.8471912
31,0.7948718,2.2125757,-1.2859449,12.759778,0.87616736,0.8761672
32,0.82051283,2.462864,-1.835904,14.709314,0.8935368,0.8935367
33,0.84615386,2.2182899,-1.7142624,17.045294,0.89710253,0.8971024
34,0.8717949,2.3463225,-1.9810002,19.780226,0.89754015,0.89754003
35,0.8974359,2.7505279,-3.1090603,22.771336,0.8985038,0.89850366
36,0.9230769,3.2573802,-4.707201,26.144817,0.8985723,0.8985722
37,0.94871795,3.8356276,-6.5303774,29.99351,0.89916515,0.89916503
38,0.974359,4.489115,-8.590763,34.342968,0.8999756,0.8999755
39,1.0,5.244572,-10.97277,39.371143,0.90135926,0.90135914
