index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.0054574506,-0.016289294,0.017013712,0.013483109,0.013483093
2,0.051282052,-0.012432404,-0.035622094,0.037788313,0.028760362,0.028760348
3,0.07692308,-0.020677075,-0.05815077,0.06139139,0.045921355,0.045921322
4,0.102564104,-0.030710645,-0.084765576,0.08792787,0.06692396,0.06692392
5,0.12820514,-0.0429241,-0.11558078,0.118251145,0.09034152,0.0903415
6,0.15384616,-0.0573731,-0.1512037,0.1524556,0.11726528,0.11726526
7,0.17948718,-0.07662379,-0.19129665,0.19085033,0.15493804,0.15493801
8,0.20512821,-0.10346407,-0.23717971,0.23222229,0.18964715,0.18964711
9,0.23076923,-0.13713382,-0.29296806,0.27455908,0.22185735,0.22185731
10,0.25641027,-0.17578277,-0.36045676,0.3202254,0.25873905,0.258739
11,0.2820513,-0.21468881,-0.4438016,0.37051082,0.3017388,0.30173874
12,0.30769232,-0.2572391,-0.5409135,0.43034294,0.3518922,0.35189214
13,0.33333334,-0.30589157,-0.6534353,0.4985229,0.39175123,0.39175117
14,0.35897437,-0.36673144,-0.78228176,0.5723994,0.43103063,0.43103057
15,0.3846154,-0.44136935,-0.92800546,0.65590215,0.47195598,0.4719559
16,0.41025642,-0.5338737,-1.0945501,0.7484919,0.51665485,0.51665473
17,0.43589744,-0.6515124,-1.2884563,0.84168106,0.5873325,0.58733237
18,0.46153846,-0.8028486,-1.4983108,0.95847607,0.66580176,0.66580164
19,0.4871795,-1.0030689,-1.7190835,1.1022019,0.76463866,0.76463854
20,0.5128205,-1.246739,-1.9727157,1.2588085,0.85098374,0.8509836
21,0.5384615,-1.5580688,-2.2555895,1.4086888,0.9156348,0.9156347
22,0.56410253,-1.9332964,-2.565857,1.5765511,0.9323179,0.9323178
23,0.5897436,-2.356375,-2.9376435,1.7497416,0.9466148,0.9466146
24,0.61538464,-2.8536158,-3.3393576,1.952032,0.96207905,0.96207887
25,0.64102566,-3.4432144,-3.7580268,2.1936102,0.976004,0.9760038
26,0.6666667,-4.1212497,-4.210831,2.5024874,0.9928681,0.99286795
27,0.6923077,-4.9280148,-4.689808,2.854307,1.0132396,1.0132394
28,0.71794873,-5.8892636,-5.194227,3.2410278,1.0295572,1.029557
29,0.74358976,-7.0482078,-5.676527,3.6446922,1.0419533,1.0419531
30,0.7692308,-8.504379,-5.956504,3.9989233,1.0526439,1.0526437
31,0.7948718,-10.230784,-6.124083,4.3208466,1.0633086,1.0633084
32,0.82051283,-12.254892,-6.163009,4.3715324,1.0589576,1.0589573
33,0.84615386,-14.524253,-6.242554,3.692891,1.0612804,1.0612801
34,0.8717949,-17.200233,-6.424563,3.0156024,1.0676972,1.0676969
35,0.8974359,-19.854013,-6.402729,1.3784114,1.0740557,1.0740554
36,0.9230769,-22.476467,-5.9500394,-1.291232,1.0743067,1.0743065
37,0.94871795,-25.468271,-5.4335823,-4.3368683,1.0739448,1.0739444
38,0.974359,-28.849298,-4.8499026,-7.778723,1.0736953,1.073695
39,1.0,-32.75789,-4.1751184,-11.757654,1.0739216,1.0739212
