index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.0056774993,-0.003794844,-0.023165904,0.0012384134,0.0012384162
2,0.051282052,-0.012722873,-0.008338498,-0.051124968,0.0024735378,0.0024735588
3,0.07692308,-0.020688849,-0.013164084,-0.08342969,0.003995272,0.0039952714
4,0.102564104,-0.026087692,-0.022087533,-0.12078516,0.004789013,0.0047890223
5,0.12820514,-0.029048158,-0.03301853,-0.16421938,0.005211185,0.0052111894
6,0.15384616,-0.035068948,-0.0443478,-0.21402422,0.006850212,0.0068502235
7,0.17948718,-0.042797968,-0.058057778,-0.27059847,0.0031918532,0.0031918688
8,0.20512821,-0.05280064,-0.074258655,-0.33518034,-0.0022304666,-0.002230443
9,0.23076923,-0.06564186,-0.09262614,-0.40959117,-0.0085264435,-0.00852643
10,0.25641027,-0.082530156,-0.11234097,-0.49593234,-0.01751492,-0.017514903
11,0.2820513,-0.093414806,-0.14147083,-0.5957069,-0.02697598,-0.026975987
12,0.30769232,-0.09344232,-0.18523088,-0.709164,-0.035374902,-0.035374902
13,0.33333334,-0.09007197,-0.24638486,-0.83520865,-0.0513648,-0.051364817
14,0.35897437,-0.090942994,-0.31750306,-0.97879815,-0.0751933,-0.0751933
15,0.3846154,-0.08642411,-0.41144964,-1.1357632,-0.10402306,-0.10402306
16,0.41025642,-0.054034468,-0.53606755,-1.3025112,-0.14225766,-0.14225763
17,0.43589744,-0.010182504,-0.71841687,-1.4596044,-0.17017388,-0.17017387
18,0.46153846,0.0134506,-0.935661,-1.6402767,-0.18065447,-0.18065447
19,0.4871795,-0.010874605,-1.1830728,-1.8576837,-0.16880438,-0.16880438
20,0.5128205,-0.057580665,-1.4712845,-2.1079075,-0.15745603,-0.15745603
21,0.5384615,-0.11227243,-1.8225785,-2.3761945,-0.14397958,-0.14397956
22,0.56410253,-0.18534502,-2.2256606,-2.685316,-0.13494799,-0.13494799
23,0.5897436,-0.24240522,-2.674371,-3.061011,-0.13683708,-0.13683708
24,0.61538464,-0.3032679,-3.198728,-3.4732094,-0.16507973,-0.16507973
25,0.64102566,-0.35492593,-3.8535614,-3.8568077,-0.21394537,-0.21394537
26,0.6666667,-0.41328147,-4.65433,-4.1935706,-0.25130868,-0.25130868
27,0.6923077,-0.45273843,-5.580239,-4.5716085,-0.26528433,-0.2652843
28,0.71794873,-0.45237657,-6.6513824,-4.991666,-0.21637896,-0.21637893
29,0.74358976,-0.532257,-7.9242606,-5.3289194,-0.12792388,-0.12792385
30,0.7692308,-0.7309656,-9.424991,-5.4473505,0.025066689,0.025066733
31,0.7948718,-1.1669405,-11.128361,-5.3211055,0.10879649,0.10879654
32,0.82051283,-2.0872414,-12.9386215,-5.1257696,-0.0636251,-0.06362505
33,0.84615386,-3.4463413,-14.871684,-5.2233043,-0.13903621,-0.1390362
34,0.8717949,-5.041893,-17.115408,-5.1086125,0.033095643,0.033095658
35,0.8974359,-6.8238797,-19.809788,-4.85397,-0.15139996,-0.15139997
36,0.9230769,-9.018352,-22.76292,-4.0527487,-0.5468664,-0.5468664
37,0.94871795,-10.78293,-26.584497,-3.9557981,-1.2638829,-1.2638829
38,0.974359,-12.71275,-30.89215,-4.7305455,-2.8753593,-2.8753593
39,1.0,-12.42201,-36.078384,-3.7491364,-3.7346377,-3.7346377
