index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.00071445777,-0.0068894625,0.023065755,0.053294066,0.053294048
2,0.051282052,-0.0025256847,-0.015324157,0.0508833,0.11581685,0.115816824
3,0.07692308,-0.0056271427,-0.025192782,0.08279201,0.18733838,0.18733835
4,0.102564104,-0.010590326,-0.037318837,0.119275026,0.26633924,0.26633924
5,0.12820514,-0.011038591,-0.053240724,0.16073374,0.35102427,0.35102427
6,0.15384616,-0.0043912814,-0.07385911,0.2071257,0.4355292,0.43552923
7,0.17948718,0.004503978,-0.09883345,0.25912583,0.53479034,0.53479034
8,0.20512821,0.025358243,-0.12570938,0.31691074,0.62099195,0.62099195
9,0.23076923,0.048138097,-0.13602526,0.38917184,0.7193149,0.7193149
10,0.25641027,0.07226793,-0.14603928,0.47444448,0.82184756,0.82184756
11,0.2820513,0.0985484,-0.15693513,0.5749165,0.9286012,0.9286012
12,0.30769232,0.13701743,-0.17516984,0.6884684,1.0408067,1.0408067
13,0.33333334,0.18513975,-0.19743615,0.81773674,1.1569098,1.15691
14,0.35897437,0.25395587,-0.23643617,0.95640075,1.2973752,1.2973753
15,0.3846154,0.33396503,-0.30363253,1.1068629,1.4430944,1.4430945
16,0.41025642,0.43329653,-0.39411095,1.2696383,1.5943197,1.5943197
17,0.43589744,0.56214917,-0.47431147,1.461077,1.7327774,1.7327774
18,0.46153846,0.6640221,-0.43225473,1.7180504,1.8887203,1.8887203
19,0.4871795,0.7645932,-0.33146048,2.015541,2.0681124,2.0681124
20,0.5128205,0.83693165,-0.19087788,2.3653443,2.2383957,2.2383957
21,0.5384615,0.88625085,-0.040820956,2.7814782,2.4342563,2.4342563
22,0.56410253,0.86939424,0.2425139,3.2082365,2.556111,2.556111
23,0.5897436,0.82679474,0.6223743,3.6543412,2.6316671,2.6316671
24,0.61538464,0.7757778,1.1082377,4.111799,2.6740263,2.6740263
25,0.64102566,0.62798595,1.7091191,4.5550075,2.71618,2.71618
26,0.6666667,0.41287622,2.4324331,4.9891315,2.759966,2.759966
27,0.6923077,0.16814986,3.3165226,5.388941,2.808193,2.808193
28,0.71794873,-0.117222905,4.366498,5.7663517,2.8727365,2.8727365
29,0.74358976,-0.4660673,5.560767,6.21456,2.918898,2.918898
30,0.7692308,-0.8649511,6.9595666,6.6678286,2.9646084,2.9646084
31,0.7948718,-1.2416341,8.616715,7.1418457,3.071615,3.071615
32,0.82051283,-1.5682917,10.58199,7.59739,3.1531627,3.1531627
33,0.84615386,-1.7152594,12.873806,8.183826,3.183021,3.1830213
34,0.8717949,-1.6099647,15.432819,9.191022,3.2077594,3.2077596
35,0.8974359,-1.1919041,18.266453,10.704811,3.412292,3.4122922
36,0.9230769,-1.0795611,21.435213,12.728198,3.7510557,3.7510557
37,0.94871795,-2.08101,24.725212,15.231746,4.058848,4.058848
38,0.974359,-4.0020795,28.232325,17.961086,4.2547183,4.2547183
39,1.0,-4.81944,33.533207,18.940485,3.1990108,3.1990108
