index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.021145225,0.0017785482,0.011510085,0.024591316,0.024591312
2,0.051282052,-0.047354866,0.0022901904,0.024371834,0.048246533,0.04824654
3,0.07692308,-0.07764063,-0.0026595413,0.03782103,0.06164644,0.06164647
4,0.102564104,-0.11292687,-0.010898473,0.05183119,0.06977122,0.069771245
5,0.12820514,-0.15346272,-0.022863248,0.06694625,0.066208534,0.06620858
6,0.15384616,-0.19912958,-0.037097804,0.08579296,0.0620811,0.062081162
7,0.17948718,-0.2508451,-0.056373708,0.105843015,0.053338673,0.05333874
8,0.20512821,-0.31036508,-0.08001016,0.12667234,0.044382818,0.044382855
9,0.23076923,-0.3810532,-0.10747218,0.14337906,0.050986342,0.050986376
10,0.25641027,-0.46463123,-0.14074299,0.14948583,0.073708795,0.0737088
11,0.2820513,-0.56256425,-0.1781038,0.14625517,0.09291601,0.09291604
12,0.30769232,-0.67416173,-0.22587132,0.1391504,0.11059476,0.110594794
13,0.33333334,-0.7906571,-0.30084872,0.11685399,0.12067776,0.12067779
14,0.35897437,-0.9173926,-0.39500052,0.08699533,0.13009764,0.13009769
15,0.3846154,-1.0624912,-0.50303453,0.053460594,0.14006063,0.1400607
16,0.41025642,-1.2280715,-0.6307279,0.019564372,0.15506579,0.15506586
17,0.43589744,-1.4106934,-0.78917277,-0.0222781,0.1540666,0.15406668
18,0.46153846,-1.6224449,-0.97505784,-0.06199751,0.1498431,0.14984319
19,0.4871795,-1.8523055,-1.209301,-0.10249336,0.1408286,0.14082867
20,0.5128205,-2.1014495,-1.4960722,-0.16626915,0.12246076,0.12246086
21,0.5384615,-2.364238,-1.8432765,-0.26498073,0.09755611,0.09755619
22,0.56410253,-2.6516633,-2.2472804,-0.40284288,0.03323459,0.03323468
23,0.5897436,-2.9067583,-2.738317,-0.59606385,-0.08382662,-0.08382652
24,0.61538464,-3.0901885,-3.3411736,-0.82380444,-0.29697,-0.29696992
25,0.64102566,-3.178188,-4.0564375,-1.0651613,-0.53418535,-0.5341853
26,0.6666667,-3.1355486,-4.8708487,-1.3706378,-0.7786106,-0.7786105
27,0.6923077,-3.1271996,-5.7830772,-1.7840077,-1.0047584,-1.0047584
28,0.71794873,-2.9592245,-6.802223,-2.294252,-1.2109094,-1.2109094
29,0.74358976,-2.8531857,-7.942628,-2.9543166,-1.4611292,-1.4611292
30,0.7692308,-2.4704452,-9.142955,-3.8088799,-1.6530262,-1.6530261
31,0.7948718,-1.822762,-10.407427,-4.85561,-1.7405432,-1.7405431
32,0.82051283,-1.1106577,-11.700781,-6.2697086,-1.7653165,-1.7653164
33,0.84615386,-0.33105683,-13.055013,-8.05221,-1.6616174,-1.6616173
34,0.8717949,0.7198975,-14.138399,-10.351718,-1.5727669,-1.5727669
35,0.8974359,1.8181884,-14.683778,-13.353508,-1.1745422,-1.1745422
36,0.9230769,3.100575,-15.392054,-16.821022,-0.7095977,-0.7095977
37,0.94871795,4.244273,-15.495258,-20.95391,-0.4302077,-0.4302077
38,0.974359,5.7231903,-14.703938,-25.508482,0.6071228,0.6071228
39,1.0,8.019663,-12.761013,-30.195229,1.806023,1.806023
