index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.02048614,-0.011202993,-0.00623098,0.023271693,0.023271691
2,0.051282052,0.04440226,-0.02618042,-0.013882827,0.052721083,0.05272107
3,0.07692308,0.07145472,-0.044551983,-0.021840379,0.085895255,0.08589524
4,0.102564104,0.10156341,-0.06781033,-0.03008528,0.11908585,0.11908582
5,0.12820514,0.13464954,-0.09712139,-0.0379776,0.14629896,0.14629892
6,0.15384616,0.17064625,-0.13332,-0.04502512,0.1686161,0.16861601
7,0.17948718,0.21092945,-0.17535676,-0.053595036,0.1923956,0.19239552
8,0.20512821,0.2568966,-0.22382545,-0.063044116,0.22168122,0.22168115
9,0.23076923,0.30767787,-0.2816109,-0.07515041,0.25722325,0.2572232
10,0.25641027,0.36335456,-0.35189763,-0.08617203,0.28724632,0.28724626
11,0.2820513,0.4281015,-0.43310946,-0.101989634,0.31025743,0.31025738
12,0.30769232,0.5073358,-0.52400386,-0.12032034,0.33058152,0.33058146
13,0.33333334,0.59580135,-0.6310452,-0.14245623,0.345073,0.34507295
14,0.35897437,0.6963097,-0.7536661,-0.16951057,0.36157,0.36156994
15,0.3846154,0.8101957,-0.8958186,-0.19673535,0.37460887,0.3746088
16,0.41025642,0.9370326,-1.0631113,-0.22771898,0.38772252,0.38772246
17,0.43589744,1.0757552,-1.2620409,-0.2660566,0.41110715,0.41110712
18,0.46153846,1.2383559,-1.4907999,-0.31463987,0.43989372,0.4398937
19,0.4871795,1.4255049,-1.756215,-0.3800081,0.46860278,0.46860272
20,0.5128205,1.6459308,-2.061293,-0.46346292,0.49508867,0.4950886
21,0.5384615,1.9192799,-2.3944468,-0.5820089,0.5323233,0.5323232
22,0.56410253,2.2444777,-2.7641134,-0.7342161,0.5708817,0.5708816
23,0.5897436,2.6279762,-3.1688433,-0.92528677,0.6037924,0.6037923
24,0.61538464,3.0981503,-3.5995889,-1.1335231,0.6349485,0.6349484
25,0.64102566,3.6207004,-4.0880723,-1.3976316,0.67384404,0.6738439
26,0.6666667,4.1756997,-4.6657386,-1.7418685,0.6994984,0.6994983
27,0.6923077,4.8068533,-5.323462,-2.159217,0.73391235,0.7339122
28,0.71794873,5.4900103,-6.1250815,-2.628892,0.7801335,0.78013337
29,0.74358976,6.2480636,-7.041816,-3.2060478,0.8193495,0.8193494
30,0.7692308,6.9218674,-8.143587,-4.0145745,0.85405016,0.85405004
31,0.7948718,7.6306243,-9.417913,-5.0092087,0.9503816,0.95038146
32,0.82051283,8.300171,-10.9666605,-6.165221,1.0521572,1.052157
33,0.84615386,8.774925,-12.835682,-7.546161,1.1251428,1.1251427
34,0.8717949,9.239791,-15.057046,-9.12929,1.2128024,1.2128023
35,0.8974359,9.746296,-17.77874,-10.820958,1.2742962,1.274296
36,0.9230769,10.10087,-21.10742,-12.561286,1.253034,1.2530339
37,0.94871795,10.426571,-25.070175,-14.204314,1.4406533,1.4406532
38,0.974359,10.442894,-29.636597,-15.867279,1.6797662,1.679766
39,1.0,10.30539,-34.95741,-17.59223,1.5341336,1.5341334
