index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.010749239,0.015259619,-0.015257308,0.09415901,0.09415901
2,0.051282052,-0.024647444,0.032251712,-0.034414113,0.2080083,0.20800829
3,0.07692308,-0.040460005,0.0508995,-0.05731573,0.3368767,0.33687672
4,0.102564104,-0.058199063,0.071491405,-0.08497644,0.4877116,0.4877116
5,0.12820514,-0.077821076,0.09846542,-0.1146906,0.6454594,0.6454594
6,0.15384616,-0.10118104,0.13001642,-0.14765412,0.8139649,0.8139649
7,0.17948718,-0.12599146,0.16436835,-0.18804523,1.0025465,1.0025465
8,0.20512821,-0.15294164,0.2030288,-0.23525393,1.1980374,1.1980374
9,0.23076923,-0.18348593,0.23149778,-0.3005908,1.4335396,1.4335396
10,0.25641027,-0.21981086,0.26920602,-0.37365648,1.6957445,1.6957445
11,0.2820513,-0.2657526,0.3138801,-0.45621777,1.9783804,1.9783804
12,0.30769232,-0.32156506,0.3654299,-0.5507773,2.295036,2.295036
13,0.33333334,-0.38286817,0.43016207,-0.6579197,2.7088077,2.7088077
14,0.35897437,-0.46298373,0.500604,-0.776542,3.2222748,3.2222748
15,0.3846154,-0.563515,0.5954288,-0.89430404,3.7382722,3.7382722
16,0.41025642,-0.66875046,0.72404015,-1.0230224,4.287934,4.287934
17,0.43589744,-0.7965342,0.8856294,-1.1504006,4.8235507,4.8235507
18,0.46153846,-0.91094184,0.94934124,-1.3878099,5.211868,5.211868
19,0.4871795,-1.0291517,0.95865345,-1.6945584,5.6116734,5.6116734
20,0.5128205,-1.1903617,1.1138986,-1.9819882,6.7624598,6.7624598
21,0.5384615,-1.2806103,1.511661,-2.1483662,7.2339115,7.2339115
22,0.56410253,-1.4373244,1.9479048,-2.366596,7.4841127,7.4841127
23,0.5897436,-1.6172938,2.4819772,-2.5176082,7.5642724,7.5642724
24,0.61538464,-1.7731481,3.1279898,-2.5524557,7.620183,7.620183
25,0.64102566,-1.8403846,3.8703055,-2.405764,7.666917,7.666917
26,0.6666667,-1.9818547,4.716156,-2.2684915,7.719285,7.719285
27,0.6923077,-2.2573907,5.6766624,-2.2223065,7.7839117,7.7839117
28,0.71794873,-2.536363,6.775843,-2.0362968,7.846219,7.846219
29,0.74358976,-2.914658,8.030915,-1.9926003,7.8906026,7.8906026
30,0.7692308,-3.610659,9.367472,-2.1486392,7.8580613,7.8580613
31,0.7948718,-4.2091475,10.997054,-2.3987806,7.819297,7.819297
32,0.82051283,-4.804339,12.929648,-2.425788,7.789824,7.789824
33,0.84615386,-5.732889,15.0799675,-2.2245913,7.7680917,7.7680917
34,0.8717949,-7.0496,17.364635,-1.4022468,7.7655954,7.7655954
35,0.8974359,-8.757512,19.900667,-0.33504403,7.7604523,7.7604523
36,0.9230769,-11.113797,22.630836,0.7599288,7.760056,7.760056
37,0.94871795,-13.801962,25.745539,2.0090995,7.7595716,7.7595716
38,0.974359,-16.839859,29.265465,3.4207964,7.759149,7.759149
39,1.0,-20.351791,33.33467,5.052777,7.758419,7.758419
