index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.017349511,0.015430286,-0.006586597,0.030664114,0.030664127
2,0.051282052,0.03852705,0.03329359,-0.015694099,0.06636557,0.06636557
3,0.07692308,0.063523516,0.052434035,-0.02736519,0.103356704,0.10335669
4,0.102564104,0.09344694,0.07295295,-0.041205812,0.14175668,0.14175667
5,0.12820514,0.12728019,0.09737912,-0.05762358,0.18659672,0.1865967
6,0.15384616,0.1663978,0.12387532,-0.07771868,0.2310641,0.23106408
7,0.17948718,0.2099567,0.15273061,-0.10416255,0.26913476,0.26913476
8,0.20512821,0.25608483,0.18866506,-0.13745265,0.30088872,0.3008887
9,0.23076923,0.3082632,0.22948427,-0.17790642,0.33577874,0.3357787
10,0.25641027,0.37144727,0.26402977,-0.2298534,0.38045427,0.38045424
11,0.2820513,0.44911134,0.28588346,-0.29650962,0.4216525,0.42165247
12,0.30769232,0.5373434,0.310221,-0.37627718,0.46333584,0.4633358
13,0.33333334,0.6353156,0.36018595,-0.46312946,0.5123757,0.51237565
14,0.35897437,0.7557559,0.4093702,-0.55474705,0.5465568,0.5465567
15,0.3846154,0.9007197,0.48471278,-0.6380746,0.5824492,0.58244914
16,0.41025642,1.0641675,0.58734727,-0.7241736,0.62689537,0.6268953
17,0.43589744,1.2591361,0.6878551,-0.83225876,0.679797,0.67979693
18,0.46153846,1.4853127,0.8141877,-0.9482832,0.7570791,0.75707906
19,0.4871795,1.7397604,0.9552377,-1.1038576,0.8426633,0.8426632
20,0.5128205,2.0289567,1.1120691,-1.3016263,0.9407438,0.94074374
21,0.5384615,2.384148,1.2898475,-1.5023574,1.0864345,1.0864345
22,0.56410253,2.7774982,1.5270991,-1.7314479,1.2576796,1.2576795
23,0.5897436,3.237655,1.7871313,-1.9854453,1.4240625,1.4240624
24,0.61538464,3.7975502,2.0696917,-2.212201,1.6278378,1.6278377
25,0.64102566,4.499037,2.2730289,-2.418087,1.8479873,1.8479872
26,0.6666667,5.298654,2.5375009,-2.6281366,2.1355066,2.1355066
27,0.6923077,6.24405,2.5683992,-2.9463773,2.4134479,2.4134479
28,0.71794873,7.2934,2.5911748,-3.413238,2.72581,2.72581
29,0.74358976,8.5236025,2.553872,-3.8721273,3.1751058,3.1751058
30,0.7692308,9.834996,2.1644132,-4.523983,3.6674068,3.6674068
31,0.7948718,10.905819,1.4036889,-5.679282,4.1307087,4.1307087
32,0.82051283,11.9801655,0.18624914,-6.889123,4.8910894,4.8910894
33,0.84615386,12.962377,-1.2791775,-8.467932,5.680628,5.680628
34,0.8717949,14.458346,-2.4510436,-10.460713,6.1972775,6.1972775
35,0.8974359,16.42504,-3.322709,-12.843075,6.2554226,6.2554226
36,0.9230769,18.86012,-3.2422836,-15.657234,5.703044,5.703044
37,0.94871795,22.380983,-3.4503596,-18.086859,5.8419843,5.8419843
38,0.974359,25.801926,-3.3814716,-21.508266,5.295698,5.295698
39,1.0,29.604534,-3.6202145,-25.626942,4.7381625,4.7381625
