index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.018219953,-0.0062796064,0.014425189,0.039341718,0.039341718
2,0.051282052,-0.040402077,-0.013720668,0.03171451,0.0874767,0.0874767
3,0.07692308,-0.06601652,-0.02166304,0.05180785,0.14043945,0.14043945
4,0.102564104,-0.09688711,-0.02925421,0.073861375,0.19392465,0.19392467
5,0.12820514,-0.133883,-0.0371638,0.09778398,0.24651736,0.24651736
6,0.15384616,-0.17555279,-0.045114238,0.12654044,0.30874556,0.30874556
7,0.17948718,-0.22583967,-0.053792447,0.1551373,0.3837248,0.3837248
8,0.20512821,-0.28111377,-0.06849066,0.19022825,0.48501974,0.48501974
9,0.23076923,-0.34490997,-0.08647166,0.23028255,0.59840226,0.5984022
10,0.25641027,-0.41600308,-0.10991393,0.2800005,0.7135272,0.71352714
11,0.2820513,-0.49851382,-0.13404815,0.3393714,0.84316623,0.84316623
12,0.30769232,-0.5890468,-0.17712028,0.40760973,0.9819421,0.9819421
13,0.33333334,-0.6991149,-0.22813419,0.47655457,1.1618539,1.1618539
14,0.35897437,-0.81077886,-0.2927802,0.57058346,1.3401802,1.3401802
15,0.3846154,-0.9377626,-0.37263936,0.67543906,1.5188445,1.5188445
16,0.41025642,-1.0852085,-0.4725258,0.78826976,1.691995,1.691995
17,0.43589744,-1.2447704,-0.6118743,0.9090221,1.8243731,1.8243732
18,0.46153846,-1.4303402,-0.79300535,1.0223877,1.9720211,1.9720212
19,0.4871795,-1.6221595,-1.0205426,1.1612504,2.1295977,2.129598
20,0.5128205,-1.8007405,-1.3137007,1.3310374,2.2665002,2.2665005
21,0.5384615,-2.0101366,-1.6584015,1.5169414,2.4106798,2.41068
22,0.56410253,-2.231573,-2.093644,1.6633265,2.56425,2.5642502
23,0.5897436,-2.3193102,-2.6698315,1.6741381,2.707027,2.7070272
24,0.61538464,-2.3788927,-3.331067,1.6174762,2.8242462,2.8242464
25,0.64102566,-2.4318845,-4.0762615,1.4853976,2.8827708,2.882771
26,0.6666667,-2.4011393,-4.9101224,1.2525871,2.897613,2.8976133
27,0.6923077,-2.2006576,-5.83333,0.93071616,2.9165225,2.9165227
28,0.71794873,-1.8933854,-6.8575478,0.5106299,2.9627585,2.9627588
29,0.74358976,-1.487957,-8.048,0.11345911,3.0384274,3.0384276
30,0.7692308,-0.907327,-9.387916,-0.30584866,3.1136515,3.1136518
31,0.7948718,-0.3048954,-10.940903,-0.87583715,3.3037543,3.3037546
32,0.82051283,0.31329966,-12.725129,-1.6492556,3.652315,3.6523151
33,0.84615386,0.9223785,-14.65839,-2.8565829,4.2983704,4.298371
34,0.8717949,1.8312247,-16.728964,-4.4380307,5.1218,5.1218004
35,0.8974359,3.5284698,-19.091988,-5.825235,5.791229,5.7912292
36,0.9230769,4.7530966,-22.50795,-6.524131,6.1994076,6.1994076
37,0.94871795,4.687672,-26.688282,-5.7318106,5.8569818,5.8569818
38,0.974359,4.0790496,-31.476295,-5.443275,5.585759,5.585759
39,1.0,3.0803704,-36.942635,-5.010827,5.0250173,5.0250173
