index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,-0.019444793,-0.0060580443,-0.0059302393,-0.12587489,0.0011445885
2,0.001,-0.038889587,-0.0121160885,-0.011860479,-0.19802949,0.00262899
3,0.013807692,-0.023909912,-0.017988233,0.025156941,-0.011153519,0.040075377
4,0.026615383,-0.008930237,-0.023860376,0.06217436,0.25560683,0.071388826
5,0.03942308,0.016811023,-0.03127315,0.10011915,0.43451786,0.10721794
6,0.052230768,0.042552285,-0.038685925,0.13806394,0.60940737,0.14166334
7,0.06503846,0.078043565,-0.017430138,0.10582266,0.13947356,0.18141077
8,0.077846155,0.11353485,0.0038256496,0.07358138,0.1103726,0.23834465
9,0.09065385,0.08635172,-0.031534784,0.07416861,-0.3743779,0.29964885
10,0.10346155,0.059168592,-0.06689522,0.07475583,-0.762847,0.3807177
11,0.11626923,0.05311335,-0.036345772,0.07354651,-0.758321,0.45522064
12,0.12907693,0.047058105,-0.005796328,0.07233717,-0.75403273,0.52034193
13,0.14188462,0.0058255494,-0.0567789,0.024499968,-1.3292574,0.58755
14,0.15469232,-0.035407007,-0.10776147,-0.023337238,-1.0665126,0.6630715
15,0.16749999,0.058255777,-0.13414234,-0.12695348,-0.5776484,0.78910893
16,0.18030769,0.15191856,-0.1605232,-0.23056974,0.048066735,0.87228584
17,0.19311538,0.13107553,-0.09929934,-0.26406977,0.1363647,0.91536176
18,0.20592308,0.1102325,-0.038075462,-0.29756978,0.24993241,0.9398591
19,0.21873078,-0.05992446,0.012456503,-0.10071513,-0.19565871,1.0573608
20,0.23153847,-0.23008144,0.06298846,0.09613952,0.898824,1.3994317
21,0.24434614,-0.20573258,-0.033953346,-0.029555239,0.65919197,1.5933051
22,0.25715384,-0.18138373,-0.13089517,-0.15525001,1.0684494,1.7877836
23,0.26996154,-0.3508721,-0.16731966,-0.14624128,1.472034,1.9492409
24,0.28276923,-0.52036047,-0.20374417,-0.13723254,1.870177,2.0649269
25,0.29557693,-0.5705291,-0.26282555,-0.28163373,2.200214,2.1943047
26,0.30838463,-0.62069774,-0.32190692,-0.42603493,2.5434723,2.315281
27,0.32119232,-0.612471,-0.45747966,-0.2157878,2.469536,2.40431
28,0.334,-0.60424423,-0.5930523,-0.0055406988,2.6342118,2.4387867
29,0.3468077,-0.24387208,-0.43095338,-0.26027033,1.7783413,2.4914808
30,0.3596154,0.11650002,-0.26885444,-0.515,2.0560694,2.6866128
31,0.37242308,-0.014915712,-0.06613651,-0.5695058,2.1113935,2.7454116
32,0.38523078,-0.14633143,0.13658142,-0.62401164,2.2322798,2.7729156
33,0.39803845,-0.31178778,-0.27988076,-0.4027994,1.6933908,2.8841782
34,0.4108461,-0.47724417,-0.69634295,-0.18158722,2.1668046,3.0157409
35,0.42365384,-0.20639536,-0.81884,-0.27172384,2.0807104,3.0724902
36,0.43646154,0.06445345,-0.9413371,-0.36186045,2.0704737,3.149302
37,0.44926924,0.050008688,-1.1928663,-0.34611627,2.2992983,3.2433836
38,0.46207693,0.03556391,-1.4443954,-0.3303721,2.5006948,3.3350048
39,0.47488463,-0.16395643,-1.505157,-0.05950874,2.5868623,3.4026918
40,0.4876923,-0.36347678,-1.5659184,0.21135461,2.7189708,3.4315667
41,0.50049996,-0.47908723,-1.6386045,-0.47184587,2.5557694,3.5066178
42,0.5133077,-0.5946977,-1.7112906,-1.1550463,2.8224456,3.62356
43,0.5261154,0.14162505,-2.1404796,-1.1622587,2.8954017,3.7575018
44,0.53892314,0.8779478,-2.5696685,-1.169471,3.3406453,3.9564404
45,0.55173075,1.1027732,-2.6944563,-1.0628227,3.535932,4.1658096
46,0.5645385,1.3275986,-2.8192441,-0.9561744,3.7726276,4.4146667
47,0.57734615,1.9791541,-3.166619,-0.3539012,4.2554207,4.568832
48,0.5901538,2.6307096,-3.513994,0.24837202,4.6303544,4.66151
49,0.60296154,2.9938807,-3.7286134,-0.65206105,4.552761,4.703724
50,0.61576927,3.3570518,-3.9432328,-1.5524942,4.519247,4.7836766
51,0.6285769,3.400125,-4.578939,-1.1506511,4.681177,4.8791413
52,0.6413846,3.443198,-5.214645,-0.748808,4.8046856,4.895625
53,0.6541923,3.9316044,-4.296854,-2.5645142,4.370587,4.979227
54,0.66700006,4.420011,-3.3790631,-4.3802204,4.943771,5.426716
55,0.67980766,4.9788837,-4.679235,-4.7662587,5.1285343,5.591197
56,0.6926154,5.5377564,-5.979407,-5.152297,5.31884,5.7094913
57,0.7054231,5.5017357,-7.0506315,-4.4080644,5.4873867,5.9442363
58,0.71823084,5.465715,-8.121856,-3.6638317,5.632157,5.9562464
59,0.73103845,6.3793774,-8.291198,-6.4329424,5.232066,5.857136
60,0.7438462,7.29304,-8.46054,-9.202053,5.516563,6.0247383
