index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,-0.014554448,-0.010613857,-0.010801947,0.25755402,0.013807506
2,0.001,-0.029108897,-0.021227714,-0.021603893,0.5569705,0.021989107
3,0.013807692,-0.013460364,0.0030247774,-0.04730192,0.42427823,0.16886798
4,0.026615383,0.0021881685,0.027277268,-0.07299995,0.33377188,0.3523658
5,0.03942308,0.012059459,0.05439113,-0.039801974,0.24119365,0.600683
6,0.052230768,0.021930749,0.08150499,-0.006604001,0.68799114,0.90417564
7,0.06503846,0.058534704,0.05923269,-0.012277205,1.265572,1.2995099
8,0.077846155,0.095138654,0.036960386,-0.017950412,1.6374296,1.4420824
9,0.09065385,0.11356932,0.035836652,-0.009787086,1.7716192,1.5685346
10,0.10346155,0.13199998,0.034712918,-0.0016237609,1.8845043,1.6889784
11,0.11626923,0.059910864,0.023534702,-0.012430695,1.3122278,1.8321686
12,0.12907693,-0.012178257,0.012356482,-0.02323763,1.6861057,2.3005066
13,0.14188462,-0.0033861184,-0.0043960093,0.05064357,2.356413,3.0074832
14,0.15469232,0.0054059997,-0.021148503,0.12452477,2.856117,3.2385654
15,0.16749999,0.0443466,-0.00014848821,0.14063367,2.999408,3.4040782
16,0.18030769,0.0832872,0.020851526,0.15674259,3.1194737,3.5320935
17,0.19311538,0.051316902,0.013222836,0.024143592,2.603178,3.706166
18,0.20592308,0.019346602,0.0055941455,-0.108455405,2.9629045,4.0338225
19,0.21873078,-0.016450442,0.06358424,-0.0038860813,3.2942376,4.506489
20,0.23153847,-0.052247487,0.12157433,0.100683235,3.7377346,4.6565704
21,0.24434614,0.03241587,0.112990156,0.0067179278,3.5870457,5.045113
22,0.25715384,0.11707923,0.104405984,-0.08724738,4.1457877,5.509071
23,0.26996154,0.16264857,0.057722818,-0.12193555,4.367775,5.6562643
24,0.28276923,0.20821792,0.011039659,-0.1566237,4.5014696,5.735888
25,0.29557693,0.1660991,0.20042579,-0.1320049,4.117296,5.849369
26,0.30838463,0.12398028,0.38981193,-0.1073861,4.9561977,6.6081204
27,0.32119232,0.22109908,0.41449505,-0.18943065,5.654427,7.3525195
28,0.334,0.31821787,0.43917823,-0.27147523,6.189486,7.769133
29,0.3468077,0.26530698,0.5126139,-0.19127724,6.336431,8.241167
30,0.3596154,0.21239606,0.58604956,-0.111079246,7.0601053,9.030866
31,0.37242308,0.4680842,0.6735445,-0.069203,8.214598,9.938426
32,0.38523078,0.7237723,0.76103956,-0.027326755,8.765498,10.281077
33,0.39803845,0.67001987,1.1323168,-0.034465358,8.56243,10.450917
34,0.4108461,0.6162673,1.5035942,-0.041603953,9.359422,11.132217
35,0.42365384,0.910401,1.39651,0.22838613,10.017341,12.053972
36,0.43646154,1.2045346,1.2894258,0.49837622,10.877027,12.575413
37,0.44926924,1.660094,1.3338565,0.11934653,11.176439,12.720167
38,0.46207693,2.1156535,1.3782871,-0.25968316,11.67294,12.92977
39,0.47488463,2.040307,1.6969951,0.5187525,11.803352,13.106273
40,0.4876923,1.9649605,2.0157032,1.2971882,11.990489,13.2502985
