index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,0.008910329,-0.011668935,-0.015413774,0.30113336,0.0007220105
2,0.001,0.017820658,-0.02333787,-0.030827548,0.60298693,0.0014684385
3,0.013807692,0.039244786,-0.03705518,-0.016744833,0.48859617,0.021323245
4,0.026615383,0.06066891,-0.050772488,-0.0026621185,0.46401307,0.04245459
5,0.03942308,0.06225515,-0.06102417,-0.019206949,0.49068817,0.064960375
6,0.052230768,0.063841395,-0.07127585,-0.03575178,0.5216093,0.09329346
7,0.06503846,0.07302414,-0.06630341,-0.0063344985,0.21471986,0.12208295
8,0.077846155,0.08220689,-0.061330967,0.023082782,-0.0248124,0.14880043
9,0.09065385,0.12266552,-0.106944785,0.07485515,0.3844324,0.17441681
10,0.10346155,0.16312414,-0.15255861,0.1266275,0.81839067,0.19996694
11,0.11626923,0.1799483,-0.2118966,0.18427235,1.2498645,0.22361845
12,0.12907693,0.19677246,-0.27123457,0.2419172,1.6505435,0.24795298
13,0.14188462,0.12843102,-0.29128623,0.22708276,1.3647001,0.2734772
14,0.15469232,0.060089596,-0.3113379,0.21224831,1.2184354,0.3054611
15,0.16749999,0.069744796,-0.36982054,0.14949311,1.5153122,0.3382418
16,0.18030769,0.07939999,-0.4283032,0.086737916,1.814101,0.36966702
17,0.19311538,0.15136895,-0.50693434,0.13473104,2.0194733,0.39937925
18,0.20592308,0.2233379,-0.5855655,0.18272416,2.338431,0.4270855
19,0.21873078,0.21657929,-0.61816883,0.13875517,2.2957299,0.45156083
20,0.23153847,0.20982069,-0.6507722,0.094786175,2.3018684,0.48025343
21,0.24434614,0.21174482,-0.7594896,0.038637884,2.6361842,0.51191527
22,0.25715384,0.21366894,-0.868207,-0.0175104,2.9340544,0.5422539
23,0.26996154,0.22037934,-0.8988862,-0.046779335,2.933945,0.57268333
