index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,0.0043047667,-0.020538108,-0.0034095226,0.26288342,0.002806724
2,0.001,0.008609533,-0.041076217,-0.006819045,0.56315315,0.0052471953
3,0.013807692,0.048757102,-0.06920952,0.010252381,0.9377048,0.046795834
4,0.026615383,0.08890467,-0.097342834,0.027323807,1.387866,0.10081935
5,0.03942308,0.09233323,-0.10811907,0.024114292,1.3921034,0.15224366
6,0.052230768,0.09576178,-0.11889531,0.020904776,1.4077474,0.21478558
7,0.06503846,0.10823329,-0.13565245,0.067952394,1.61359,0.27821416
8,0.077846155,0.120704785,-0.15240958,0.11500001,1.9392697,0.31595814
9,0.09065385,0.16466193,-0.16377148,0.13185716,2.202495,0.34947586
10,0.10346155,0.20861907,-0.17513338,0.1487143,2.4115314,0.38314664
11,0.11626923,0.2240191,-0.16257147,0.19339047,2.5333977,0.41636154
12,0.12907693,0.23941912,-0.15000959,0.23806664,2.6519108,0.44489995
13,0.14188462,0.2631619,-0.14776197,0.22897138,2.4971168,0.47914055
14,0.15469232,0.2869047,-0.14551437,0.21987611,2.415068,0.5307187
15,0.16749999,0.30300474,-0.18070486,0.19250947,2.3971648,0.5882878
16,0.18030769,0.3191048,-0.21589535,0.16514283,2.4205554,0.65928173
17,0.19311538,0.239019,-0.12976676,0.16217618,1.788445,0.7239389
18,0.20592308,0.15893325,-0.043638162,0.15920952,1.3234065,0.7739517
19,0.21873078,0.06696662,0.03663804,0.06378095,0.6780475,0.8221512
20,0.23153847,-0.025000006,0.11691424,-0.031647623,0.64445055,1.0635253
21,0.24434614,0.015061883,0.21465233,-0.022542862,1.1066024,1.546427
22,0.25715384,0.05512377,0.3123904,-0.013438102,1.4413108,1.7802008
23,0.26996154,0.13211432,0.35687613,0.015452376,1.6497418,1.9117223
24,0.28276923,0.20910488,0.40136188,0.044342853,1.8349922,1.9841263
25,0.29557693,0.18065242,0.22792855,-0.060242858,1.282312,2.0863812
26,0.30838463,0.15219997,0.054495215,-0.16482857,1.3750509,2.6001778
27,0.32119232,0.15512377,-0.14746672,0.10733333,2.038158,3.0893285
28,0.334,0.15804757,-0.34942865,0.37949523,2.7188396,3.1887112
29,0.3468077,0.47986668,-0.38303342,0.2588095,2.7267733,3.3509872
30,0.3596154,0.8016858,-0.4166382,0.13812378,3.3577814,3.5561798
31,0.37242308,1.0522666,-0.25532866,0.107438095,3.8349054,3.6904671
32,0.38523078,1.3028474,-0.094019115,0.07675241,4.2806354,3.8564072
33,0.39803845,0.9991285,-0.49444294,0.28040475,3.4694204,4.0282655
34,0.4108461,0.69540966,-0.89486676,0.4840571,3.1625364,4.3517914
35,0.42365384,0.9624667,-1.0236049,0.48357618,3.87809,5.0240216
36,0.43646154,1.2295238,-1.1523429,0.48309526,4.2536736,5.574689
37,0.44926924,1.0932618,-1.2570047,0.6841809,4.855959,6.1832705
38,0.46207693,0.9569999,-1.3616667,0.8852666,5.2823305,6.4893904
39,0.47488463,1.2556809,-0.81520957,1.1366239,5.276449,6.6510267
40,0.4876923,1.5543619,-0.26875246,1.387981,5.52881,6.716977
41,0.50049996,1.0651476,-0.41265243,0.5736524,4.7086253,6.814415
42,0.5133077,0.57593334,-0.5565524,-0.24067628,4.8423986,7.108618
43,0.5261154,0.50041914,-0.25275713,0.24694753,4.6389065,7.4570665
44,0.53892314,0.4249049,0.051038146,0.7345713,4.9985356,7.7711506
45,0.55173075,0.49758106,-0.24362381,0.99553806,5.183551,7.9384675
46,0.5645385,0.57025725,-0.5382857,1.2565048,5.348767,8.09109
47,0.57734615,0.5471144,-0.3531857,0.245538,5.061667,8.423274
48,0.5901538,0.52397156,-0.16808575,-0.7654288,5.644833,8.789653
49,0.60296154,0.72764295,0.24431899,0.27446187,5.692834,9.131637
50,0.61576927,0.93131435,0.65672374,1.3143524,6.156633,9.273507
51,0.6285769,-0.46199524,0.6551571,0.6138143,6.0387197,9.489048
52,0.6413846,-1.8553048,0.65359044,-0.086723804,6.882217,10.021343
53,0.6541923,-0.33848584,0.35078564,0.53635716,6.7922354,10.567148
54,0.66700006,1.1783332,0.047980905,1.1594381,6.9865804,10.813612
55,0.67980766,-0.31664777,0.12122853,1.2541286,7.1345325,11.009538
56,0.6926154,-1.8116288,0.19447616,1.348819,7.4931583,11.344872
57,0.7054231,-0.7991762,0.76332855,1.2295047,7.595673,11.800411
58,0.71823084,0.21327627,1.332181,1.1101904,7.87602,12.226369
59,0.73103845,1.0463905,0.8718858,-2.166624,8.367119,12.593239
60,0.7438462,1.8795048,0.41159055,-5.4434385,9.067631,12.752727
61,0.75665385,0.94648564,0.44025716,-7.1874194,9.326421,12.860851
62,0.7694615,0.013466597,0.4689238,-8.9314,9.683876,13.076596
63,0.78226924,-0.793162,1.7772188,-9.983691,9.889707,13.225577
64,0.79507697,-1.5997906,3.0855138,-11.035982,10.117037,13.376338
65,0.8078846,-2.7540522,3.6870952,-8.246906,9.860067,13.560073
66,0.8206923,-3.908314,4.2886767,-5.45783,9.750125,13.738164
67,0.8335,-6.5132856,1.0191383,-2.0394144,9.783514,13.931267
68,0.84630775,-9.118257,-2.2504,1.3790002,10.27117,14.217958
69,0.85911536,-7.494662,-2.1090906,5.2377863,10.282659,14.600758
70,0.8719231,-5.871067,-1.9677811,9.096573,11.179535,15.45533
71,0.8847308,-5.482067,-4.4960675,8.149452,11.443479,15.886091
72,0.89753854,-5.093067,-7.024354,7.202333,11.94753,16.449781
73,0.91034615,-6.4567146,-4.173005,10.795024,12.591177,17.05584
74,0.9231538,-7.820362,-1.3216567,14.387714,12.850967,17.149694
75,0.9359615,-3.9636235,-0.44252378,19.151508,13.218745,17.319708
76,0.9487692,-0.10688496,0.4366095,23.915302,13.149779,17.15945
77,0.96157694,-0.32941902,-5.445514,24.157932,12.992947,17.29607
78,0.97438467,-0.5519524,-11.327639,24.400562,13.185919,17.760492
79,0.9871923,-12.485644,-9.519733,20.437992,13.244581,17.906958
80,1.0,-24.419336,-7.711828,16.475422,13.815791,18.316988
