index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,-0.007832105,0.019896828,0.0018932603,0.30608138,0.00015634607
2,0.001,-0.01566421,0.039793655,0.0037865206,0.6121471,0.00031369794
3,0.013807692,-0.028258212,0.09931469,0.00135675,1.3086342,0.004684183
4,0.026615383,-0.04085221,0.15883572,-0.0010730203,1.9643958,0.009511316
5,0.03942308,-0.024364969,0.18046343,-0.003332126,1.962203,0.014673233
6,0.052230768,-0.007877722,0.20209116,-0.005591232,1.9454731,0.020210875
7,0.06503846,-0.029687028,0.20662394,-0.04908849,1.867444,0.026211664
8,0.077846155,-0.051496334,0.21115673,-0.09258574,1.7849321,0.032753624
9,0.09065385,-0.049414232,0.26063308,-0.07810674,2.0606835,0.039757624
10,0.10346155,-0.04733213,0.31010944,-0.06362773,2.3068113,0.0472062
11,0.11626923,-0.09493065,0.37865043,-0.035272803,2.838752,0.05525314
12,0.12907693,-0.14252916,0.44719142,-0.006917879,3.3217447,0.063621506
13,0.14188462,-0.13432114,0.45882195,0.06029472,3.2445579,0.07243138
14,0.15469232,-0.12611312,0.4704525,0.12750733,3.175511,0.082057185
15,0.16749999,-0.16054013,0.5330392,0.1269115,3.4476273,0.092298254
16,0.18030769,-0.19496715,0.5956259,0.12631568,3.689178,0.10300017
17,0.19311538,-0.26021627,0.5919205,0.15025365,3.6537375,0.114090465
18,0.20592308,-0.32546535,0.5882151,0.17419162,3.6021037,0.12613294
19,0.21873078,-0.30298448,0.6896185,0.21956477,3.850188,0.13933001
20,0.23153847,-0.28050363,0.7910219,0.2649379,4.0793686,0.15410873
21,0.24434614,-0.323802,0.8776332,0.23967788,4.2927756,0.17082296
22,0.25715384,-0.36710036,0.96424454,0.21441785,4.4820633,0.18899113
23,0.26996154,-0.4336788,1.0651515,0.15299907,4.707669,0.20781386
24,0.28276923,-0.50025725,1.1660584,0.091580294,4.907264,0.22735079
25,0.29557693,-0.5061542,1.3955785,0.1787938,5.422862,0.24956772
26,0.30838463,-0.5120511,1.6250986,0.2660073,5.8976145,0.27371702
27,0.32119232,-0.33543706,1.6188804,0.20238504,5.5369616,0.30059555
28,0.334,-0.15882303,1.6126622,0.13876277,5.208391,0.32973492
29,0.3468077,-0.11823269,1.74926,0.079134114,5.297877,0.3607986
30,0.3596154,-0.07764234,1.8858576,0.019505471,5.3745255,0.39282185
31,0.37242308,0.0596387,2.1249094,0.019551083,5.569936,0.42569476
32,0.38523078,0.19691974,2.3639612,0.019596705,5.742256,0.4624492
33,0.39803845,-0.017632276,2.6381598,-0.063893266,6.1400843,0.50679934
34,0.4108461,-0.23218429,2.9123578,-0.14738324,6.5007677,0.5580546
35,0.42365384,-0.42911404,3.2206688,-0.15251186,6.893269,0.61734474
36,0.43646154,-0.6260438,3.5289798,-0.1576405,7.258035,0.6825472
37,0.44926924,-0.87563956,3.9184725,0.13457753,7.76422,0.74785924
38,0.46207693,-1.1252353,4.3079653,0.42679554,8.2493105,0.8175045
39,0.47488463,-1.4938676,4.532918,0.6776378,8.592434,0.8925961
40,0.4876923,-1.8625,4.7578707,0.92847997,8.921947,0.9751519
41,0.50049996,-1.7632334,5.1324453,0.8536551,9.065435,1.06033
42,0.5133077,-1.6639669,5.507021,0.7788303,9.199284,1.1486716
43,0.5261154,-1.9650545,5.5635653,1.4346551,9.403281,1.2403902
44,0.53892314,-2.2661421,5.6201096,2.0904799,9.582665,1.343469
45,0.55173075,-2.242209,7.3226385,1.7978457,10.48637,1.4506615
46,0.5645385,-2.2182755,9.025167,1.5052116,11.351932,1.5709836
47,0.57734615,-2.7530866,9.35933,1.2499051,11.5483055,1.7089512
48,0.5901538,-3.2878976,9.693493,0.99459857,11.729554,1.8544617
49,0.60296154,-3.0554013,10.466006,1.7167792,12.1439495,2.0161815
50,0.61576927,-2.8229048,11.23852,2.43896,12.529922,2.1847472
51,0.6285769,-4.54334,11.775215,3.1393056,13.037201,2.367752
52,0.6413846,-6.2637753,12.311911,3.8396513,13.6567,2.6112156
53,0.6541923,-5.2296395,11.844236,2.9795418,13.382856,2.8757067
54,0.66700006,-4.1955037,11.376562,2.1194324,13.157005,3.1156662
55,0.67980766,-4.6914196,11.695496,2.0223103,13.399818,3.371912
56,0.6926154,-5.187336,12.014428,1.925188,13.642643,3.6330261
57,0.7054231,-5.746675,12.026653,1.5631068,13.820715,3.9209375
58,0.71823084,-6.306014,12.038878,1.2010257,14.010642,4.221063
59,0.73103845,-8.767634,13.417026,1.0266615,14.730829,4.569621
60,0.7438462,-11.229255,14.795173,0.8522974,15.438872,4.937908
61,0.75665385,-8.679238,16.751686,-0.9355081,15.629692,5.4422717
62,0.7694615,-6.129222,18.708199,-2.7233136,16.024302,6.0724764
63,0.78226924,-8.216944,18.592697,-5.895054,16.847769,6.86917
64,0.79507697,-10.3046665,18.477196,-9.066793,17.851665,7.675431
65,0.8078846,-10.525052,22.262814,-8.422661,18.85743,8.486903
66,0.8206923,-10.745438,26.04843,-7.778528,20.176277,9.641193
67,0.8335,-10.400158,28.838959,-8.832482,21.975702,11.292965
68,0.84630775,-10.054878,31.62949,-9.8864355,23.668314,12.89849
69,0.85911536,-8.456167,32.540062,-11.513471,25.96503,15.332214
70,0.8719231,-6.857457,33.450638,-13.140506,28.937313,18.32259
71,0.8847308,-12.52825,30.675518,-11.887445,31.22916,20.853188
72,0.89753854,-18.199041,27.900398,-10.634386,33.130222,22.753252
73,0.91034615,-22.846981,30.64729,-14.63568,35.326065,24.580982
74,0.9231538,-27.494923,33.39418,-18.636974,37.20526,26.120028
75,0.9359615,-27.043625,32.817314,-24.133001,38.579273,27.453838
76,0.9487692,-26.592327,32.240448,-29.629028,39.83493,28.61008
77,0.96157694,-28.105076,34.53064,-30.266092,40.83611,29.699047
78,0.97438467,-29.617825,36.82083,-30.903156,41.98263,30.927296
79,0.9871923,-20.384815,42.297676,-16.920107,43.580006,33.45188
80,1.0,-11.151805,47.77453,-2.9370575,46.186703,35.872776
