index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,-0.00051094935,0.011142752,-0.018329747,0.3053053,9.3778985e-09
2,0.001,-0.0010218987,0.022285504,-0.036659494,0.6105132,5.639557e-08
3,0.013807692,-0.013736137,0.049812943,-0.054060716,0.8684096,1.2840202e-06
4,0.026615383,-0.026450377,0.07734038,-0.07146194,1.0990624,4.1763983e-06
5,0.03942308,-0.014532937,0.08704385,-0.07193429,0.97903645,6.665439e-06
6,0.052230768,-0.0026154965,0.096747324,-0.07240664,0.85383534,1.0710095e-05
7,0.06503846,-0.034692295,0.105252706,-0.11441761,1.139561,1.1200926e-05
8,0.077846155,-0.06676909,0.11375809,-0.15642858,1.3918643,1.5247355e-05
9,0.09065385,-0.030895557,0.14502183,-0.20221442,1.7416799,1.6534097e-05
10,0.10346155,0.0049779713,0.17628556,-0.24800026,2.0539274,1.8891069e-05
11,0.11626923,-0.009763739,0.1992362,-0.28807145,2.2648425,2.0714117e-05
12,0.12907693,-0.024505448,0.22218682,-0.32814264,2.447922,2.7044965e-05
13,0.14188462,0.026741844,0.22160442,-0.33194488,2.2784374,3.2130367e-05
14,0.15469232,0.07798913,0.22102202,-0.33574718,2.1105218,3.458263e-05
15,0.16749999,0.0799451,0.264434,-0.3597855,2.199518,4.0655694e-05
16,0.18030769,0.081901066,0.30784598,-0.3838238,2.2704864,4.092219e-05
17,0.19311538,0.11587913,0.30305475,-0.44414252,2.3548486,4.1683666e-05
18,0.20592308,0.1498572,0.29826355,-0.5044613,2.4214473,4.1825686e-05
19,0.21873078,0.10385722,0.34264278,-0.56277484,2.587837,4.5207882e-05
20,0.23153847,0.057857245,0.38702202,-0.6210884,2.7304623,4.4568085e-05
21,0.24434614,0.13544512,0.4249176,-0.6638852,2.7722788,5.3271284e-05
22,0.25715384,0.21303299,0.46281317,-0.70668197,2.7988122,5.7622558e-05
23,0.26996154,0.26559338,0.60945606,-0.8436489,3.2800422,5.94455e-05
24,0.28276923,0.31815377,0.756099,-0.98061585,3.715814,6.900319e-05
25,0.29557693,0.40721428,0.8343407,-1.0592805,3.853819,6.978187e-05
26,0.30838463,0.49627477,0.9125824,-1.1379453,3.9698365,6.859853e-05
27,0.32119232,0.61752754,0.9212582,-1.2834015,4.1192513,7.612316e-05
28,0.334,0.7387803,0.929934,-1.4288578,4.246153,8.4941e-05
29,0.3468077,0.9424286,0.9456539,-1.531555,4.275171,9.9895886e-05
30,0.3596154,1.1460769,0.96137375,-1.6342523,4.291204,0.00010047533
31,0.37242308,1.1418515,0.9606428,-1.705956,4.2402472,0.00010344137
32,0.38523078,1.1376262,0.9599118,-1.7776597,4.1820555,0.00011563623
33,0.39803845,1.1786648,1.215879,-1.9530442,4.4680204,0.0001121272
34,0.4108461,1.2197034,1.4718461,-2.1284285,4.72226,0.00012367082
