index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,-0.00043479423,-0.009819871,-0.01909012,0.30584472,3.579933e-05
2,0.001,-0.00086958846,-0.019639742,-0.03818024,0.6116784,7.52942e-05
3,0.013807692,-0.023152197,-0.066649005,-0.05183237,0.9440105,0.0011514545
4,0.026615383,-0.045434803,-0.113658264,-0.065484494,1.246294,0.0023365342
5,0.03942308,-0.057838522,-0.118192464,-0.10750318,1.5838172,0.003709313
6,0.052230768,-0.07024224,-0.122726664,-0.14952187,1.8853661,0.005010622
7,0.06503846,-0.054512437,-0.11968009,-0.19574235,2.151092,0.006145998
8,0.077846155,-0.038782634,-0.11663352,-0.24196284,2.380883,0.007086978
9,0.09065385,0.009086933,-0.10907452,-0.2917299,2.59299,0.008406086
10,0.10346155,0.0569565,-0.10151552,-0.34149694,2.7701926,0.009954321
11,0.11626923,0.06747823,-0.12851235,-0.35724854,2.8120155,0.011604355
12,0.12907693,0.077999964,-0.1555092,-0.37300014,2.8384879,0.013693278
13,0.14188462,0.060335368,-0.19322976,-0.43503428,3.1904712,0.015528881
14,0.15469232,0.04267077,-0.23095033,-0.49706846,3.5043924,0.017088464
15,0.16749999,0.02952481,-0.26415217,-0.533407,3.6295037,0.018244065
16,0.18030769,0.01637885,-0.29735404,-0.5697454,3.7339206,0.019549625
17,0.19311538,0.009888187,-0.26404345,-0.651556,3.859205,0.021338908
18,0.20592308,0.0033975244,-0.23073287,-0.7333666,3.9756207,0.023877941
19,0.21873078,-0.00764598,-0.25900924,-0.74597836,3.9200232,0.026341833
20,0.23153847,-0.018689483,-0.2872856,-0.7585901,3.8561015,0.029036194
21,0.24434614,0.035577618,-0.27048442,-0.8453262,3.9504864,0.031960536
22,0.25715384,0.08984472,-0.25368324,-0.93206227,4.026736,0.035486847
23,0.26996154,0.025763966,-0.2846925,-1.0967361,4.4406962,0.040748715
24,0.28276923,-0.03831678,-0.31570175,-1.26141,4.8191566,0.04702229
25,0.29557693,-0.040906854,-0.2550807,-1.4888353,5.21532,0.05311814
26,0.30838463,-0.04349693,-0.19445965,-1.7162607,5.586809,0.0595789
27,0.32119232,0.017751519,-0.28139132,-1.8341863,5.754538,0.06707039
28,0.334,0.07899997,-0.36832297,-1.9521118,5.8904343,0.074619964
29,0.3468077,0.038863327,-0.5643385,-2.1260371,6.2381186,0.08343169
30,0.3596154,-0.0012733117,-0.76035404,-2.2999623,6.539159,0.09457801
31,0.37242308,-0.0016925731,-0.8192049,-2.561068,6.8715363,0.108070314
32,0.38523078,-0.0021118354,-0.8780558,-2.8221736,7.1754627,0.12553105
33,0.39803845,0.10716457,-0.7428292,-2.830736,6.9409795,0.14516404
34,0.4108461,0.21644098,-0.6076026,-2.8392982,6.718039,0.16548522
35,0.42365384,0.09434782,-0.6681895,-2.8527207,6.6514134,0.18600552
36,0.43646154,-0.027745336,-0.72877645,-2.8661432,6.57899,0.2078034
37,0.44926924,-0.22086954,-0.69172984,-2.8977146,6.509636,0.2302339
38,0.46207693,-0.41399375,-0.65468323,-2.929286,6.428313,0.24863924
39,0.47488463,-0.33935714,-0.79326713,-3.0611339,6.428433,0.2675322
40,0.4876923,-0.2647205,-0.931851,-3.1929817,6.4310355,0.29428095
41,0.50049996,-0.5440186,-0.93577015,-3.4494288,6.560653,0.32211393
42,0.5133077,-0.8233167,-0.9396893,-3.705876,6.6753545,0.35138583
43,0.5261154,-0.6797453,-0.8279689,-4.746671,7.2913575,0.38746408
44,0.53892314,-0.53617394,-0.7162485,-5.7874665,7.867963,0.43319926
45,0.55173075,-0.931087,-1.1728852,-6.386013,8.234123,0.47813419
46,0.5645385,-1.3260001,-1.6295218,-6.984559,8.571721,0.53516114
47,0.57734615,-1.2877796,-1.5122175,-7.447839,8.712432,0.59515053
48,0.5901538,-1.2495592,-1.394913,-7.9111185,8.83901,0.656945
49,0.60296154,-1.153556,-1.2678447,-8.648507,9.070007,0.7144524
50,0.61576927,-1.0575528,-1.1407764,-9.385896,9.276571,0.76417184
51,0.6285769,-0.77328885,-0.5229875,-9.5720005,9.250536,0.8178119
52,0.6413846,-0.48902488,0.094801426,-9.758105,9.2284775,0.8686526
