index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,0.020380022,-0.0055999598,-0.0032600784,0.3035922,-0.00017349524
2,0.001,0.040760044,-0.0111999195,-0.0065201567,0.60718167,-0.00035379935
3,0.013807692,0.07589337,-0.02412663,-0.014520193,0.9832982,-0.0054385066
4,0.026615383,0.1110267,-0.03705334,-0.02252023,1.3275708,-0.011188999
5,0.03942308,0.17006001,-0.04091332,-0.046133555,1.9310672,-0.018229343
6,0.052230768,0.22909334,-0.044773303,-0.06974688,2.45328,-0.026950268
7,0.06503846,0.2619,-0.09023331,-0.077406965,2.746005,-0.037941996
8,0.077846155,0.2947067,-0.13569331,-0.08506705,3.004137,-0.05058944
9,0.09065385,0.35976005,-0.16276664,-0.044607006,3.5067632,-0.06398347
10,0.10346155,0.4248134,-0.18983996,-0.0041469634,3.9946432,-0.081289664
11,0.11626923,0.48631337,-0.22653332,-0.00038035726,4.3734384,-0.10246484
12,0.12907693,0.54781336,-0.2632267,0.0033862558,4.7084703,-0.123494335
13,0.14188462,0.6213267,-0.37624002,0.095266335,5.59929,-0.14666334
14,0.15469232,0.69484,-0.48925334,0.18714641,6.325848,-0.1722073
15,0.16749999,0.75802,-0.49281335,0.23662639,6.504633,-0.18781546
16,0.18030769,0.82119995,-0.49637336,0.28610638,6.653989,-0.17573866
17,0.19311538,0.9015333,-0.5623067,0.2561197,7.0375204,-0.15880945
18,0.20592308,0.98186666,-0.62824005,0.22613302,7.391737,-0.13472894
19,0.21873078,1.01532,-0.6443534,0.17949311,7.441024,-0.101822555
20,0.23153847,1.0487733,-0.6604667,0.13285321,7.4795732,-0.06317906
21,0.24434614,1.1683066,-0.55646664,0.103779785,7.781208,-0.039432935
22,0.25715384,1.2878399,-0.4524666,0.07470636,8.082482,-0.06825154
23,0.26996154,1.3984067,-0.4820133,0.003733039,8.247114,-0.12902467
24,0.28276923,1.5089734,-0.51155996,-0.06724028,8.400839,-0.18105
25,0.29557693,1.4599066,-0.5401267,-0.14574698,8.293507,-0.19498709
26,0.30838463,1.4108398,-0.5686934,-0.22425365,8.197434,-0.2019899
27,0.32119232,1.4691598,-0.56796,-0.147887,7.953492,-0.20922591
28,0.334,1.5274799,-0.56722665,-0.07152037,7.7185616,-0.22449453
29,0.3468077,1.7823534,-0.5341066,-0.13420701,7.9998364,-0.2460263
30,0.3596154,2.0372267,-0.5009866,-0.19689363,8.273149,-0.26938593
31,0.37242308,2.1622467,-0.48311996,-0.2754935,8.348054,-0.3018563
32,0.38523078,2.2872667,-0.4652533,-0.35409337,8.415722,-0.3250028
33,0.39803845,2.5032668,-0.4351933,-0.4613068,8.641966,-0.31782416
34,0.4108461,2.719267,-0.4051333,-0.56852025,8.8268175,-0.32992926
35,0.42365384,2.699247,-0.19827333,-0.9255469,9.042549,-0.3169688
36,0.43646154,2.6792269,0.008586645,-1.2825735,9.457624,-0.23596302
37,0.44926924,2.863327,0.12692,-1.657687,9.783476,-0.17705874
38,0.46207693,3.0474272,0.24525332,-2.0328002,10.013491,-0.14425938
39,0.47488463,3.5115333,0.27628002,-2.1010938,10.148784,-0.07801185
40,0.4876923,3.9756393,0.3073067,-2.1693873,10.393689,0.019759253
41,0.50049996,4.519033,0.035886705,-2.4699068,10.7930765,0.088853516
42,0.5133077,5.062426,-0.2355333,-2.7704268,11.121877,0.14681771
43,0.5261154,5.7642403,-0.39168662,-2.560747,11.173009,0.18878433
44,0.53892314,6.466054,-0.54783994,-2.351067,11.352594,0.21440685
45,0.55173075,6.462054,-1.2093267,-2.219407,11.283437,0.21748786
46,0.5645385,6.4580536,-1.8708135,-2.087747,11.201985,0.19312915
