index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,0.013920852,0.01245428,0.010574818,0.30558792,4.595023e-08
2,0.001,0.027841704,0.02490856,0.021149635,0.6110783,1.7254052e-07
3,0.013807692,0.041358337,0.03377932,0.03719562,0.76023775,2.544019e-06
4,0.026615383,0.05487497,0.04265008,0.053241603,0.88531625,5.7299108e-06
5,0.03942308,0.068379104,0.086345956,0.047349803,1.1131086,9.028129e-06
6,0.052230768,0.081883244,0.13004184,0.041458003,1.3117223,1.5152427e-05
7,0.06503846,0.12604578,0.15814593,0.043537077,1.650358,1.9457038e-05
8,0.077846155,0.17020832,0.18625003,0.04561615,1.9516767,2.6961787e-05
9,0.09065385,0.18037918,0.20028749,0.053662047,1.9510785,2.9641422e-05
10,0.10346155,0.19055006,0.21432492,0.061707944,1.9373947,3.191152e-05
11,0.11626923,0.23802921,0.25207084,0.08939537,2.3162832,3.7082704e-05
12,0.12907693,0.28550836,0.2898168,0.11708279,2.6549501,4.0251645e-05
13,0.14188462,0.33069173,0.33270836,0.12282038,2.8884773,4.3588632e-05
14,0.15469232,0.3758751,0.37559992,0.12855797,3.0926197,5.0348594e-05
15,0.16749999,0.44270837,0.4023,0.14118728,3.3189964,5.809769e-05
16,0.18030769,0.5095417,0.42900008,0.15381661,3.5168567,6.585563e-05
17,0.19311538,0.55216247,0.42670012,0.15509145,3.4864378,7.659495e-05
18,0.20592308,0.59478325,0.42440015,0.15636629,3.4466505,8.582709e-05
19,0.21873078,0.69483745,0.51452506,0.17464972,3.8507981,9.824681e-05
20,0.23153847,0.7948917,0.60464996,0.19293314,4.21446,0.00011121803
21,0.24434614,0.9101459,0.5958668,0.24682057,4.4211254,0.0001203048
22,0.25715384,1.0254,0.5870836,0.300708,4.6011744,0.00013445833
23,0.26996154,1.055825,0.5232335,0.36802873,4.481726,0.00014318226
24,0.28276923,1.0862501,0.45938337,0.43534946,4.3578367,0.00015399736
25,0.29557693,1.2526542,0.5599751,0.60803294,4.929407,0.0001559499
26,0.30838463,1.4190583,0.66056675,0.7807164,5.4484863,0.00016077138
27,0.32119232,1.4628792,0.7670084,0.9577124,5.7296495,0.00017067062
28,0.334,1.5067,0.8734501,1.1347084,5.97845,0.00020013796
29,0.3468077,1.6478583,0.9055917,1.1828331,6.101031,0.00021781326
30,0.3596154,1.7890165,0.93773335,1.2309577,6.2034674,0.00024076254
31,0.37242308,2.0910623,1.0397334,1.3288414,6.6031814,0.00025986115
32,0.38523078,2.3931081,1.1417334,1.4267251,6.962366,0.0002928649
33,0.39803845,2.6010914,1.2226961,1.4853749,7.1361976,0.00032484153
34,0.4108461,2.8090749,1.3036587,1.544025,7.2862678,0.00036853293
35,0.42365384,3.1706247,1.4920542,1.4552913,7.5376987,0.00039541116
36,0.43646154,3.5321746,1.68045,1.3665576,7.7599154,0.00042062183
37,0.44926924,3.6741416,1.8756583,1.5852579,7.9714894,0.00044478223
38,0.46207693,3.8161087,2.0708666,1.8039582,8.156636,0.00046741002
39,0.47488463,3.682642,1.9769958,2.1971123,8.04618,0.0004895064
40,0.4876923,3.5491753,1.8831251,2.5902665,7.931036,0.00053509837
41,0.50049996,3.7954707,1.8156877,2.3644414,7.771202,0.0005992984
42,0.5133077,4.0417666,1.7482502,2.1386163,7.610088,0.0006218312
43,0.5261154,4.475858,2.3138502,2.1497245,7.9241233,0.0006829314
44,0.53892314,4.90995,2.87945,2.1608326,8.204121,0.00073783536
45,0.55173075,4.8132706,3.099525,2.7118368,8.264585,0.0008317242
46,0.5645385,4.7165914,3.3195999,3.2628412,8.309442,0.000902724
47,0.57734615,5.4104958,3.5775704,3.4694204,8.549934,0.00097248476
48,0.5901538,6.1044,3.8355412,3.6759996,8.761566,0.0010585207
49,0.60296154,6.6937914,3.8449957,3.6306958,8.781217,0.001127979
50,0.61576927,7.2831826,3.8544502,3.585392,8.789655,0.0011982857
