index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,0.00033912325,0.012239108,-0.017426118,0.30190623,0.0097682355
2,0.001,0.0006782465,0.024478216,-0.034852237,0.608863,0.016397143
3,0.013807692,0.0054304213,0.024386909,-0.06723477,0.969827,0.12836145
4,0.026615383,0.010182597,0.024295602,-0.0996173,1.2872672,0.20591374
5,0.03942308,-0.005073907,0.020773845,-0.025256507,0.31856757,0.32922137
6,0.052230768,-0.02033041,0.01725209,0.04910429,0.6129768,0.76225877
7,0.06503846,-0.031247828,-0.027343543,0.002721738,0.6430063,1.370731
8,0.077846155,-0.042165242,-0.07193918,-0.043660816,1.2433121,1.7576468
9,0.09065385,-0.03487391,-0.043660894,-0.05263044,1.3160125,1.9204891
10,0.10346155,-0.027582578,-0.01538261,-0.06160006,1.4194287,2.0787816
11,0.11626923,-0.062291294,-0.010043474,-0.025630485,1.3842202,2.3748121
12,0.12907693,-0.097,-0.0047043366,0.010339092,1.9610742,2.8951411
13,0.14188462,-0.05704782,0.031173911,0.044447858,2.120632,3.2630327
14,0.15469232,-0.01709564,0.067052156,0.07855663,2.4173992,3.5488772
15,0.16749999,0.016439142,-0.033439122,0.1600566,2.9106944,3.8944716
16,0.18030769,0.049973935,-0.13393041,0.24155658,3.5011902,4.056833
17,0.19311538,0.08881304,-0.09907391,0.23684353,3.4797192,4.275812
18,0.20592308,0.12765214,-0.0642174,0.2321305,3.5909996,4.5677567
19,0.21873078,0.08949562,-0.09949133,0.1942348,3.6115315,4.9339128
20,0.23153847,0.051339105,-0.13476525,0.15633911,3.895925,5.4522724
21,0.24434614,0.1518043,-0.1081435,0.13578698,4.6676674,6.2429657
22,0.25715384,0.2522695,-0.08152175,0.11523485,5.433358,6.9081426
23,0.26996154,0.39301735,0.0033521652,0.09863922,6.295623,7.4486575
24,0.28276923,0.5337652,0.08822608,0.08204357,6.9033213,7.7274885
25,0.29557693,0.4036739,-0.14916518,0.1597,6.6587586,8.114431
26,0.30838463,0.27358258,-0.38655645,0.23735645,7.366889,8.621085
27,0.32119232,0.27660865,-0.3103087,0.07778257,7.477242,9.156912
28,0.334,0.2796347,-0.23406093,-0.08179131,8.091229,9.782519
29,0.3468077,0.40388256,-0.036460906,0.24102607,8.55466,10.400523
30,0.3596154,0.52813035,0.16113912,0.5638435,9.432623,10.690184
31,0.37242308,0.6828869,0.06369996,0.5013478,9.397153,10.891867
32,0.38523078,0.83764344,-0.033739194,0.4388521,9.576233,11.166917
33,0.39803845,0.65589565,-0.03844788,0.23366949,9.324647,11.509221
34,0.4108461,0.47414786,-0.04315657,0.028486907,9.315574,11.977949
35,0.42365384,0.4368087,0.027599957,0.20346516,9.748279,12.638572
36,0.43646154,0.39946958,0.098356485,0.37844342,10.360052,13.296159
37,0.44926924,0.48475218,0.041156504,0.36486083,10.692655,13.771787
