index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,0.008361782,0.018790673,-0.0059634186,0.30453646,-1.2093622e-07
2,0.001,0.016723564,0.037581347,-0.011926837,0.6089757,-2.0955088e-07
3,0.013807692,-0.0019308943,0.0696197,-0.015859775,0.7591491,-5.2300247e-06
4,0.026615383,-0.020585353,0.10165805,-0.019792713,0.88525945,-6.59631e-06
5,0.03942308,-0.032969497,0.10328022,-0.0016910303,0.58625054,-1.0457117e-05
6,0.052230768,-0.045353636,0.10490238,0.01641065,0.2944283,-1.5038724e-05
7,0.06503846,-0.03415039,0.14433111,-0.016977597,0.65970635,-1.8414781e-05
8,0.077846155,-0.02294715,0.18375985,-0.050365843,0.9857394,-2.2643322e-05
9,0.09065385,0.010571161,0.2119753,-0.037339337,1.1377238,-2.4518089e-05
10,0.10346155,0.044089474,0.24019074,-0.024312831,1.2659823,-3.099683e-05
11,0.11626923,0.08010775,0.31332308,-0.01922146,1.7336047,-3.458481e-05
12,0.12907693,0.11612602,0.38645542,-0.014130088,2.1545062,-3.6109894e-05
13,0.14188462,0.12731914,0.38375008,-0.07033538,2.1023114,-4.2540873e-05
14,0.15469232,0.13851227,0.38104475,-0.12654068,2.0426931,-4.906355e-05
15,0.16749999,0.15235981,0.46117485,-0.18761995,2.4410467,-5.6437275e-05
16,0.18030769,0.16620736,0.54130495,-0.24869925,2.7977982,-5.7947025e-05
17,0.19311538,0.16336381,0.68673587,-0.29199392,3.358555,-6.000206e-05
18,0.20592308,0.16052029,0.8321668,-0.33528858,3.8666599,-6.4587555e-05
19,0.21873078,0.099861756,0.90306103,-0.30505884,3.8324654,-6.918209e-05
20,0.23153847,0.039203227,0.97395515,-0.2748291,3.7886233,-7.2356284e-05
21,0.24434614,0.042530462,1.0776483,-0.34031284,4.0528493,-9.1248185e-05
22,0.25715384,0.045857698,1.1813414,-0.4057966,4.2865295,-0.00010419701
23,0.26996154,0.09489432,1.1449512,-0.37444705,4.0407333,-0.000116142
24,0.28276923,0.14393094,1.108561,-0.34309748,3.7991593,-0.00012795681
