index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,0.009109342,0.017820569,-0.007752667,0.30559987,3.598996e-07
2,0.001,0.018218683,0.035641138,-0.015505334,0.61110723,-2.1326528e-07
3,0.013807692,0.010394934,0.061923504,-0.02965926,0.7874313,1.5464062e-05
4,0.026615383,0.0025711842,0.088205874,-0.043813184,0.93603104,3.2308802e-05
5,0.03942308,-0.02922289,0.11463582,-0.006974533,0.672173,2.9707287e-05
6,0.052230768,-0.061016966,0.14106576,0.029864118,0.41776556,0.0001527545
7,0.06503846,-0.02679829,0.13993202,0.011471339,0.46364006,0.00032030363
8,0.077846155,0.0074203834,0.13879828,-0.0069214404,0.49486297,0.0003756577
9,0.09065385,-5.413033e-05,0.18404774,-0.00025159772,0.62184584,0.00037042607
10,0.10346155,-0.0075286413,0.2292972,0.006418247,0.7229699,0.00022323613
11,0.11626923,0.01580363,0.25804666,0.012174073,0.8042038,5.2424555e-05
12,0.12907693,0.0391359,0.28679612,0.017929899,0.8661154,-0.00020965544
13,0.14188462,0.06455098,0.37094903,-0.050485164,1.4588978,-0.0004653286
14,0.15469232,0.08996606,0.4551019,-0.118900225,1.9991472,-0.00041258862
15,0.16749999,0.13144484,0.53007853,-0.12928133,2.32693,-0.00045757054
16,0.18030769,0.17292362,0.60505515,-0.13966243,2.6218734,-0.0002943293
17,0.19311538,0.18513805,0.70283645,-0.20977178,3.0464716,-0.00025799946
18,0.20592308,0.19735247,0.80061775,-0.27988112,3.430419,-0.0006070125
19,0.21873078,0.23509341,0.88607955,-0.3171932,3.7157383,-0.0013722138
20,0.23153847,0.27283433,0.9715414,-0.3545053,3.9684005,-0.0021809563
21,0.24434614,0.20714119,1.0120339,-0.3263312,3.7782488,-0.0029679402
22,0.25715384,0.14144805,1.0525265,-0.2981571,3.5897088,-0.0040225843
23,0.26996154,0.32419217,1.2160742,-0.2657155,4.0441427,-0.005816048
24,0.28276923,0.5069363,1.379622,-0.2332739,4.4556193,-0.008295716
25,0.29557693,0.40158176,1.4097505,-0.26559448,4.279856,-0.0106396945
26,0.30838463,0.29622722,1.439879,-0.2979151,4.1054907,-0.01329327
27,0.32119232,0.50017303,1.4796944,-0.32570916,4.2409964,-0.015960947
28,0.334,0.70411885,1.5195098,-0.35350323,4.366228,-0.018455159
29,0.3468077,0.66075695,1.6317675,-0.5178737,4.5054092,-0.021447543
30,0.3596154,0.61739504,1.7440252,-0.6822442,4.6187015,-0.0243084
31,0.37242308,0.6411805,2.0916262,-0.76088005,5.0584893,-0.02635478
32,0.38523078,0.66496605,2.439227,-0.8395159,5.4659553,-0.028466355
33,0.39803845,1.0099851,2.513967,-0.6218333,5.4697266,-0.031607695
34,0.4108461,1.3550042,2.588707,-0.40415072,5.477832,-0.03669083
35,0.42365384,1.491895,2.7665892,-0.26762846,5.5156016,-0.043515194
36,0.43646154,1.6287856,2.9444711,-0.1311062,5.5422544,-0.05122163
