index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.0005,-0.0004307435,-0.01727694,0.012338489,0.294599,0.001107499
2,0.001,-0.000861487,-0.03455388,0.024676979,0.5930275,0.0022728648
3,0.013807692,0.059038524,-0.02325386,0.03563851,0.66209084,0.032442927
4,0.026615383,0.118938535,-0.011953838,0.046600044,0.947694,0.06275974
5,0.03942308,0.14570005,-0.028969258,0.03657697,1.0607721,0.09702149
6,0.052230768,0.17246157,-0.045984678,0.026553903,1.1653272,0.13346295
7,0.06503846,0.13771544,-0.032861598,-0.018030722,0.4598416,0.17215037
8,0.077846155,0.10296932,-0.019738518,-0.06261535,0.123235345,0.21965435
9,0.09065385,0.1267616,-0.040353894,-0.09160767,0.06516495,0.2871046
10,0.10346155,0.1505539,-0.06096927,-0.12059999,0.13782053,0.34619176
11,0.11626923,0.16638467,-0.06060774,-0.06718461,-0.2530883,0.39196643
12,0.12907693,0.18221544,-0.060246207,-0.013769232,-0.19717158,0.44835594
13,0.14188462,0.16552311,-0.08999234,-0.048984595,-0.32247704,0.49643528
14,0.15469232,0.1488308,-0.119738474,-0.08419996,-0.22493544,0.54111934
15,0.16749999,0.12461543,-0.19376928,-0.02557689,-0.0706649,0.58543
16,0.18030769,0.10040006,-0.2678001,0.03304618,0.16571894,0.61107695
17,0.19311538,0.13710003,-0.11393854,-0.026899967,-0.6588589,0.6462045
18,0.20592308,0.17379999,0.039923012,-0.08684611,-1.113331,0.7774337
19,0.21873078,0.15950772,0.08298458,-0.021184579,-1.0132717,0.88830197
20,0.23153847,0.14521545,0.12604612,0.044476964,-0.8065896,1.0148039
21,0.24434614,0.18313852,0.041653857,-0.008669198,-0.9529571,1.1588247
22,0.25715384,0.22106159,-0.042738408,-0.06181536,-0.8284857,1.3341529
23,0.26996154,0.24290775,-0.02656918,-0.1637769,-0.6845371,1.4377788
24,0.28276923,0.2647539,-0.010399934,-0.26573843,-0.48474818,1.5107374
25,0.29557693,-0.037323087,0.07436156,-0.3015384,-0.22444513,1.5798652
26,0.30838463,-0.33940008,0.15912306,-0.3373384,0.44885856,1.6209059
27,0.32119232,-0.5609769,0.19208458,-0.25099224,0.7640823,1.6835936
28,0.334,-0.7825538,0.22504613,-0.16464606,1.140162,1.7438354
29,0.3468077,-0.6331538,-0.029461533,-0.49004605,0.8132473,1.789853
30,0.3596154,-0.48375383,-0.2839692,-0.815446,0.87257016,1.8477616
31,0.37242308,-0.39883077,-0.23631537,-1.1297386,1.1839343,1.8257158
32,0.38523078,-0.31390765,-0.18866155,-1.444031,1.4755673,1.7927948
33,0.39803845,-0.75090766,-0.23833846,-1.5391308,1.2125843,1.7883425
34,0.4108461,-1.1879077,-0.28801537,-1.6342306,0.97919416,1.6765101
35,0.42365384,-0.7735615,-0.5095,-1.706946,0.58933973,1.7692415
36,0.43646154,-0.35921538,-0.7309847,-1.7796614,0.9271563,1.8749267
37,0.44926924,-0.36612305,-0.8296616,-1.7931921,0.9127967,1.9182805
38,0.46207693,-0.37303072,-0.9283385,-1.8067229,0.896904,1.958413
39,0.47488463,0.079761624,-0.9223077,-1.8835305,0.9004056,1.9682755
40,0.4876923,0.532554,-0.91627693,-1.9603382,1.0725019,1.9419872
