index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,0.00834864,-0.0105759725,-0.0038399794,0.18856844,-5.7939076e-05
2,0.0006666667,0.01669728,-0.021151945,-0.007679959,0.3826913,-0.00011106871
3,0.001,0.02504592,-0.031727917,-0.011519939,0.57748234,-0.00016091755
4,0.009538461,0.053933773,-0.019286538,-0.011655509,0.62025034,-0.001013285
5,0.018076923,0.08282162,-0.0068451576,-0.011791079,0.686161,-0.0010682626
6,0.026615385,0.111709476,0.0055962224,-0.01192665,0.74594307,-0.0011127014
7,0.035153847,0.13124262,0.015113065,0.015598324,0.760628,-4.0831626e-05
8,0.04369231,0.15077576,0.024629906,0.043123297,0.85809803,0.0024088728
9,0.05223077,0.1703089,0.03414675,0.07064827,1.0306885,0.005028242
10,0.06076923,0.16965854,0.04453411,0.101194665,1.0987395,0.0075515374
11,0.06930769,0.16900818,0.05492147,0.13174106,1.1879268,0.009928357
12,0.077846155,0.16835782,0.06530883,0.16228746,1.3278425,0.014285093
13,0.08638462,0.18178798,0.044563662,0.18718448,1.4632754,0.017339317
14,0.09492308,0.19521815,0.023818493,0.21208152,1.6158593,0.02111725
15,0.10346154,0.20864831,0.0030733235,0.23697856,1.7551777,0.025818644
16,0.112,0.17121303,-0.033110164,0.2799592,1.8173683,0.030364323
17,0.120538466,0.13377777,-0.06929365,0.32293984,2.0332923,0.033425953
18,0.12907693,0.0963425,-0.10547714,0.36592048,2.2703528,0.035938352
19,0.13761538,0.11556168,-0.17848423,0.41284916,2.7710655,0.037556984
20,0.14615384,0.13478085,-0.25149134,0.4597778,3.2448857,0.039818097
21,0.15469229,0.15400003,-0.32449844,0.5067065,3.6986675,0.04285091
22,0.16323076,0.12499596,-0.34212235,0.5123925,3.6485295,0.0500472
23,0.17176922,0.09599191,-0.35974628,0.51807857,3.621309,0.051145963
24,0.18030767,0.06698786,-0.3773702,0.5237646,3.625731,0.0495584
25,0.18884616,0.08622126,-0.32623053,0.5496402,3.2537966,0.04769413
26,0.19738463,0.105454676,-0.27509084,0.57551575,2.998516,0.052648984
27,0.2059231,0.12468809,-0.22395116,0.6013913,2.8624673,0.058663018
