index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,0.0025683457,0.013621695,0.002641657,-0.15148517,0.0002998391
2,0.0006666667,0.0051366915,0.02724339,0.005283314,-0.29182437,0.00079917035
3,0.001,0.0077050375,0.040865086,0.00792497,-0.25523204,0.0014465671
4,0.009538461,-0.003904942,0.021971783,-0.018196696,-0.10735625,0.019395703
5,0.018076923,-0.015514921,0.003078483,-0.044318363,0.13517961,0.037497554
6,0.026615385,-0.0271249,-0.015814817,-0.07044003,0.36598307,0.055906676
7,0.035153847,-0.034798242,0.013786869,-0.06475836,-0.069593936,0.07681669
8,0.04369231,-0.042471584,0.043388553,-0.059076685,-0.43622333,0.107524835
9,0.05223077,-0.050144926,0.07299024,-0.05339501,-0.49610978,0.13344905
10,0.06076923,-0.05172326,0.06365025,-0.06698336,-0.7259651,0.15613185
11,0.06930769,-0.0533016,0.054310262,-0.0805717,-0.8048729,0.18430503
12,0.077846155,-0.054879937,0.044970274,-0.09416005,-0.77300316,0.2193066
13,0.08638462,-0.07168329,0.03274523,-0.09561337,-0.9283927,0.23392548
14,0.09492308,-0.08848664,0.020520188,-0.09706669,-1.0630314,0.25239927
15,0.10346154,-0.105289996,0.008295145,-0.09852002,-1.1520247,0.27706656
16,0.112,-0.1824083,0.028791783,-0.098493345,-1.1569091,0.30788824
17,0.120538466,-0.2595266,0.049288422,-0.09846668,-0.66247624,0.36927316
18,0.12907693,-0.33664492,0.06978506,-0.098440014,-0.15646452,0.42199862
19,0.13761538,-0.33017156,0.062616736,-0.077913344,-0.1403263,0.5849613
20,0.14615384,-0.32369822,0.055448417,-0.05738667,-0.12091416,0.7309291
21,0.15469229,-0.3172249,0.048280098,-0.036859997,-0.07716846,0.88217694
22,0.16323076,-0.36293492,0.028156782,-0.0076566823,0.22116956,1.0431197
23,0.17176922,-0.4086449,0.008033466,0.02154664,0.5200743,1.2020242
24,0.18030767,-0.4543549,-0.01208985,0.05074996,0.8531728,1.3745766
25,0.18884616,-0.4881033,-0.065558195,-0.02815003,1.1515627,1.5337262
26,0.19738463,-0.52185166,-0.119026534,-0.107050024,1.54117,1.5675216
27,0.2059231,-0.5556,-0.17249487,-0.18595001,1.929039,1.5938922
28,0.21446154,-0.5489466,-0.18620485,-0.19790834,1.897739,1.6230613
29,0.22299999,-0.54229325,-0.19991486,-0.20986667,1.8708104,1.6553063
30,0.23153844,-0.5356399,-0.21362486,-0.221825,1.8409386,1.6871111
31,0.24007691,-0.5386415,-0.14289987,-0.2516,1.8181541,1.7203643
32,0.24861537,-0.5416432,-0.07217487,-0.281375,1.8510712,1.7584901
33,0.25715384,-0.5446449,-0.0014498681,-0.31114998,1.9455084,1.8013561
34,0.2656923,-0.5179633,0.04716846,-0.35583833,2.0253544,1.8564512
35,0.27423075,-0.49128163,0.09578681,-0.40052667,2.097045,1.9450684
36,0.2827692,-0.46459997,0.14440516,-0.44521502,2.1499512,1.9911729
37,0.2913077,-0.55754334,0.18953016,-0.4299917,2.280627,2.0182097
38,0.29984614,-0.6504867,0.23465517,-0.4147684,2.412385,2.0422852
39,0.3083846,-0.7434301,0.27978018,-0.3995451,2.5197875,2.0575085
40,0.31692308,-0.71998495,0.21771516,-0.49520507,2.2115536,2.076207
41,0.32546154,-0.6965399,0.15565014,-0.5908651,1.9413886,2.0968444
42,0.334,-0.6730948,0.09358512,-0.68652505,1.7784604,2.1374035
43,0.34253845,-0.6258982,0.20331344,-0.67022836,1.8655833,2.1790552
44,0.3510769,-0.5787015,0.31304175,-0.6539317,1.9666572,2.2021632
45,0.35961536,-0.5315048,0.42277008,-0.637635,2.0561683,2.2172525
46,0.36815384,-0.51443326,0.39014673,-0.430395,2.0219395,2.2311282
47,0.3766923,-0.49736166,0.35752338,-0.22315502,1.9880531,2.2451408
48,0.38523075,-0.48029006,0.32490003,-0.015915036,2.033951,2.302225
49,0.39376923,-0.7030283,0.20482504,0.09595667,2.3817124,2.4706821
50,0.4023077,-0.92576665,0.084750034,0.20782833,2.7523973,2.6252575
51,0.41084614,-1.148505,-0.035324976,0.3197,3.194769,2.7904618
52,0.4193846,-1.0051767,-0.17306662,0.2863883,3.1834643,2.8778841
53,0.42792305,-0.8618483,-0.31080824,0.25307664,3.2238848,2.9373605
54,0.4364615,-0.7185199,-0.44854987,0.21976498,3.274514,2.9764292
55,0.445,-0.5762316,-0.48894155,0.101178296,3.2267559,3.0129757
56,0.45353845,-0.43394327,-0.52933323,-0.017408386,3.2477264,3.0668116
57,0.4620769,-0.29165494,-0.5697249,-0.13599506,3.2935832,3.1267104
58,0.4706154,-0.6681516,-0.3403066,-0.069053374,3.2700934,3.2356815
59,0.47915384,-1.0446483,-0.11088824,-0.0021117032,3.228614,3.323524
60,0.4876923,-1.421145,0.118530124,0.06482997,3.5079656,3.4850473
61,0.49623075,-1.255935,-0.018134914,0.044159964,3.4479046,3.6361828
62,0.5047692,-1.090725,-0.15479991,0.023489965,3.4666717,3.7972088
63,0.5133077,-0.925515,-0.2914649,0.0028199665,3.509559,3.9406166
64,0.5218462,-0.7018349,0.09752345,-0.06801504,3.262672,4.151688
65,0.53038466,-0.47815487,0.4865118,-0.13885005,3.4529974,4.420294
66,0.53892314,-0.25447482,0.87550014,-0.20968506,3.6263945,4.479294
67,0.54746157,-0.3320616,0.4944084,-0.15925169,3.3406606,4.5425653
68,0.55600005,-0.4096483,0.113316715,-0.10881834,3.2340643,4.738489
69,0.56453854,-0.487235,-0.26777497,-0.05838499,3.4637012,5.0816855
70,0.5730769,-0.58355993,-0.5996715,0.10500333,3.6405363,5.228252
71,0.5816153,-0.6798849,-0.9315682,0.26839167,3.7537205,5.2669697
72,0.59015375,-0.7762099,-1.2634649,0.43178,3.8351197,5.2818413
73,0.5986923,-0.38836157,-0.7651382,-0.123995036,3.5513258,5.3266816
74,0.6072308,-0.0005132556,-0.2668115,-0.6797701,3.8190289,5.4640865
75,0.61576927,0.38733506,0.23151523,-1.2355452,4.330557,5.7382445
76,0.6243077,0.6470033,0.7320219,-0.7567033,4.569723,5.87434
77,0.6328462,0.90667164,1.2325287,-0.2778616,4.7319884,5.9024615
78,0.64138466,1.16634,1.7330354,0.20098013,4.904732,5.964753
79,0.6499231,1.5317867,1.917362,0.20705163,4.9815416,5.999051
80,0.6584616,1.8972334,2.1016886,0.2131233,5.03326,6.010927
81,0.66700006,2.26268,2.2860153,0.21919498,5.05474,6.005097
82,0.6755385,2.0820851,3.3041236,0.5767267,5.23451,6.0482707
83,0.68407696,1.9014902,4.3222322,0.93425834,5.4593315,6.0862274
84,0.69261545,1.7208953,5.3403406,1.29179,5.6534977,6.0814753
85,0.7011539,1.8234268,4.085018,2.8231938,5.3294487,6.121751
86,0.70969236,1.9259584,2.8296964,4.3545976,5.2381067,6.256016
87,0.71823084,2.02849,1.5743747,5.8860016,5.3105206,6.3107653
88,0.72676927,3.1110337,1.8289452,5.397942,5.6898346,6.805508
