index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,0.012888892,-0.0035245565,-0.005054271,0.20324874,0.00013317201
2,0.0006666667,0.025777783,-0.007049113,-0.010108542,0.40640464,0.00026473345
3,0.001,0.038666673,-0.010573669,-0.015162813,0.60987765,0.00040610865
4,0.009538461,0.055646002,-0.010503905,-0.00079588126,0.65580404,0.004157914
5,0.018076923,0.072625324,-0.01043414,0.013571051,0.6923563,0.0082367435
6,0.026615385,0.089604646,-0.010364376,0.027937982,0.7192998,0.0127576925
7,0.035153847,0.09488114,-0.016640859,0.015974157,0.74026954,0.017657235
8,0.04369231,0.100157626,-0.022917341,0.004010332,0.7520854,0.022313494
9,0.05223077,0.10543411,-0.029193826,-0.007953493,0.75865793,0.027382854
10,0.06076923,0.1256486,-0.03250389,-0.020966405,0.91355914,0.032723073
11,0.06930769,0.14586309,-0.035813957,-0.03397932,1.0566196,0.038411126
12,0.077846155,0.16607757,-0.039124023,-0.046992235,1.1850586,0.04538735
13,0.08638462,0.1756512,-0.06024806,-0.046904385,1.2289522,0.053374037
14,0.09492308,0.18522483,-0.0813721,-0.046816535,1.2665902,0.06166485
15,0.10346154,0.19479847,-0.10249613,-0.046728685,1.3043721,0.07092402
16,0.112,0.18427649,-0.08464859,-0.0501137,1.0620679,0.08061932
17,0.120538466,0.1737545,-0.06680104,-0.05349872,0.83158225,0.090427995
18,0.12907693,0.1632325,-0.048953496,-0.056883737,0.61018157,0.10059783
19,0.13761538,0.18658654,-0.059258416,-0.07283723,0.7186512,0.111310154
20,0.14615384,0.20994057,-0.06956333,-0.08879073,0.8171159,0.12299011
21,0.15469229,0.23329459,-0.07986824,-0.104744226,0.9042332,0.13531865
22,0.16323076,0.24526615,-0.11759177,-0.12660466,0.99819934,0.14827104
23,0.17176922,0.25723773,-0.1553153,-0.14846511,1.0937102,0.16242892
24,0.18030767,0.26920933,-0.19303882,-0.17032556,1.2018172,0.17853957
25,0.18884616,0.26698712,-0.21277007,-0.18263303,1.1874163,0.19893286
26,0.19738463,0.2647649,-0.23250134,-0.1949405,1.1713045,0.22101296
27,0.2059231,0.2625427,-0.2522326,-0.20724799,1.1548545,0.24477926
28,0.21446154,0.28428426,-0.26719385,-0.22068731,1.2013823,0.27070105
29,0.22299999,0.30602586,-0.2821551,-0.23412663,1.2413666,0.29723337
30,0.23153844,0.32776746,-0.29711634,-0.24756594,1.2731153,0.3220964
31,0.24007691,0.36509824,-0.32090184,-0.2727959,1.3823795,0.34737802
32,0.24861537,0.40242898,-0.34468737,-0.29802585,1.4824016,0.37551692
33,0.25715384,0.43975973,-0.3684729,-0.3232558,1.569666,0.4034989
34,0.2656923,0.44838762,-0.32062793,-0.32533073,1.4080796,0.432246
