index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,0.013768433,-0.00090875535,0.0034947367,-0.07824094,0.0017378607
2,0.0006666667,0.027536865,-0.0018175107,0.0069894735,-0.10482764,0.0045791664
3,0.001,0.041305296,-0.0027262662,0.01048421,0.09161997,0.008961704
4,0.009538461,0.019322839,-0.014975386,0.018870182,0.21822116,0.084915295
5,0.018076923,-0.0026596189,-0.027224505,0.027256155,0.35679555,0.1053244
6,0.026615385,-0.024642076,-0.039473623,0.03564213,0.47337213,0.11919963
7,0.035153847,0.0043017883,-0.03445257,0.050361447,0.0075913966,0.13638529
8,0.04369231,0.033245645,-0.029431514,0.06508076,-0.27606806,0.17616504
9,0.05223077,0.062189505,-0.02441046,0.07980008,0.033103734,0.2361571
10,0.06076923,0.07397198,-0.02928416,0.08258252,0.097951025,0.2867121
11,0.06930769,0.085754454,-0.034157857,0.08536496,0.16069049,0.33969045
12,0.077846155,0.09753693,-0.039031554,0.0881474,0.21462294,0.39109355
13,0.08638462,0.06656145,-0.0706982,0.1085544,-0.02699478,0.4682645
14,0.09492308,0.035585985,-0.10236485,0.1289614,0.013428882,0.5662929
15,0.10346154,0.004610518,-0.1340315,0.1493684,0.16126956,0.6261673
16,0.112,0.07632632,-0.12504204,0.15745614,0.055121407,0.7191292
17,0.120538466,0.14804211,-0.11605258,0.16554388,0.52834433,0.8037956
18,0.12907693,0.21975791,-0.10706313,0.17363162,1.0136985,0.85696524
19,0.13761538,0.16003156,-0.1575017,0.15797196,0.5774945,0.92670393
20,0.14615384,0.100305215,-0.20794028,0.1423123,0.5625896,1.0336827
21,0.15469229,0.040578876,-0.25837886,0.12665264,0.8555412,1.089141
22,0.16323076,-0.01043864,-0.2667122,0.117557906,1.0570071,1.1155695
23,0.17176922,-0.061456162,-0.2750455,0.10846315,1.2562342,1.1404631
24,0.18030767,-0.11247368,-0.28337884,0.0993684,1.4337265,1.1601622
25,0.18884616,-0.020122781,-0.20365956,0.090368435,0.7313907,1.186294
26,0.19738463,0.07222812,-0.12394025,0.08136846,0.1726104,1.2382821
27,0.2059231,0.16457902,-0.04422094,0.07236849,0.46359307,1.3791372
28,0.21446154,0.095975496,-0.007905174,0.068140395,0.13968146,1.4653622
29,0.22299999,0.027371988,0.028410595,0.063912295,-0.13257414,1.603837
30,0.23153844,-0.04123152,0.06472637,0.05968419,-0.14306295,1.8663683
31,0.24007691,-0.06564204,0.01319655,0.06139999,0.12147194,2.1184392
32,0.24861537,-0.09005257,-0.038333267,0.06311579,0.27359504,2.2144735
33,0.25715384,-0.1144631,-0.089863084,0.06483159,0.3943684,2.271162
34,0.2656923,-0.18508767,-0.091140285,0.12807369,0.50120056,2.3199234
35,0.27423075,-0.25571224,-0.092417486,0.1913158,0.6564814,2.385571
36,0.2827692,-0.3263368,-0.09369469,0.2545579,0.9843589,2.5508814
37,0.2913077,-0.33119646,-0.173814,0.28358597,1.116308,2.7028756
38,0.29984614,-0.3360561,-0.2539333,0.31261402,1.1976928,2.77894
39,0.3083846,-0.34091577,-0.33405262,0.34164208,1.245172,2.8229108
40,0.31692308,-0.12384558,-0.24099293,0.3684702,0.73791975,2.9939358
41,0.32546154,0.093224615,-0.14793327,0.39529827,1.1458797,3.1619034
42,0.334,0.3102948,-0.054873616,0.42212635,1.598175,3.2056575
43,0.34253845,0.2147614,-0.29962447,0.5317649,1.2790639,3.2517354
44,0.3510769,0.119228035,-0.5443753,0.64140356,1.4925674,3.4639971
45,0.35961536,0.023694664,-0.78912616,0.7510422,2.0802636,3.7400365
46,0.36815384,0.06722802,-0.91410524,0.6626913,2.304245,3.8331335
47,0.3766923,0.110761374,-1.0390842,0.5743404,2.4728699,3.8836186
48,0.38523075,0.15429473,-1.1640631,0.4859895,2.627586,3.9149294
49,0.39376923,0.36509824,-0.97021747,0.6603439,2.2070723,4.0162783
50,0.4023077,0.57590175,-0.77637184,0.83469826,2.6159792,4.2144227
51,0.41084614,0.78670526,-0.5825262,1.0090526,3.0034328,4.2598596
52,0.4193846,0.73747015,-0.8316912,0.6618702,2.6663911,4.3258395
53,0.42792305,0.68823504,-1.0808561,0.31468773,2.8698337,4.5498395
54,0.4364615,0.63899994,-1.330021,-0.032494724,3.315085,4.5961285
55,0.445,0.6695438,-1.4549229,0.073333345,3.2356133,4.5999994
56,0.45353845,0.70008767,-1.5798247,0.17916141,3.1529171,4.593405
57,0.4620769,0.73063153,-1.7047265,0.28498948,3.0650017,4.586073
58,0.4706154,1.0404632,-1.6526736,0.45673335,2.7826114,4.6127496
59,0.47915384,1.3502948,-1.6006209,0.6284772,2.9515061,4.753696
60,0.4876923,1.6601264,-1.5485681,0.8002211,3.220655,4.79984
61,0.49623075,1.9627967,-1.4062034,0.8713789,3.4214046,4.811196
62,0.5047692,2.265467,-1.2638385,0.9425368,3.600563,4.815878
63,0.5133077,2.5681372,-1.1214737,1.0136946,3.7446592,4.8075933
64,0.5218462,2.5823722,-1.1321262,1.1967332,3.6839902,4.804323
65,0.53038466,2.5966072,-1.1427788,1.3797718,3.628107,4.808593
66,0.53892314,2.6108422,-1.1534313,1.5628104,3.574533,4.8157415
67,0.54746157,2.5738177,-2.0525331,1.0053895,2.860032,4.8006954
