index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,-0.0060465075,-0.0048294785,0.011677001,0.15895207,0.025797173
2,0.0006666667,-0.012093015,-0.009658957,0.023354001,0.34970564,0.044956025
3,0.001,-0.018139523,-0.014488435,0.035031002,0.5470145,0.053100325
4,0.009538461,-0.029095609,-0.013816575,0.0092764795,0.34366673,0.20109841
5,0.018076923,-0.0400517,-0.013144715,-0.016478043,0.28422385,0.4280142
6,0.026615385,-0.05100779,-0.012472855,-0.042232566,0.40226883,0.67228884
7,0.035153847,-0.054072384,-0.047162786,-0.04774419,0.75682276,0.90756166
8,0.04369231,-0.05713698,-0.08185272,-0.05325581,1.083555,0.98844415
9,0.05223077,-0.060201574,-0.11654265,-0.058767434,1.354076,1.0234197
10,0.06076923,-0.07963568,-0.1326227,-0.069307484,1.5463476,1.056739
11,0.06930769,-0.09906979,-0.14870276,-0.07984754,1.7291642,1.0902635
12,0.077846155,-0.1185039,-0.1647828,-0.09038759,1.8992972,1.1234783
13,0.08638462,-0.14403361,-0.12488356,-0.08488116,1.594275,1.1608175
14,0.09492308,-0.16956332,-0.08498433,-0.079374716,1.2993598,1.2002994
15,0.10346154,-0.19509304,-0.045085106,-0.073868275,1.1027925,1.2553753
16,0.112,-0.17443669,-0.019984353,-0.06840315,1.1967268,1.3995872
17,0.120538466,-0.15378036,0.0051164106,-0.06293802,1.3149046,1.521622
18,0.12907693,-0.13312402,0.030217174,-0.057472892,1.4189103,1.6429447
19,0.13761538,-0.16100001,0.04829464,-0.05842897,1.5807076,1.7640588
20,0.14615384,-0.18887599,0.06637212,-0.05938505,1.7315242,1.8824513
21,0.15469229,-0.21675196,0.0844496,-0.06034113,1.8965917,2.0833938
22,0.16323076,-0.1472791,0.061188597,0.010441821,1.9963611,2.2366548
23,0.17176922,-0.07780622,0.037927605,0.08122477,2.226994,2.3650022
24,0.18030767,-0.00833334,0.014666613,0.15200773,2.659381,2.4532518
25,0.18884616,-0.031281665,-0.065240316,0.12941599,2.6493917,2.5452924
26,0.19738463,-0.054229975,-0.14514725,0.10682425,2.7162452,2.6165965
27,0.2059231,-0.077178285,-0.22505417,0.08423251,2.9648294,2.6518984
28,0.21446154,-0.09951165,-0.23927636,0.06597929,2.8964055,2.6726997
29,0.22299999,-0.12184502,-0.25349858,0.047726057,2.8750215,2.7085078
30,0.23153844,-0.14417839,-0.2677208,0.029472828,2.8709195,2.751784
31,0.24007691,-0.08991738,-0.13713168,0.022844935,2.2963443,2.8057675
32,0.24861537,-0.035656378,-0.0065425634,0.01621704,2.1317172,3.0984116
33,0.25715384,0.018604621,0.12404655,0.009589145,2.7931125,3.5760996
34,0.2656923,-0.042837225,0.14922228,-0.03634885,2.8695943,3.8568459
35,0.27423075,-0.10427908,0.17439803,-0.08228684,3.0450394,4.2320166
