index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,-0.011959959,0.00059465924,0.007834693,0.2032972,0.00032270665
2,0.0006666667,-0.023919918,0.0011893185,0.015669387,0.407268,0.0005957563
3,0.001,-0.035879876,0.0017839777,0.02350408,0.6112013,0.0008655214
4,0.009538461,-0.050077215,-0.008144017,0.0024800468,0.5208066,0.007910797
5,0.018076923,-0.06427455,-0.018072013,-0.018543987,0.50185835,0.014782017
6,0.026615385,-0.078471884,-0.028000008,-0.039568022,0.48067236,0.022362044
7,0.035153847,-0.079538666,-0.057565354,-0.028138729,0.6337012,0.030713852
8,0.04369231,-0.08060544,-0.087130696,-0.01670944,0.7818889,0.039035305
9,0.05223077,-0.081672214,-0.116696045,-0.00528015,0.9176038,0.04812
10,0.06076923,-0.1223201,-0.12894137,0.009522602,1.2814028,0.056090284
11,0.06930769,-0.162968,-0.1411867,0.024325358,1.6324139,0.06451428
12,0.077846155,-0.20361589,-0.15343203,0.039128114,1.9777575,0.0822285
13,0.08638462,-0.22623457,-0.16284803,0.06273607,2.1939166,0.10382854
14,0.09492308,-0.24885325,-0.17226404,0.08634403,2.3876333,0.11989233
15,0.10346154,-0.27147192,-0.18168005,0.109951995,2.5691214,0.13614543
16,0.112,-0.30655995,-0.18489335,0.12951462,2.790061,0.15286991
17,0.120538466,-0.34164798,-0.18810667,0.14907724,3.004654,0.16717559
18,0.12907693,-0.37673602,-0.19131999,0.16863987,3.2072296,0.18268894
19,0.13761538,-0.40923464,-0.19093066,0.2060373,3.4511662,0.19907725
20,0.14615384,-0.4417333,-0.19054136,0.24343473,3.6824908,0.21700484
21,0.15469229,-0.47423196,-0.19015205,0.28083214,3.897594,0.23426904
22,0.16323076,-0.42592266,-0.23863739,0.32573077,3.7284868,0.25461945
23,0.17176922,-0.37761334,-0.28712273,0.3706294,3.6098237,0.2708053
24,0.18030767,-0.329304,-0.33560807,0.41552803,3.6248758,0.27801096
25,0.18884616,-0.3310453,-0.42335206,0.39325866,3.6335013,0.28623405
26,0.19738463,-0.3327866,-0.5110961,0.37098926,3.731798,0.27814448
27,0.2059231,-0.33452788,-0.5988401,0.34871987,3.8623054,0.25619483
28,0.21446154,-0.36409593,-0.6459947,0.2910532,3.9738755,0.22719693
29,0.22299999,-0.39366397,-0.6931493,0.23338655,4.0873632,0.19422832
30,0.23153844,-0.42323202,-0.74030393,0.17571989,4.1869025,0.13067701
31,0.24007691,-0.423536,-0.7146693,0.23794919,3.862163,0.055938616
32,0.24861537,-0.42383996,-0.68903464,0.3001785,3.5991604,-0.002914995
33,0.25715384,-0.4241439,-0.6634,0.3624078,3.361926,-0.046546653
34,0.2656923,-0.5453199,-0.6170614,0.3339012,3.5733373,-0.101105005
35,0.27423075,-0.66649586,-0.5707227,0.3053946,3.8342392,-0.14146464
