index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,0.00466989,0.013367227,0.0020901824,0.20390145,-1.6347956e-08
2,0.0006666667,0.00933978,0.026734455,0.004180365,0.40776092,-3.8751985e-08
3,0.001,0.014009669,0.04010168,0.0062705474,0.6115756,-1.9147114e-08
4,0.009538461,0.035376716,0.061099984,0.0052769715,0.8859472,1.0446356e-07
5,0.018076923,0.056743763,0.08209829,0.0042833965,1.1471931,-6.963143e-08
6,0.026615385,0.078110814,0.1030966,0.0032898213,1.3934598,-1.1396322e-06
7,0.035153847,0.097738884,0.09837035,0.008357501,1.3056252,-1.6228682e-06
8,0.04369231,0.11736696,0.093644105,0.013425181,1.2152421,-1.8995581e-06
9,0.05223077,0.13699503,0.08891786,0.01849286,1.1235197,-2.964639e-06
10,0.06076923,0.14058436,0.13518679,-0.0021738037,1.478166,-4.8515585e-06
11,0.06930769,0.1441737,0.18145572,-0.022840468,1.8094769,-4.520928e-06
12,0.077846155,0.14776303,0.22772464,-0.043507133,2.1189203,-6.1462965e-06
13,0.08638462,0.18144266,0.2501739,-0.023534557,2.3430538,-6.8274776e-06
14,0.09492308,0.21512231,0.27262315,-0.003561981,2.5507135,-8.427856e-06
15,0.10346154,0.24880196,0.2950724,0.016410595,2.742653,-1.0251591e-05
16,0.112,0.25678736,0.32791942,-0.014599048,2.8670337,-1.1672117e-05
17,0.120538466,0.26477277,0.36076647,-0.04560869,2.9796596,-1.2206704e-05
18,0.12907693,0.2727582,0.39361352,-0.07661833,3.0811498,-1.25073e-05
19,0.13761538,0.31319457,0.4541932,-0.080679506,3.470334,-1.2794543e-05
20,0.14615384,0.353631,0.51477283,-0.08474069,3.8341808,-1.3917594e-05
21,0.15469229,0.3940674,0.5753525,-0.088801876,4.173978,-1.5274098e-05
22,0.16323076,0.392879,0.65297574,-0.057104625,4.538238,-1.5000257e-05
23,0.17176922,0.39169058,0.730599,-0.025407374,4.8785768,-1.9109235e-05
