index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,0.011947043,0.0052803736,-0.0057756687,0.003791659,0.00984978
2,0.0006666667,0.023894086,0.010560747,-0.011551337,0.09524962,0.016797457
3,0.001,0.03584113,0.01584112,-0.017327007,0.30000558,0.018962312
4,0.009538461,0.026704041,-0.013700943,-0.03036441,0.17079209,0.089603886
5,0.018076923,0.017566953,-0.043243006,-0.043401815,0.53301096,0.28888288
6,0.026615385,0.008429864,-0.07278507,-0.05643922,0.97459257,0.5126496
7,0.035153847,0.013619941,-0.08242057,-0.07686912,1.3264327,0.6842576
8,0.04369231,0.018810015,-0.09205608,-0.09729903,1.6119409,0.80731463
9,0.05223077,0.02400009,-0.10169159,-0.11772894,1.8784316,0.92324317
10,0.06076923,0.035570145,-0.10522432,-0.12810898,1.9953882,1.0144122
11,0.06930769,0.047140203,-0.10875704,-0.13848901,2.1128047,1.1095407
12,0.077846155,0.058710262,-0.112289764,-0.14886904,2.2265325,1.2031116
13,0.08638462,0.025841132,-0.11147354,-0.0972585,1.6771576,1.3377705
14,0.09492308,-0.007027995,-0.11065732,-0.04564795,1.3861246,1.6245488
15,0.10346154,-0.03989712,-0.1098411,0.005962603,1.8138595,1.7811086
16,0.112,-0.008940747,-0.08114953,-0.016657332,1.4974856,1.9098146
17,0.120538466,0.022015631,-0.05245796,-0.039277263,1.7623482,2.3598194
18,0.12907693,0.05297201,-0.023766385,-0.061897196,2.1191063,2.5994983
19,0.13761538,0.061473593,-0.027741455,-0.06820872,2.171513,2.7064712
20,0.14615384,0.069975175,-0.031716518,-0.07452024,2.2239006,2.815041
21,0.15469229,0.07847676,-0.03569158,-0.08083176,2.2793305,2.928843
22,0.16323076,0.0736138,-0.03277883,-0.120112136,2.398385,3.038621
23,0.17176922,0.06875084,-0.029866073,-0.1593925,2.537026,3.1527736
24,0.18030767,0.06388789,-0.026953317,-0.19867288,2.7012148,3.2565384
25,0.18884616,0.05602496,-0.10734271,-0.15674451,2.4862542,3.366698
26,0.19738463,0.048162043,-0.1877321,-0.114816144,2.470056,3.5438306
27,0.2059231,0.040299125,-0.26812148,-0.07288778,2.5730193,3.7464468
28,0.21446154,0.027775757,-0.2708785,-0.08052642,2.9273577,4.1850915
29,0.22299999,0.015252385,-0.2736355,-0.08816506,3.2158947,4.548953
30,0.23153844,0.0027290136,-0.27639252,-0.0958037,3.4511294,4.855295
31,0.24007691,-0.030373791,-0.2883147,-0.030308343,3.6991062,5.167903
32,0.24861537,-0.0634766,-0.30023685,0.035187013,3.9066434,5.3536925
33,0.25715384,-0.0965794,-0.312159,0.10068237,4.1118917,5.4460306
34,0.2656923,0.0037570521,-0.27405304,0.05827734,3.7538948,5.5718217
35,0.27423075,0.10409351,-0.2359471,0.01587233,3.6563244,5.781149
36,0.2827692,0.20442995,-0.19784117,-0.02653268,4.026349,6.135172
37,0.2913077,0.07040502,-0.19875081,-0.09016197,3.9641702,6.462597
38,0.29984614,-0.06361991,-0.19966047,-0.15379128,4.300293,6.723562
39,0.3083846,-0.19764484,-0.20057012,-0.21742058,4.6821375,6.862286
40,0.31692308,-0.09480683,-0.16088475,-0.1743271,4.4260225,6.997621
41,0.32546154,0.008031175,-0.121199384,-0.13123363,4.331089,7.2469296
42,0.334,0.11086918,-0.081514016,-0.08814017,4.691347,7.674554
43,0.34253845,-0.025364473,-0.2228131,-0.11665109,5.120071,8.152509
44,0.3510769,-0.16159813,-0.36411217,-0.14516199,5.5932493,8.395991
45,0.35961536,-0.29783177,-0.50541127,-0.17367288,6.110259,8.648215
46,0.36815384,-0.03747973,-0.47815576,-0.08946415,5.804473,8.894895
47,0.3766923,0.22287229,-0.45090032,-0.005255401,6.0739017,9.405155
48,0.38523075,0.4832243,-0.42364487,0.07895335,6.5984306,9.629431
49,0.39376923,0.62338006,-0.6373676,0.13514023,6.9268637,9.781848
50,0.4023077,0.7635358,-0.8510904,0.19132711,7.23701,9.914537
51,0.41084614,0.90369153,-1.0648131,0.247514,7.51117,10.043033
52,0.4193846,0.8590467,-1.186514,0.3768193,7.6757693,10.16582
53,0.42792305,0.81440187,-1.3082149,0.5061247,7.8461165,10.246794
54,0.4364615,0.76975703,-1.4299158,0.63543004,8.005452,10.300251
55,0.445,0.9443646,-1.5766355,0.5126044,7.936733,10.406456
56,0.45353845,1.1189721,-1.723355,0.38977885,8.092227,10.605724
57,0.4620769,1.2935796,-1.8700746,0.2669533,8.406159,10.873902
58,0.4706154,1.3378568,-2.0143428,0.47603112,8.816799,11.223577
59,0.47915384,1.382134,-2.1586108,0.685109,9.2709675,11.643293
60,0.4876923,1.4264112,-2.3028789,0.8941869,9.463259,11.77666
61,0.49623075,1.662645,-2.3323894,0.8068505,9.518125,12.005643
62,0.5047692,1.8988787,-2.3619,0.7195141,9.82319,12.360631
63,0.5133077,2.1351123,-2.3914108,0.63217765,10.161844,12.6986885
64,0.5218462,2.5873864,-2.3153706,0.58629596,10.370853,12.810944
65,0.53038466,3.0396605,-2.23933,0.54041433,10.592724,12.962285
66,0.53892314,3.4919345,-2.1632895,0.4945327,10.792556,13.080178
67,0.54746157,3.6358538,-2.4759939,0.43197507,10.985273,13.250597
68,0.55600005,3.7797728,-2.788698,0.36941743,11.064999,13.310113
69,0.56453854,3.9236917,-3.101402,0.3068598,11.224477,13.404121
70,0.5730769,4.103022,-3.0175858,0.25855765,11.2728405,13.505852
71,0.5816153,4.2823524,-2.9337695,0.21025546,11.339003,13.631733
72,0.59015375,4.461683,-2.8499532,0.16195327,11.448404,13.810486
73,0.5986923,4.5701184,-2.91281,-0.05538009,11.831374,14.274343
74,0.6072308,4.6785545,-2.9756668,-0.27271342,12.447875,14.920326
75,0.61576927,4.7869906,-3.0385234,-0.49004677,12.809184,15.27512
76,0.6243077,4.759882,-3.4283087,0.6488787,12.898082,15.445193
77,0.6328462,4.7327733,-3.818094,1.7878041,12.950369,15.489285
78,0.64138466,4.7056646,-4.207879,2.9267297,13.501593,15.753035
79,0.6499231,4.3468447,-3.8763773,3.7792776,13.710669,15.765859
80,0.6584616,3.9880252,-3.5448756,4.631826,13.935918,15.770944
81,0.66700006,3.6292057,-3.213374,5.484374,14.137211,15.756965
82,0.6755385,3.5311837,-4.4264984,4.0819597,13.574294,15.769657
83,0.68407696,3.4331617,-5.639623,2.6795454,13.080922,15.780746
84,0.69261545,3.3351398,-6.852748,1.2771311,13.508074,16.154165
85,0.7011539,2.1720247,-6.7820215,0.84899694,13.667441,16.356455
86,0.70969236,1.0089095,-6.7112956,0.4208629,14.011903,16.522314
87,0.71823084,-0.1542058,-6.6405697,-0.007271111,14.235714,16.554108
88,0.72676927,-0.86649525,-7.9727445,0.61804676,14.349276,16.583136
89,0.73530775,-1.578785,-9.304918,1.2433646,14.53623,16.627178
90,0.74384624,-2.2910748,-10.637093,1.8686824,14.745192,16.685762
91,0.7523846,-1.8204889,-10.321466,0.49597502,14.48974,16.75142
92,0.760923,-1.3499031,-10.00584,-0.87673223,14.352787,16.832844
93,0.76946145,-0.87931734,-9.690214,-2.2494395,14.40691,16.933275
94,0.778,-1.6571431,-8.025358,-1.4025357,14.262186,16.89338
95,0.7865385,-2.4349687,-6.3605013,-0.5556322,14.225284,16.814217
96,0.79507697,-3.2127943,-4.6956444,0.29127133,14.30574,16.826532
97,0.8036154,-3.5199065,-5.5213084,-0.93681324,14.251518,16.874865
98,0.8121539,-3.8270187,-6.3469725,-2.1648974,14.342547,17.029018
99,0.82069236,-4.134131,-7.1726365,-3.3929818,14.552025,17.237295
100,0.8292308,-4.8859563,-6.8608413,-4.3402123,14.8434925,17.469013
101,0.83776927,-5.6377816,-6.5490465,-5.287443,15.067816,17.641487
102,0.84630775,-6.389607,-6.2372518,-6.234674,15.235783,17.77157
103,0.8548462,-7.958141,-5.1997476,-6.0160723,15.356937,17.919626
104,0.86338466,-9.526674,-4.162243,-5.797471,15.611519,18.147676
105,0.87192315,-11.095207,-3.1247382,-5.57887,15.928462,18.392542
106,0.8804616,-8.046736,-1.5205762,-7.4065046,16.057247,18.599548
107,0.88900006,-4.9982643,0.08358574,-9.23414,16.22117,18.691143
108,0.89753854,-1.9497929,1.6877477,-11.061775,16.37502,18.759521
109,0.9060769,-4.538626,1.12657,-15.709137,16.71483,18.863052
110,0.91461533,-7.127458,0.5653924,-20.356499,17.019505,18.928972
111,0.92315376,-9.7162895,0.0042147636,-25.00386,17.303883,18.988249
112,0.9316923,-10.806948,-0.24253589,-29.839607,17.5471,19.041868
113,0.9402308,-11.897605,-0.4892867,-34.675354,17.802803,19.130621
114,0.9487693,-12.988262,-0.7360375,-39.5111,17.99855,19.179237
115,0.9573077,-10.840551,-3.132343,-42.90019,17.948195,19.187136
116,0.9658462,-8.692841,-5.5286484,-46.28928,17.963638,19.17452
117,0.97438467,-6.5451293,-7.924954,-49.67837,18.094767,19.18142
118,0.9829231,-9.494607,-3.4632058,-48.329678,18.012995,19.26767
119,0.9914616,-12.444084,0.99854183,-46.980984,17.960918,19.236225
120,1.0,-15.393562,5.4602895,-45.63229,18.071278,19.247065
