index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,-0.009333328,-0.010088532,-0.00401562,0.20426148,2.8209367e-06
2,0.0006666667,-0.018666657,-0.020177064,-0.00803124,0.40848264,6.3960415e-06
3,0.001,-0.027999986,-0.030265596,-0.01204686,0.61265993,9.915443e-06
4,0.009538461,-0.05589582,-0.036041614,-0.0100468695,0.81355965,6.3980566e-05
5,0.018076923,-0.08379166,-0.04181763,-0.00804688,1.0017052,0.00015698074
6,0.026615385,-0.1116875,-0.04759365,-0.006046891,1.1766994,0.00032926936
7,0.035153847,-0.1426198,-0.067364514,0.0028228965,1.4702266,0.00053572597
8,0.04369231,-0.17355211,-0.087135375,0.011692684,1.7463624,0.0007072671
9,0.05223077,-0.20448442,-0.106906235,0.020562472,2.00542,0.000912871
10,0.06076923,-0.21348442,-0.10903122,0.014979124,1.9830494,0.0011704894
11,0.06930769,-0.22248442,-0.11115621,0.009395778,1.9560152,0.0014429952
12,0.077846155,-0.23148443,-0.1132812,0.0038124323,1.9246552,0.0017476582
13,0.08638462,-0.23003648,-0.1444635,-0.03532816,2.1236062,0.002100819
14,0.09492308,-0.22858855,-0.1756458,-0.074468754,2.3115692,0.002413335
15,0.10346154,-0.22714062,-0.2068281,-0.113609344,2.484241,0.0027305528
16,0.112,-0.24090625,-0.22631247,-0.112145804,2.5514812,0.0030632662
17,0.120538466,-0.25467187,-0.24579686,-0.110682264,2.6103737,0.0034364169
18,0.12907693,-0.2684375,-0.26528126,-0.109218724,2.6611712,0.0038090486
19,0.13761538,-0.28321356,-0.31885415,-0.118890606,2.9146879,0.0041414243
20,0.14615384,-0.2979896,-0.37242705,-0.12856248,3.1513274,0.0044316193
21,0.15469229,-0.31276566,-0.42599994,-0.13823436,3.3698366,0.00475529
22,0.16323076,-0.35258856,-0.4643697,-0.13683853,3.579904,0.005193604
23,0.17176922,-0.39241147,-0.50273955,-0.13544269,3.7741578,0.005696364
24,0.18030767,-0.43223438,-0.5411093,-0.13404685,3.9526758,0.006220363
25,0.18884616,-0.47198963,-0.60205203,-0.14384374,4.225004,0.006721425
