index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,0.0070494255,0.012327148,0.0015679848,0.20322584,0.00014802144
2,0.0006666667,0.014098851,0.024654295,0.0031359696,0.40657806,0.0002977944
3,0.001,0.021148276,0.03698144,0.0047039543,0.60992515,0.00044359875
4,0.009538461,-0.0049196947,0.023253072,-0.017709717,0.10701901,0.004202288
5,0.018076923,-0.030987665,0.009524704,-0.04012339,-0.3372239,0.008585175
6,0.026615385,-0.057055637,-0.004203664,-0.06253706,-0.14931118,0.01776755
7,0.035153847,-0.068493865,-0.0012036753,-0.069925934,-0.21002696,0.023839716
8,0.04369231,-0.0799321,0.0017963136,-0.07731481,-0.289004,0.028587285
9,0.05223077,-0.09137034,0.0047963024,-0.084703684,-0.36839688,0.03347199
10,0.06076923,-0.09382097,0.017265413,-0.08363577,-0.6108147,0.03855379
11,0.06930769,-0.0962716,0.029734524,-0.08256786,-0.83401895,0.045499213
12,0.077846155,-0.09872223,0.042203635,-0.08149996,-1.0215484,0.053723477
13,0.08638462,-0.10401852,0.0034011751,-0.124987625,-0.72570187,0.060550068
14,0.09492308,-0.10931481,-0.03540128,-0.1684753,-0.3641271,0.06599366
15,0.10346154,-0.1146111,-0.07420374,-0.21196297,0.003764987,0.07111606
16,0.112,-0.083395064,-0.028870378,-0.1957222,-0.59308714,0.07618863
17,0.120538466,-0.05217903,0.016462974,-0.17948145,-1.1462238,0.085002184
18,0.12907693,-0.020963,0.061796326,-0.16324069,-1.2603217,0.09785855
19,0.13761538,-0.009364192,0.107777804,-0.11447522,-1.044558,0.11028551
20,0.14615384,0.0022346135,0.15375929,-0.065709755,-0.7929448,0.117115684
21,0.15469229,0.013833419,0.19974077,-0.016944293,-0.5300015,0.12127915
22,0.16323076,-0.0117345285,0.1280247,-0.017864069,-1.1060666,0.1249923
23,0.17176922,-0.03730247,0.056308635,-0.018783826,-1.6599673,0.13215108
24,0.18030767,-0.06287041,-0.015407428,-0.019703584,-2.0927901,0.14391097
