index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,-0.0064255684,-0.0096831955,0.0080141835,0.19103223,0.0014721823
2,0.0006666667,-0.012851137,-0.019366391,0.016028367,0.3885507,0.0025109556
3,0.001,-0.019276705,-0.029049587,0.02404255,0.5878493,0.0033803661
4,0.009538461,-0.0071892105,-0.02705428,0.026687944,0.4312102,0.024847526
5,0.018076923,0.004898282,-0.025058974,0.029333336,0.26866412,0.047812723
6,0.026615385,0.016985774,-0.023063667,0.03197873,0.09718561,0.07789559
7,0.035153847,-0.012085177,-0.013359231,0.029073289,0.09773244,0.11275664
8,0.04369231,-0.041156128,-0.0036547948,0.026167847,0.13336751,0.16178386
9,0.05223077,-0.07022708,0.0060496414,0.023262406,0.28717816,0.23397735
10,0.06076923,-0.062893696,-0.023458607,0.013917259,-0.014796346,0.29464263
11,0.06930769,-0.055560328,-0.052966855,0.0045721103,-0.19284022,0.363719
12,0.077846155,-0.04822696,-0.0824751,-0.0047730384,-0.303468,0.42841128
13,0.08638462,-0.06440665,-0.07690063,0.020241128,-0.1269423,0.4865045
14,0.09492308,-0.08058633,-0.07132617,0.045255296,0.063880235,0.55270904
15,0.10346154,-0.09676601,-0.0657517,0.070269465,0.28391695,0.6481812
16,0.112,-0.1036998,-0.041290723,0.082621716,0.4117091,0.74169976
17,0.120538466,-0.1106336,-0.016829753,0.094973974,0.5507326,0.832986
18,0.12907693,-0.11756739,0.007631216,0.10732623,0.685359,0.9040893
19,0.13761538,-0.15568563,-0.011817923,0.13788415,0.8618424,0.983641
20,0.14615384,-0.19380386,-0.031267054,0.16844207,1.0906761,1.0972047
21,0.15469229,-0.23192209,-0.050716188,0.19899999,1.4338205,1.2636065
22,0.16323076,-0.32256508,-0.06731194,0.24344209,2.0563905,1.3882096
23,0.17176922,-0.4132081,-0.08390769,0.2878842,2.6493025,1.5339742
24,0.18030767,-0.5038511,-0.100503445,0.33232632,3.2440014,1.7022331
25,0.18884616,-0.566454,-0.06853415,0.32258394,3.612468,1.9013518
26,0.19738463,-0.6290569,-0.03656486,0.3128416,3.9472716,2.0232348
27,0.2059231,-0.69165975,-0.0045955703,0.30309924,4.3249407,2.24716
28,0.21446154,-0.73622465,-0.037607428,0.271669,4.576184,2.470915
29,0.22299999,-0.7807896,-0.070619285,0.24023874,4.8911037,2.7112522
30,0.23153844,-0.8253546,-0.10363114,0.20880848,5.2212424,2.9278245
31,0.24007691,-0.8729055,-0.09166891,0.1703995,5.532639,3.164217
32,0.24861537,-0.92045635,-0.07970669,0.13199052,5.8371496,3.4256225
33,0.25715384,-0.9680072,-0.06774447,0.09358154,6.127323,3.6673496
34,0.2656923,-1.0656999,-0.1526594,0.06560283,6.4209104,3.8321588
35,0.27423075,-1.1633927,-0.23757432,0.037624113,6.78733,4.00648
36,0.2827692,-1.2610854,-0.32248926,0.009645397,7.1113787,4.0902743
37,0.2913077,-1.3211869,-0.36632848,-0.05010163,7.2246575,4.156488
38,0.29984614,-1.3812885,-0.41016772,-0.10984866,7.3567457,4.2161813
39,0.3083846,-1.4413902,-0.45400697,-0.16959569,7.47247,4.2693896
40,0.31692308,-1.5918771,-0.363598,-0.302617,7.6928883,4.363698
41,0.32546154,-1.742364,-0.273189,-0.43563834,8.106636,4.4742174
42,0.334,-1.892851,-0.18278003,-0.56865966,8.526858,4.57963
43,0.34253845,-2.0180733,-0.12939939,-0.64152724,8.789044,4.6368484
44,0.3510769,-2.1432958,-0.07601876,-0.7143948,9.032943,4.679618
