index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.00033333336,-0.012824106,0.005170596,0.002091888,0.0018016932,0.0015082787
2,0.0006666667,-0.025648212,0.010341192,0.004183776,0.056867614,0.0030114385
3,0.001,-0.038472317,0.0155117875,0.006275664,0.23860937,0.007681534
4,0.009538461,-0.031144258,0.023057725,0.009519761,0.22992085,0.14515121
5,0.018076923,-0.023816198,0.030603666,0.012763859,0.24308658,0.30366093
6,0.026615385,-0.016488139,0.038149606,0.016007956,0.4744476,0.6464909
7,0.035153847,-0.024317581,0.045398947,0.016582748,0.7935227,0.9444735
8,0.04369231,-0.03214702,0.052648287,0.01715754,1.0068767,1.1485868
9,0.05223077,-0.03997646,0.059897628,0.017732332,1.1694059,1.3106184
10,0.06076923,-0.0664489,0.06624672,0.014603719,1.5005157,1.4610767
11,0.06930769,-0.09292133,0.07259581,0.011475105,1.7319112,1.5690291
12,0.077846155,-0.119393766,0.07894491,0.008346491,1.881408,1.5958678
13,0.08638462,-0.100091934,0.09482153,0.024178505,1.6062288,1.6276937
14,0.09492308,-0.0807901,0.11069815,0.04001052,1.3543173,1.6641054
15,0.10346154,-0.06148827,0.12657477,0.055842534,1.4559276,1.7273831
16,0.112,-0.07543839,0.12722045,0.08288978,1.5858514,1.789557
17,0.120538466,-0.089388505,0.12786613,0.10993703,1.7038984,1.8367189
18,0.12907693,-0.10333862,0.12851182,0.13698427,1.8002576,1.8691003
19,0.13761538,-0.14203677,0.14566666,0.13178219,1.667441,1.9096459
20,0.14615384,-0.1807349,0.16282152,0.1265801,1.5668981,1.9597417
21,0.15469229,-0.21943304,0.17997637,0.12137801,1.7443931,2.0232599
22,0.16323076,-0.22700526,0.21491864,0.060682468,1.9920354,2.0789936
23,0.17176922,-0.23457748,0.24986091,-1.3068318e-05,2.2491307,2.1186502
24,0.18030767,-0.2421497,0.28480318,-0.060708605,2.498667,2.1469567
25,0.18884616,-0.24041215,0.29206565,-0.09413904,2.5462737,2.1644356
26,0.19738463,-0.2386746,0.29932812,-0.12756948,2.5851593,2.1775193
27,0.2059231,-0.23693705,0.3065906,-0.16099992,2.6166363,2.1905367
28,0.21446154,-0.28646198,0.3025092,-0.09973484,2.4083076,2.2039864
29,0.22299999,-0.33598688,0.29842782,-0.03846976,2.251492,2.224458
30,0.23153844,-0.3855118,0.29434645,0.02279532,2.455603,2.2764287
31,0.24007691,-0.33359054,0.2444042,-0.004692847,2.1836808,2.3288887
32,0.24861537,-0.2816693,0.19446191,-0.032181025,1.9771938,2.3695564
33,0.25715384,-0.22974804,0.14451963,-0.059669204,1.7899851,2.4153028
34,0.2656923,-0.23428877,0.07257476,-0.07999993,1.7175125,2.4672813
35,0.27423075,-0.23882946,0.0006298721,-0.100330666,1.684681,2.5229728
36,0.2827692,-0.24337016,-0.07131501,-0.12066139,1.8699377,2.6892478
37,0.2913077,-0.29869297,-0.084364854,-0.070695505,1.9979221,2.8681464
38,0.29984614,-0.3540158,-0.0974147,-0.020729616,2.0565104,2.9636123
39,0.3083846,-0.40933862,-0.11046455,0.029236272,2.1527326,3.069881
40,0.31692308,-0.34019423,-0.155853,0.05192132,2.0404162,3.1910014
41,0.32546154,-0.27104986,-0.20124146,0.07460636,2.1186392,3.3055136
42,0.334,-0.20190549,-0.24662992,0.097291395,2.2414584,3.4152005
43,0.34253845,-0.17176645,-0.060081318,0.12204993,2.074955,3.5076962
44,0.3510769,-0.14162736,0.12646727,0.14680846,2.1542993,3.687901
45,0.35961536,-0.11148826,0.31301588,0.171567,2.4954088,3.9092953
46,0.36815384,-0.12210239,0.21364836,0.06716538,2.436691,4.2266006
47,0.3766923,-0.13271654,0.11428088,-0.03723623,2.4945989,4.388171
48,0.38523075,-0.14333068,0.014913395,-0.14163783,2.6020906,4.5047092
49,0.39376923,-0.11743828,-0.019249355,-0.020131223,2.9656541,5.071305
50,0.4023077,-0.09154588,-0.05341208,0.10137537,3.54644,5.60107
51,0.41084614,-0.06565348,-0.08757481,0.22288197,3.7074885,5.6918774
52,0.4193846,-0.0142440535,-0.1967874,0.08712605,3.5867174,5.7596726
53,0.42792305,0.03716538,-0.306,-0.04862985,4.0072803,6.1480455
54,0.4364615,0.08857481,-0.4152126,-0.18438575,4.222611,6.280776
55,0.445,0.1385118,-0.24343044,0.06389767,4.0133157,6.4800415
56,0.45353845,0.18844882,-0.07164827,0.31218112,4.215183,6.583953
57,0.4620769,0.23838583,0.100133896,0.56046456,4.5000587,6.7246966
58,0.4706154,-0.08455391,0.3330289,0.7712468,4.753669,6.810401
59,0.47915384,-0.4074936,0.5659239,0.98202896,4.862887,6.888565
60,0.4876923,-0.7304333,0.79881895,1.1928111,5.131422,7.010305
61,0.49623075,-0.7992888,0.6970735,1.1788794,5.0966654,7.070256
62,0.5047692,-0.86814445,0.5953281,1.1649476,5.0682,7.134724
63,0.5133077,-0.9370001,0.49358267,1.1510159,5.045497,7.2044945
64,0.5218462,-0.88524413,0.7259134,0.88695806,4.8371663,7.30144
65,0.53038466,-0.8334882,0.9582442,0.62290025,4.7405,7.468794
66,0.53892314,-0.7817323,1.190575,0.35884243,4.7985125,7.713374
67,0.54746157,-1.2730577,1.2176247,0.15935695,5.215268,7.927746
68,0.55600005,-1.7643832,1.2446744,-0.04012859,5.7011814,8.201577
69,0.56453854,-2.2557087,1.2717242,-0.23961413,6.1234674,8.423148
70,0.5730769,-1.6157848,0.81357723,-0.012842491,5.7803664,8.639597
71,0.5816153,-0.97586083,0.35543025,0.21392915,5.711966,8.955963
72,0.59015375,-0.3359369,-0.102716744,0.44070077,5.8538117,9.243395
