id,prior_position,prior_time,prior:smax_gaussian,prior:receptor_smax_gaussian,integrand:TotalIntegrand,integrand:FlowIntegrand
1AVX_p0,"[-88.66600799560547, 39.65534210205078, 46.47236633300781]",1.0,-19.401456832885742,-16.973751068115234,14.459553,-0.001519185
1AVX_p1,"[1.6246919631958008, 9.963301658630371, 9.951703071594238]",1.0,-13.072043418884277,-13.773491859436035,5.930584,8.368113
1AVX_p2,"[-12.79386043548584, 5.095837116241455, -12.945621490478516]",1.0,-13.15887451171875,-13.654865264892578,4.682454,3.855476
1AVX_p3,"[21.156536102294922, -25.794876098632812, 7.939901828765869]",1.0,-13.613750457763672,-13.26486587524414,8.928694,15.01957
1AVX_p4,"[-14.684128761291504, -0.4049651622772217, -7.931343078613281]",1.0,-13.115238189697266,-13.856748580932617,2.1119308,6.1980305
1AVX_p5,"[-8.613279342651367, 19.449495315551758, 26.182594299316406]",1.0,-13.592630386352539,-13.380677223205566,15.641369,20.423176
1AVX_p6,"[48.40172576904297, 5.614964485168457, -16.78492546081543]",1.0,-14.435956954956055,-13.807324409484863,6.4107876,3.0880961
1AVX_p7,"[19.86591911315918, 22.09198760986328, -11.11425495147705]",1.0,-13.519429206848145,-14.186880111694336,6.0941076,8.458178
1AVX_p8,"[23.3601016998291, 16.783071517944336, 25.198659896850586]",1.0,-13.772818565368652,-14.546242713928223,6.800896,13.119785
1AVX_p9,"[2.34700608253479, 0.4914243817329407, 40.385406494140625]",1.0,-13.86970329284668,-14.940505981445312,7.906213,9.442615
1AVX_p10,"[22.146930694580078, 4.597761631011963, 2.5124361515045166]",1.0,-13.248151779174805,-13.384963989257812,5.0238633,11.729318
1AVX_p11,"[-69.42657470703125, 53.00997543334961, 43.72453689575195]",1.0,-18.261486053466797,-14.380735397338867,16.453346,-0.0016765218
1AVX_p12,"[-87.11359405517578, 1.6387616395950317, 64.4502944946289]",1.0,-19.485576629638672,-15.0628662109375,14.83941,-0.0017727045
1AVX_p13,"[12.347766876220703, -1.0543197393417358, -35.54716491699219]",1.0,-13.747730255126953,-13.606188774108887,3.805844,6.2295136
1AVX_p14,"[21.152042388916016, 17.82276153564453, -27.72342872619629]",1.0,-13.812435150146484,-14.314469337463379,8.933766,8.587587
1AVX_p15,"[1.009238362312317, -11.740766525268555, -31.027423858642578]",1.0,-13.572388648986816,-13.644371032714844,5.6382947,9.131925
1AVX_p16,"[-4.837098598480225, 27.224916458129883, 24.549968719482422]",1.0,-13.720016479492188,-15.060510635375977,5.675589,7.9424305
1AVX_p17,"[6.570598602294922, 13.515569686889648, -6.370186805725098]",1.0,-13.108420372009277,-14.121460914611816,8.226993,2.3407044
1AVX_p18,"[19.983095169067383, -4.772988319396973, 24.728857040405273]",1.0,-13.534642219543457,-14.50375747680664,14.71992,1.5492204
1AVX_p19,"[32.96689987182617, -15.007917404174805, 27.043508529663086]",1.0,-14.095633506774902,-13.090479850769043,8.644394,12.197431
1AVX_p20,"[-76.05742645263672, 36.771114349365234, 47.6630859375]",1.0,-18.18741798400879,-15.920955657958984,14.706468,-0.0019361258
1AVX_p21,"[-57.15349197387695, 42.22865295410156, 41.8276481628418]",1.0,-16.737815856933594,-16.307687759399414,13.058677,-0.00094383373
1AVX_p22,"[-80.86888885498047, 33.65552520751953, 30.806488037109375]",1.0,-17.750137329101562,-14.8932523727417,14.880639,-0.0035828478
1AVX_p23,"[17.35814666748047, 26.285242080688477, -5.343634128570557]",1.0,-13.527504920959473,-13.98779582977295,5.312682,6.8591065
1AVX_p24,"[12.848865509033203, 27.924957275390625, -2.8567616939544678]",1.0,-13.489884376525879,-13.095527648925781,9.307524,2.4740508
1AVX_p25,"[-13.818546295166016, 10.244064331054688, 13.556291580200195]",1.0,-13.226889610290527,-13.257542610168457,0.96964407,5.9850245
1AVX_p26,"[-17.79580307006836, 33.994224548339844, 33.37221908569336]",1.0,-14.397076606750488,-14.985373497009277,18.16699,4.1063924
1AVX_p27,"[-10.312931060791016, 0.5584303140640259, 17.043476104736328]",1.0,-13.181046485900879,-13.352508544921875,10.834676,19.060087
1AVX_p28,"[41.50169372558594, 16.73786735534668, 1.1447093486785889]",1.0,-14.073661804199219,-13.34360122680664,0.48387194,2.358542
1AVX_p29,"[12.659037590026855, 9.307168006896973, 36.85854721069336]",1.0,-13.852312088012695,-13.493865966796875,15.059757,18.592548
1AVX_p30,"[9.341825485229492, -8.290122985839844, 44.22658920288086]",1.0,-14.133734703063965,-14.197834014892578,1.0244777,-1.0086818
1AVX_p31,"[-75.65011596679688, 44.112430572509766, 43.78498458862305]",1.0,-18.285947799682617,-15.151288032531738,13.90181,-0.002238342
1AVX_p32,"[10.365999221801758, -1.1733254194259644, 23.824037551879883]",1.0,-13.33619499206543,-13.54992389678955,12.8727665,7.2401247
1AVX_p33,"[-26.748523712158203, 16.055694580078125, -22.03812026977539]",1.0,-13.77093505859375,-14.988099098205566,3.2911434,11.110551
1AVX_p34,"[25.784488677978516, 29.574026107788086, -21.574949264526367]",1.0,-14.074264526367188,-13.998937606811523,4.99538,9.597689
1AVX_p35,"[-45.00882339477539, -1.8915870189666748, 19.06236457824707]",1.0,-14.289711952209473,-15.304030418395996,12.093187,15.956711
1AVX_p36,"[34.63370895385742, 17.07145881652832, -4.24202299118042]",1.0,-13.798698425292969,-13.830754280090332,7.037242,12.923601
1AVX_p37,"[-7.217901706695557, 9.943872451782227, -10.545300483703613]",1.0,-13.106064796447754,-13.349852561950684,4.45767,9.2184105
1AVX_p38,"[25.363229751586914, 6.213860034942627, 35.321754455566406]",1.0,-14.032370567321777,-14.45004940032959,10.183964,11.868339
1AVX_p39,"[-20.275915145874023, 22.610416412353516, 15.451616287231445]",1.0,-13.605461120605469,-14.023500442504883,6.885759,7.8968096
1AVX_p40,"[-78.9087905883789, 12.78183650970459, 60.099159240722656]",1.0,-18.517009735107422,-15.115817070007324,16.457731,0.0016161099
1AVX_p41,"[-58.11795425415039, 42.3309440612793, 37.14154815673828]",1.0,-16.598796844482422,-18.306758880615234,14.318031,-0.0015844329
1AVX_p42,"[11.721837043762207, 0.9723429083824158, -21.07384490966797]",1.0,-13.2839937210083,-14.126091003417969,-0.66856015,7.8409452
1AVX_p43,"[10.918785095214844, -1.0649769306182861, -21.120697021484375]",1.0,-13.27509593963623,-14.227516174316406,12.56033,11.281549
1AVX_p44,"[-25.468236923217773, 24.892669677734375, -26.692712783813477]",1.0,-14.060839653015137,-15.205592155456543,5.3360662,5.25175
1AVX_p45,"[-3.0409538745880127, 28.026397705078125, -18.418203353881836]",1.0,-13.590384483337402,-14.186287879943848,7.642709,8.223469
1AVX_p46,"[30.005334854125977, 13.776564598083496, 12.032215118408203]",1.0,-13.646456718444824,-13.27104377746582,3.3233078,8.717751
1AVX_p47,"[28.042644500732422, 48.74155044555664, 24.169170379638672]",1.0,-15.04167366027832,-14.133828163146973,14.097441,10.006759
1AVX_p48,"[-81.8302230834961, 61.284671783447266, 66.37222290039062]",1.0,-21.214447021484375,-16.274940490722656,17.515385,0.00046190008
1AVX_p49,"[43.39170455932617, -0.6914301514625549, -14.071245193481445]",1.0,-14.116695404052734,-13.764134407043457,10.07437,7.271128
1AVX_p50,"[49.25602340698242, 0.45074427127838135, 6.874342918395996]",1.0,-14.334638595581055,-14.344565391540527,15.696433,6.1006055
1AVX_p51,"[23.716100692749023, 26.046171188354492, 16.376079559326172]",1.0,-13.798759460449219,-13.07668399810791,7.632795,9.227551
1AVX_p52,"[-14.743016242980957, 4.8799591064453125, -4.707709312438965]",1.0,-13.106704711914062,-14.52897834777832,7.694144,9.224278
1AVX_p53,"[6.307551860809326, 19.89525604248047, -9.682133674621582]",1.0,-13.254491806030273,-13.035672187805176,5.790447,5.5749755
1AVX_p54,"[36.68238830566406, -22.115144729614258, 48.48403549194336]",1.0,-15.285618782043457,-13.712557792663574,11.51115,4.138769
1AVX_p55,"[36.811405181884766, 2.3634939193725586, -0.46422088146209717]",1.0,-13.716453552246094,-13.511430740356445,3.6962905,8.610359
1AVX_p56,"[-20.85452651977539, 36.428062438964844, -19.432870864868164]",1.0,-14.1490478515625,-14.120205879211426,11.415062,9.882407
1AVX_p57,"[6.9885573387146, 13.501691818237305, -3.4338016510009766]",1.0,-13.095367431640625,-13.27642822265625,-1.7353634,3.1333814
1AVX_p58,"[3.591947317123413, 23.364477157592773, -9.015098571777344]",1.0,-13.316003799438477,-13.170303344726562,3.9214783,9.525634
1AVX_p59,"[22.077545166015625, 32.484642028808594, -4.99716329574585]",1.0,-13.831319808959961,-13.049678802490234,11.5141325,16.049578
1AVX_p60,"[-10.016303062438965, 10.877668380737305, -9.241104125976562]",1.0,-13.129323959350586,-14.055566787719727,9.828474,8.790636
1AVX_p61,"[-109.15897369384766, 10.770835876464844, 60.175655364990234]",1.0,-21.656410217285156,-14.966135025024414,18.841557,-0.0012281998
1AVX_p62,"[-4.036818981170654, -21.94683265686035, 1.582686185836792]",1.0,-13.238444328308105,-13.031889915466309,5.654342,6.7636867
1AVX_p63,"[-26.60564422607422, -4.585912227630615, -25.489442825317383]",1.0,-13.726298332214355,-14.562382698059082,3.8033438,9.041784
1AVX_p64,"[-22.594114303588867, 3.207854986190796, -15.045709609985352]",1.0,-13.375495910644531,-14.121235847473145,10.362732,16.206776
1AVX_p65,"[-53.16510772705078, 12.92065715789795, 41.50904846191406]",1.0,-15.580671310424805,-16.112762451171875,17.779959,-0.0029633816
1AVX_p66,"[7.235564708709717, 2.936378002166748, 15.866791725158691]",1.0,-13.134147644042969,-13.311360359191895,4.8051705,10.744082
1AVX_p67,"[-26.72098159790039, 20.826753616333008, -31.193620681762695]",1.0,-14.138633728027344,-14.503190994262695,6.3253884,4.8077145
1AVX_p68,"[-47.437477111816406, 7.684133052825928, 34.060794830322266]",1.0,-14.887907028198242,-17.415546417236328,7.9912744,0.00047565042
1AVX_p69,"[13.800430297851562, -0.604069709777832, -22.409791946411133]",1.0,-13.345417022705078,-14.37711238861084,9.684875,11.269722
1AVX_p70,"[15.025078773498535, 20.060041427612305, 41.49256134033203]",1.0,-14.265848159790039,-13.609115600585938,8.255862,11.1555
1AVX_p71,"[-77.39041137695312, 51.51331329345703, 39.0061149597168]",1.0,-18.607282638549805,-14.927960395812988,18.686392,-0.00078173727
1AVX_p72,"[35.874916076660156, -15.981303215026855, -21.72096061706543]",1.0,-14.079414367675781,-13.991522789001465,4.4583983,9.252142
1AVX_p73,"[-64.1246109008789, 8.525047302246094, 42.76225662231445]",1.0,-16.301103591918945,-18.920230865478516,14.807214,0.00021223021
1AVX_p74,"[14.073756217956543, 23.39383316040039, -11.45266342163086]",1.0,-13.447355270385742,-12.966476440429688,1.353449,5.3817754
1AVX_p75,"[-7.64716911315918, -8.813017845153809, 3.6182267665863037]",1.0,-13.043319702148438,-14.037599563598633,0.6313727,7.3134184
1AVX_p76,"[-67.3680419921875, 3.9448952674865723, 52.15166091918945]",1.0,-17.001415252685547,-15.201818466186523,11.371489,0.00018366607
1AVX_p77,"[14.98877239227295, 2.6317498683929443, -21.21171760559082]",1.0,-13.339034080505371,-13.853020668029785,11.070936,15.321253
1AVX_p78,"[28.22903823852539, -10.25319766998291, 17.38850212097168]",1.0,-13.629500389099121,-13.657316207885742,12.1458645,13.995298
