index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,14.807214,0.00021223021
1,0.001,-0.033400778,0.015453305,0.02194103,14.807214,0.00021223021
2,0.026615385,-0.108284794,0.062203374,0.057227023,14.807214,0.00021223021
3,0.052230768,-0.12962763,0.08204063,0.053871777,14.807214,0.00021223021
4,0.077846155,-0.20144153,0.15261038,0.0975698,14.807214,0.00021223021
5,0.10346154,-0.29629624,0.14261022,0.09770349,14.807214,0.00021223021
6,0.12907693,-0.42046502,0.1945987,0.19577345,14.807214,0.00021223021
7,0.1546923,-0.59629637,0.22308128,0.2638606,14.807214,0.00021223021
8,0.18030769,-0.80544186,0.29174986,0.23802309,14.807214,0.00021223021
9,0.20592308,-0.8093952,0.32448244,0.25010446,14.807214,0.00021223021
10,0.23153846,-0.9741628,0.3342673,0.29565093,14.807214,0.00021223021
11,0.25715384,-1.1151103,0.48200577,0.6269246,14.807214,0.00021223021
12,0.28276923,-1.1994123,0.67409295,0.95433736,14.807214,0.00021223021
13,0.30838463,-1.6656106,0.7907791,0.9188371,14.807214,0.00021223021
14,0.334,-2.0599823,1.1222149,0.7649363,14.807214,0.00021223021
15,0.3596154,-2.2251625,1.0624651,0.6745576,14.807214,0.00021223021
16,0.38523078,-2.9877558,1.6915174,0.9182905,14.807214,0.00021223021
17,0.41084614,-3.2421393,1.603657,1.3072852,14.807214,0.00021223021
18,0.43646154,-3.634151,2.1914184,1.3719887,14.807214,0.00021223021
19,0.46207693,-3.8772793,2.4946625,1.0056453,14.807214,0.00021223021
20,0.4876923,-4.3539357,3.4732673,0.3959304,14.807214,0.00021223021
21,0.5133077,-5.447976,3.0096457,1.5134709,14.807214,0.00021223021
22,0.5389231,-6.0484123,2.944529,1.4954184,14.807214,0.00021223021
23,0.5645385,-5.9622903,2.3458488,2.935988,14.807214,0.00021223021
24,0.5901538,-6.0272503,3.6068666,4.644401,14.807214,0.00021223021
25,0.6157692,-7.1124883,3.8948722,6.0017614,14.807214,0.00021223021
26,0.6413846,-7.545541,3.4982443,6.3958135,14.807214,0.00021223021
27,0.667,-10.231953,4.250378,9.395204,14.807214,0.00021223021
28,0.6926154,-11.388699,4.716035,13.08299,14.807214,0.00021223021
29,0.7182308,-13.111819,5.212697,15.17176,14.807214,0.00021223021
30,0.7438462,-12.876709,5.476796,16.3868,14.807214,0.00021223021
31,0.7694615,-14.788953,4.4687905,16.005402,14.807214,0.00021223021
32,0.7950769,-16.391726,3.2036629,19.62092,14.807214,0.00021223021
33,0.8206923,-19.694822,6.3693604,22.955114,14.807214,0.00021223021
34,0.8463077,-26.4388,7.280157,22.858955,14.807214,0.00021223021
35,0.8719231,-29.444935,13.101995,21.53418,14.807214,0.00021223021
36,0.8975385,-25.488747,17.494135,26.20851,14.807214,0.00021223021
37,0.9231538,-32.37543,0.38910466,30.53251,14.807214,0.00021223021
38,0.9487692,-37.219894,3.6049476,26.4814,14.807214,0.00021223021
39,0.9743846,-55.157017,13.985988,41.424942,14.807214,0.00021223021
40,1.0,-64.12461,8.525047,42.762257,14.807214,0.00021223021
