index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.32586688,2.5830784
1,0.001,0.02338533,0.032244485,0.0016789294,-0.32586688,2.5830784
2,0.026615385,0.0069633024,0.07181636,0.037758403,-0.32586688,2.5830784
3,0.052230768,0.05799997,-0.032941964,0.062639125,-0.32586688,2.5830784
4,0.077846155,0.071003094,-0.09386869,-0.011697208,-0.32586688,2.5830784
5,0.10346154,0.06739455,-0.017520083,-0.025529033,-0.32586688,2.5830784
6,0.12907693,0.015140662,-0.099082656,-0.05436084,-0.32586688,2.5830784
7,0.1546923,-0.07780729,-0.035449572,-0.13759936,-0.32586688,2.5830784
8,0.18030769,-0.11283178,-0.09065138,-0.2681162,-0.32586688,2.5830784
9,0.20592308,0.057574887,-0.030660747,-0.36123544,-0.32586688,2.5830784
10,0.23153846,0.15157492,0.15036072,-0.2905841,-0.32586688,2.5830784
11,0.25715384,0.21501221,-0.13445881,-0.36134556,-0.32586688,2.5830784
12,0.28276923,-0.0068348856,-0.045027714,-0.16826299,-0.32586688,2.5830784
13,0.30838463,-0.21594498,0.21444646,-0.08642208,-0.32586688,2.5830784
14,0.334,0.24947707,-0.00883495,0.15539452,-0.32586688,2.5830784
15,0.3596154,0.07458109,0.055467937,0.45645875,-0.32586688,2.5830784
16,0.38523078,0.006232396,0.45596313,0.29039454,-0.32586688,2.5830784
17,0.41084614,-0.21648008,0.6926513,0.40289298,-0.32586688,2.5830784
18,0.43646154,-0.1993456,-0.16613756,-0.17561772,-0.32586688,2.5830784
19,0.46207693,0.45505205,0.32422,-0.35155654,-0.32586688,2.5830784
20,0.4876923,-0.18271859,-0.3126575,-0.47838226,-0.32586688,2.5830784
21,0.5133077,0.7421682,0.6415197,0.09134558,-0.32586688,2.5830784
22,0.5389231,1.8193395,-0.42990822,0.09412231,-0.32586688,2.5830784
23,0.5645385,0.96948934,0.112538226,1.0769143,-0.32586688,2.5830784
24,0.5901538,1.4207492,-1.0122752,0.3985382,-0.32586688,2.5830784
25,0.6157692,1.168422,-1.266945,1.0881467,-0.32586688,2.5830784
26,0.6413846,1.93885,-2.5126085,0.06800613,-0.32586688,2.5830784
27,0.667,-0.43966055,-1.2760979,-0.7570336,-0.32586688,2.5830784
28,0.6926154,-0.2897248,-1.8573886,1.8495352,-0.32586688,2.5830784
29,0.7182308,0.239945,0.055250768,-1.0643822,-0.32586688,2.5830784
30,0.7438462,3.3997433,-2.570572,-1.9566882,-0.32586688,2.5830784
31,0.7694615,4.048233,-4.766174,-0.9039175,-0.32586688,2.5830784
32,0.7950769,4.46563,-4.7035327,-3.9672143,-0.32586688,2.5830784
33,0.8206923,7.1833143,-5.6835656,-3.7283518,-0.32586688,2.5830784
34,0.8463077,11.861618,-3.579193,-1.8695046,-0.32586688,2.5830784
35,0.8719231,17.196373,-1.2866943,-4.9185314,-0.32586688,2.5830784
36,0.8975385,18.033546,2.7746634,-20.326508,-0.32586688,2.5830784
37,0.9231538,21.11489,-1.2809665,-20.59081,-0.32586688,2.5830784
38,0.9487692,33.249947,-1.1945107,-12.639239,-0.32586688,2.5830784
39,0.9743846,39.169136,-15.503645,-10.752605,-0.32586688,2.5830784
40,1.0,54.331894,-14.600819,-11.562505,-0.32586688,2.5830784
