index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,6.4821544,9.074595
1,0.001,0.04096031,-0.004306916,-0.009663436,6.4821544,9.074595
2,0.026615385,0.021207927,0.013960414,0.0219307,6.4821544,9.074595
3,0.052230768,0.049861312,-0.054970287,0.071584195,6.4821544,9.074595
4,0.077846155,0.09137622,-0.15170287,0.019851472,6.4821544,9.074595
5,0.10346154,0.024415776,0.021653526,0.077336766,6.4821544,9.074595
6,0.12907693,0.093504876,0.0021385532,0.07413851,6.4821544,9.074595
7,0.1546923,0.14597028,0.0048415875,0.25663367,6.4821544,9.074595
8,0.18030769,-0.048227757,0.114693075,0.21933652,6.4821544,9.074595
9,0.20592308,-0.18807931,0.19213879,0.13193065,6.4821544,9.074595
10,0.23153846,-0.0031485192,-0.18210892,0.0988416,6.4821544,9.074595
11,0.25715384,-0.20614862,-0.2817723,0.12929693,6.4821544,9.074595
12,0.28276923,0.023445476,-0.23728712,0.22366346,6.4821544,9.074595
13,0.30838463,0.15893058,0.021138635,0.18380193,6.4821544,9.074595
14,0.334,-0.30593076,-0.13888118,0.2565842,6.4821544,9.074595
15,0.3596154,-0.4361585,-0.33337623,0.33878213,6.4821544,9.074595
16,0.38523078,-0.260911,-0.3246336,0.6036931,6.4821544,9.074595
17,0.41084614,-0.59900004,-0.5196533,0.42648515,6.4821544,9.074595
18,0.43646154,-0.80321795,-0.54262394,0.10203946,6.4821544,9.074595
19,0.46207693,0.5073564,-0.49070305,0.14714849,6.4821544,9.074595
20,0.4876923,-0.39314863,-0.5830099,-0.20778218,6.4821544,9.074595
21,0.5133077,-1.7814257,0.18541597,-0.289891,6.4821544,9.074595
22,0.5389231,-2.600406,-0.46517816,-1.4378811,6.4821544,9.074595
23,0.5645385,-1.9851191,-1.6350495,-1.5497724,6.4821544,9.074595
24,0.5901538,-1.1716536,-2.4491587,-2.4261982,6.4821544,9.074595
25,0.6157692,-0.5803564,-2.6209404,-3.0919604,6.4821544,9.074595
26,0.6413846,-0.5153566,-1.3477823,-4.8130693,6.4821544,9.074595
27,0.667,-0.82430714,0.644109,-5.30995,6.4821544,9.074595
28,0.6926154,-1.4860891,2.27999,-4.8387427,6.4821544,9.074595
29,0.7182308,-1.8561188,-4.008307,-2.5184655,6.4821544,9.074595
30,0.7438462,-2.537129,-4.8522873,1.8352573,6.4821544,9.074595
31,0.7694615,-1.9941485,-5.469446,2.348297,6.4821544,9.074595
32,0.7950769,-5.71092,1.4075842,1.3061287,6.4821544,9.074595
33,0.8206923,-9.278238,-3.5877824,6.7627726,6.4821544,9.074595
34,0.8463077,-8.112446,0.3021387,4.3698416,6.4821544,9.074595
35,0.8719231,-4.040119,-0.95510894,8.891287,6.4821544,9.074595
36,0.8975385,-4.3017626,-8.625366,23.42031,6.4821544,9.074595
37,0.9231538,7.034257,-2.674406,13.106781,6.4821544,9.074595
38,0.9487692,15.989178,6.0674458,15.577575,6.4821544,9.074595
39,0.9743846,14.51496,23.362705,16.493048,6.4821544,9.074595
40,1.0,12.148961,17.200891,31.529236,6.4821544,9.074595
