index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,1.5580038,3.292771
1,0.001,-0.0038206726,0.031151725,-0.02839999,1.5580038,3.292771
2,0.026615385,-0.015668958,0.08443443,-0.024082797,1.5580038,3.292771
3,0.052230768,-0.09548971,0.093503475,-0.045034517,1.5580038,3.292771
4,0.077846155,-0.13675861,0.12567583,-0.009386166,1.5580038,3.292771
5,0.10346154,-0.15037237,0.13074479,-0.13944827,1.5580038,3.292771
6,0.12907693,-0.22083454,0.10546203,-0.19965518,1.5580038,3.292771
7,0.1546923,-0.28464139,0.25325516,-0.3512345,1.5580038,3.292771
8,0.18030769,-0.22703439,0.06792413,-0.35386896,1.5580038,3.292771
9,0.20592308,-0.37613106,0.31901383,-0.39792413,1.5580038,3.292771
10,0.23153846,-0.4572,0.23746893,-0.33568278,1.5580038,3.292771
11,0.25715384,-0.3735931,0.44766897,-0.4506414,1.5580038,3.292771
12,0.28276923,-0.2505931,0.077744775,-0.61706895,1.5580038,3.292771
13,0.30838463,-0.12531717,0.40380687,-0.65857935,1.5580038,3.292771
14,0.334,-0.38587576,-0.0139793195,-0.85091716,1.5580038,3.292771
15,0.3596154,-0.26490346,-0.25852418,-0.8002069,1.5580038,3.292771
16,0.38523078,-0.077786185,-0.1874759,-0.9900275,1.5580038,3.292771
17,0.41084614,-0.48287573,0.34372416,-0.8608276,1.5580038,3.292771
18,0.43646154,-0.8296275,0.5168345,-0.9915241,1.5580038,3.292771
19,0.46207693,-0.85360694,-0.508,-1.4543793,1.5580038,3.292771
20,0.4876923,-0.1297862,0.52252406,-1.6992829,1.5580038,3.292771
21,0.5133077,0.08350349,-0.38906208,-1.3372413,1.5580038,3.292771
22,0.5389231,-0.048689675,-0.42825523,-1.2960895,1.5580038,3.292771
23,0.5645385,-0.68460685,-1.0525793,-2.2899592,1.5580038,3.292771
24,0.5901538,-1.2096069,-1.4127103,-2.1077862,1.5580038,3.292771
25,0.6157692,-4.3499994,-2.055607,-1.345993,1.5580038,3.292771
26,0.6413846,-4.312848,-1.7440758,0.96012414,1.5580038,3.292771
27,0.667,-2.9741168,-1.0331035,2.0912342,1.5580038,3.292771
28,0.6926154,-4.554552,-2.448517,3.624676,1.5580038,3.292771
29,0.7182308,-6.993628,-3.0143101,2.1949997,1.5580038,3.292771
30,0.7438462,-3.6049998,-3.0312965,5.86482,1.5580038,3.292771
31,0.7694615,-3.0062966,0.4116896,6.765241,1.5580038,3.292771
32,0.7950769,-3.4330826,4.152593,9.029502,1.5580038,3.292771
33,0.8206923,-1.8012552,2.795055,7.7403584,1.5580038,3.292771
34,0.8463077,-0.32613105,3.1043656,10.099904,1.5580038,3.292771
35,0.8719231,-0.7026138,-10.017028,13.231998,1.5580038,3.292771
36,0.8975385,-9.155979,-18.27369,17.193768,1.5580038,3.292771
37,0.9231538,-9.26169,-19.56956,26.544733,1.5580038,3.292771
38,0.9487692,-6.094538,-37.4055,26.112541,1.5580038,3.292771
39,0.9743846,12.760842,-46.088314,26.768976,1.5580038,3.292771
40,1.0,16.744387,-54.753483,13.375752,1.5580038,3.292771
