index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,14.064544,10.524884
1,0.001,-0.020705042,-0.032610025,-0.014945093,14.064544,10.524884
2,0.026615385,-0.03122989,-0.077309966,0.026974944,14.064544,10.524884
3,0.052230768,-0.051594906,-0.12308004,-0.015255103,14.064544,10.524884
4,0.077846155,-0.08789486,-0.10206502,0.04477006,14.064544,10.524884
5,0.10346154,-0.074760005,-0.070344985,0.17310499,14.064544,10.524884
6,0.12907693,-0.03502996,0.01838501,0.26173496,14.064544,10.524884
7,0.1546923,-0.056374956,-0.025385028,0.23509993,14.064544,10.524884
8,0.18030769,-0.17069492,0.051790014,0.2814251,14.064544,10.524884
9,0.20592308,-0.23870991,0.12879498,0.25010997,14.064544,10.524884
10,0.23153846,-0.4299199,0.123565055,0.068264924,14.064544,10.524884
11,0.25715384,-0.707125,0.29251495,-0.21597502,14.064544,10.524884
12,0.28276923,-0.15999496,0.43373,-0.041569978,14.064544,10.524884
13,0.30838463,-0.05603003,0.6534149,-0.10316994,14.064544,10.524884
14,0.334,0.10772006,0.9118799,-0.102489926,14.064544,10.524884
15,0.3596154,0.37633502,0.11956497,0.028870057,14.064544,10.524884
16,0.38523078,0.24798007,-0.33575496,0.25108996,14.064544,10.524884
17,0.41084614,-0.03969993,-0.009545023,0.49231997,14.064544,10.524884
18,0.43646154,-0.14328995,1.1284701,0.32547995,14.064544,10.524884
19,0.46207693,0.15583013,0.675225,0.8924701,14.064544,10.524884
20,0.4876923,-0.3784599,0.70308995,1.208335,14.064544,10.524884
21,0.5133077,-0.264045,0.42172006,0.76962996,14.064544,10.524884
22,0.5389231,-0.3499898,1.72248,0.58217996,14.064544,10.524884
23,0.5645385,-1.7270148,2.58273,-0.5193699,14.064544,10.524884
24,0.5901538,-2.9076998,1.4003301,-1.9644452,14.064544,10.524884
25,0.6157692,-2.74524,4.730135,-0.96235,14.064544,10.524884
26,0.6413846,-6.13814,5.999396,-1.9774798,14.064544,10.524884
27,0.667,-8.361904,5.339354,-1.995645,14.064544,10.524884
28,0.6926154,-6.4588246,2.9007752,-2.47156,14.064544,10.524884
29,0.7182308,-0.8359899,6.1616755,-3.8402598,14.064544,10.524884
30,0.7438462,-0.6229249,4.8965054,-0.15359002,14.064544,10.524884
31,0.7694615,1.0724101,3.3541698,-3.7200003,14.064544,10.524884
32,0.7950769,2.444735,9.089644,-0.38324508,14.064544,10.524884
33,0.8206923,2.1481702,8.858535,-4.09523,14.064544,10.524884
34,0.8463077,-5.6045547,7.7487254,2.297815,14.064544,10.524884
35,0.8719231,-6.3540406,9.359725,-3.89682,14.064544,10.524884
36,0.8975385,-2.957605,10.179845,-11.115864,14.064544,10.524884
37,0.9231538,-6.1165447,4.4723005,0.2803551,14.064544,10.524884
38,0.9487692,-10.875375,-1.2737551,2.706195,14.064544,10.524884
39,0.9743846,-19.605284,-7.9258556,16.064169,14.064544,10.524884
40,1.0,-15.260767,0.31810507,24.055368,14.064544,10.524884
