index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,14.097574,6.1310406
1,0.001,-0.020930208,0.035837166,-0.0053023035,14.097574,6.1310406
2,0.026615385,-0.08555804,0.11489153,-0.024550363,14.097574,6.1310406
3,0.052230768,-0.058085095,0.106457226,-0.11172092,14.097574,6.1310406
4,0.077846155,-0.033937957,0.18003875,-0.18271318,14.097574,6.1310406
5,0.10346154,-0.0035889056,0.14266673,-0.27434883,14.097574,6.1310406
6,0.12907693,-0.09501525,0.17663561,-0.38620156,14.097574,6.1310406
7,0.1546923,-0.20222484,0.107907005,-0.3544341,14.097574,6.1310406
8,0.18030769,-0.23918591,0.123937964,-0.30556592,14.097574,6.1310406
9,0.20592308,-0.18724813,0.17986046,-0.26253486,14.097574,6.1310406
10,0.23153846,-0.2005347,0.17668213,-0.43156594,14.097574,6.1310406
11,0.25715384,0.09778287,0.20794573,-0.5408294,14.097574,6.1310406
12,0.28276923,0.23318614,0.08101554,-0.8275116,14.097574,6.1310406
13,0.30838463,0.5162405,0.014441851,-1.3047055,14.097574,6.1310406
14,0.334,0.9861473,-0.049139563,-1.5049146,14.097574,6.1310406
15,0.3596154,1.235155,-0.38431785,-1.954566,14.097574,6.1310406
16,0.38523078,1.3082174,-0.21191478,-1.8422943,14.097574,6.1310406
17,0.41084614,1.2766045,-0.18196905,-2.422938,14.097574,6.1310406
18,0.43646154,2.2094731,-0.22789924,-2.6889918,14.097574,6.1310406
19,0.46207693,3.5005345,-0.90027916,-3.386551,14.097574,6.1310406
20,0.4876923,4.628186,-0.9571163,-3.3796828,14.097574,6.1310406
21,0.5133077,5.8262787,-1.1666745,-4.101147,14.097574,6.1310406
22,0.5389231,5.8375196,-0.6566744,-5.2389526,14.097574,6.1310406
23,0.5645385,6.2069926,-1.0850465,-7.590776,14.097574,6.1310406
24,0.5901538,4.8377366,-3.354969,-7.6123796,14.097574,6.1310406
25,0.6157692,4.0940385,-4.003426,-7.8048296,14.097574,6.1310406
26,0.6413846,3.5187833,-6.0437355,-6.6764507,14.097574,6.1310406
27,0.667,3.2887833,-7.140147,-5.989999,14.097574,6.1310406
28,0.6926154,2.1229148,-6.9705195,-6.6858287,14.097574,6.1310406
29,0.7182308,6.434287,-5.4853106,-6.1914196,14.097574,6.1310406
30,0.7438462,8.505844,-0.49196127,-4.8071547,14.097574,6.1310406
31,0.7694615,11.390279,-5.360985,-7.501914,14.097574,6.1310406
32,0.7950769,13.376372,-2.3284109,-3.3939693,14.097574,6.1310406
33,0.8206923,3.9393957,-0.9489148,-7.4023333,14.097574,6.1310406
34,0.8463077,4.8397903,-1.5134109,-12.519223,14.097574,6.1310406
35,0.8719231,6.5736046,-6.742426,-11.840862,14.097574,6.1310406
36,0.8975385,7.0192943,-14.725984,-10.368932,14.097574,6.1310406
37,0.9231538,7.9627676,-12.418496,-2.9720776,14.097574,6.1310406
38,0.9487692,20.062466,-12.285898,-9.439046,14.097574,6.1310406
39,0.9743846,35.173557,0.47018608,5.789225,14.097574,6.1310406
40,1.0,35.837685,-4.5175347,14.810278,14.097574,6.1310406
