index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,4.855518,10.507002
1,0.001,0.0019105896,-0.015791956,0.039146014,4.855518,10.507002
2,0.026615385,0.030264597,0.015638636,-0.05893611,4.855518,10.507002
3,0.052230768,0.0038102155,0.017474419,-0.09185765,4.855518,10.507002
4,0.077846155,0.08480476,-0.0041206665,-0.015209851,4.855518,10.507002
5,0.10346154,0.037981726,-0.03872082,-0.008576638,4.855518,10.507002
6,0.12907693,-0.08486134,0.013379598,-0.11762771,4.855518,10.507002
7,0.1546923,-0.047417864,-0.058003724,0.14958215,4.855518,10.507002
8,0.18030769,-0.04650001,-0.005921677,-0.036381386,4.855518,10.507002
9,0.20592308,-0.13923545,0.1481421,0.113505475,4.855518,10.507002
10,0.23153846,-0.2268686,0.02034312,0.19821718,4.855518,10.507002
11,0.25715384,-0.2736606,0.122930594,0.011277401,4.855518,10.507002
12,0.28276923,-0.20492886,0.14593606,-0.100395955,4.855518,10.507002
13,0.30838463,-0.269927,-0.17897081,0.022297474,4.855518,10.507002
14,0.334,-0.23022267,-0.37566784,0.015731754,4.855518,10.507002
15,0.3596154,0.17391425,0.113748096,-0.02362223,4.855518,10.507002
16,0.38523078,0.24346715,-0.23466793,-0.13609308,4.855518,10.507002
17,0.41084614,0.2902098,0.1314143,-0.27428648,4.855518,10.507002
18,0.43646154,0.28578103,0.8604325,-0.17131568,4.855518,10.507002
19,0.46207693,0.8150693,-0.22360401,0.46738684,4.855518,10.507002
20,0.4876923,1.1130328,0.35902187,0.4588121,4.855518,10.507002
21,0.5133077,1.7578448,1.1819451,1.2701917,4.855518,10.507002
22,0.5389231,1.0634636,-0.48893258,-1.4054726,4.855518,10.507002
23,0.5645385,2.4978323,-1.2916222,-0.34723544,4.855518,10.507002
24,0.5901538,2.6773467,0.527199,-0.36734483,4.855518,10.507002
25,0.6157692,1.8365128,1.6569034,0.88571894,4.855518,10.507002
26,0.6413846,0.20236133,2.2014964,-0.7493412,4.855518,10.507002
27,0.667,0.24733391,-1.2621752,0.5796405,4.855518,10.507002
28,0.6926154,-1.5214562,-1.1920421,2.5718231,4.855518,10.507002
29,0.7182308,-1.8734343,1.9676331,-0.7545365,4.855518,10.507002
30,0.7438462,-2.8308303,0.45446694,-1.3444179,4.855518,10.507002
31,0.7694615,1.4422079,-1.778573,-0.03978831,4.855518,10.507002
32,0.7950769,-1.2983577,-7.0823526,3.5386882,4.855518,10.507002
33,0.8206923,5.324291,-2.722476,5.8093243,4.855518,10.507002
34,0.8463077,5.4868197,-3.0358632,1.8972117,4.855518,10.507002
35,0.8719231,-8.2135515,6.5222154,11.136641,4.855518,10.507002
36,0.8975385,-19.640764,4.1147356,3.819336,4.855518,10.507002
37,0.9231538,-22.08218,10.269023,-8.13635,4.855518,10.507002
38,0.9487692,-20.413404,17.383764,-16.043552,4.855518,10.507002
39,0.9743846,-28.490925,11.134272,-23.48522,4.855518,10.507002
40,1.0,-48.04337,15.092936,-44.30121,4.855518,10.507002
