index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,7.414588,13.910078
1,0.001,-0.030725548,-0.004571404,0.028582416,7.414588,13.910078
2,0.026615385,-0.031362943,-0.031428542,0.07074725,7.414588,13.910078
3,0.052230768,-0.009736475,-0.11684619,0.046219785,7.414588,13.910078
4,0.077846155,-0.066033185,-0.013164782,0.07581318,7.414588,13.910078
5,0.10346154,0.025538161,-0.13087912,0.05515385,7.414588,13.910078
6,0.12907693,0.13464817,-0.1471869,0.02904395,7.414588,13.910078
7,0.1546923,0.14764827,-0.157088,0.08936263,7.414588,13.910078
8,0.18030769,0.16531856,-0.1731538,0.048988987,7.414588,13.910078
9,0.20592308,-0.10134081,-0.06746159,0.13286816,7.414588,13.910078
10,0.23153846,0.050769188,-0.15208785,0.15054944,7.414588,13.910078
11,0.25715384,-0.21207708,0.029516406,0.10185713,7.414588,13.910078
12,0.28276923,0.096813224,-0.11746155,0.17579119,7.414588,13.910078
13,0.30838463,0.10530759,0.24403302,-0.012000025,7.414588,13.910078
14,0.334,0.3997909,0.5460879,-0.050593432,7.414588,13.910078
15,0.3596154,0.2217802,0.7578572,-0.013890119,7.414588,13.910078
16,0.38523078,0.23176916,0.17379121,-0.27692306,7.414588,13.910078
17,0.41084614,0.21196675,0.46681324,-0.028604396,7.414588,13.910078
18,0.43646154,-0.15523109,-0.35910994,0.4305714,7.414588,13.910078
19,0.46207693,0.45309883,-0.16080222,0.5880659,7.414588,13.910078
20,0.4876923,-0.77930784,-0.16953848,0.55610985,7.414588,13.910078
21,0.5133077,0.12176896,-0.42145061,0.7906373,7.414588,13.910078
22,0.5389231,-1.0457585,-0.27465937,0.8373516,7.414588,13.910078
23,0.5645385,0.5820657,0.99534065,-0.38174725,7.414588,13.910078
24,0.5901538,-0.5915165,-0.23198895,0.16781318,7.414588,13.910078
25,0.6157692,0.8499779,-0.1619121,-0.41289017,7.414588,13.910078
26,0.6413846,1.07378,2.196813,0.6277912,7.414588,13.910078
27,0.667,2.7512746,2.7241209,2.1905494,7.414588,13.910078
28,0.6926154,3.9797692,3.2773848,2.4469998,7.414588,13.910078
29,0.7182308,2.2727911,5.615714,2.1005936,7.414588,13.910078
30,0.7438462,2.913044,8.5738125,4.247209,7.414588,13.910078
31,0.7694615,4.9497466,11.904758,2.3904614,7.414588,13.910078
32,0.7950769,3.5852745,12.472187,-5.6766047,7.414588,13.910078
33,0.8206923,10.392208,11.354155,-2.6832855,7.414588,13.910078
34,0.8463077,11.886385,11.447243,-0.014934059,7.414588,13.910078
35,0.8719231,12.016572,14.254197,5.082132,7.414588,13.910078
36,0.8975385,8.235308,13.0631,-1.5384506,7.414588,13.910078
37,0.9231538,9.3991,13.583635,-16.893932,7.414588,13.910078
38,0.9487692,23.961658,12.32044,-8.17044,7.414588,13.910078
39,0.9743846,17.901981,17.831911,-3.523022,7.414588,13.910078
40,1.0,26.170397,11.195813,-22.162745,7.414588,13.910078
