index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,11.68781,14.7791
1,0.001,0.039410464,-0.011431495,-0.012294741,11.68781,14.7791
2,0.026615385,0.052136853,-0.036747344,-0.03323161,11.68781,14.7791
3,0.052230768,0.045368414,-0.10268419,0.01781052,11.68781,14.7791
4,0.077846155,0.07381051,-0.15060002,0.023726296,11.68781,14.7791
5,0.10346154,0.09429476,-0.16695784,0.0029684189,11.68781,14.7791
6,0.12907693,0.1702842,-0.097673714,-0.007894798,11.68781,14.7791
7,0.1546923,0.2359895,-0.09149476,0.11010522,11.68781,14.7791
8,0.18030769,0.18146317,-0.17737895,0.08797894,11.68781,14.7791
9,0.20592308,0.35488418,-0.08675788,0.24895784,11.68781,14.7791
10,0.23153846,0.23155789,-0.35638946,0.039126363,11.68781,14.7791
11,0.25715384,0.251,-0.24062106,0.15064211,11.68781,14.7791
12,0.28276923,0.42122105,-0.28158948,0.4153263,11.68781,14.7791
13,0.30838463,0.13823164,-0.5456737,0.2213052,11.68781,14.7791
14,0.334,0.18674742,-0.54099995,0.11885262,11.68781,14.7791
15,0.3596154,-0.04075787,-0.5685157,-0.27716842,11.68781,14.7791
16,0.38523078,0.4852422,-0.25689474,-0.20630531,11.68781,14.7791
17,0.41084614,0.728337,-0.46045268,-0.28958946,11.68781,14.7791
18,0.43646154,0.7702947,-0.76901054,-0.25022104,11.68781,14.7791
19,0.46207693,1.3970314,0.053673733,-0.45487365,11.68781,14.7791
20,0.4876923,2.5346632,0.47061053,-0.43741053,11.68781,14.7791
21,0.5133077,2.6871264,-0.22495785,-1.7111158,11.68781,14.7791
22,0.5389231,2.2398314,-0.9590105,-2.0386739,11.68781,14.7791
23,0.5645385,1.4504422,-1.0875474,-2.8069997,11.68781,14.7791
24,0.5901538,3.171221,0.42324215,-1.3225052,11.68781,14.7791
25,0.6157692,4.2716107,2.0341685,-0.73848426,11.68781,14.7791
26,0.6413846,4.6478844,1.6258314,-0.8311159,11.68781,14.7791
27,0.667,6.9642425,0.6130105,-0.93167365,11.68781,14.7791
28,0.6926154,10.058579,1.6615369,-2.740747,11.68781,14.7791
29,0.7182308,10.35818,0.98648417,-1.6385369,11.68781,14.7791
30,0.7438462,7.2258415,-1.2046736,-3.725368,11.68781,14.7791
31,0.7694615,5.998243,-1.6196947,-4.3396206,11.68781,14.7791
32,0.7950769,8.038527,0.25445268,-5.706358,11.68781,14.7791
33,0.8206923,4.887958,-4.7844315,-4.7846107,11.68781,14.7791
34,0.8463077,10.6207905,1.1000106,-0.35787365,11.68781,14.7791
35,0.8719231,5.801316,-6.012148,-3.1149995,11.68781,14.7791
36,0.8975385,4.756884,5.3900204,-3.6031895,11.68781,14.7791
37,0.9231538,0.93598944,4.634843,-10.393978,11.68781,14.7791
38,0.9487692,3.0469265,0.022536848,3.7974634,11.68781,14.7791
39,0.9743846,1.5072421,-5.6684313,-4.9317365,11.68781,14.7791
40,1.0,19.49599,-12.812474,-27.58864,11.68781,14.7791
