index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,17.181099,-0.0024596564
1,0.001,-0.019930314,-0.0160855,0.034535844,17.181099,-0.0024596564
2,0.026615385,-0.03791487,-0.043527346,0.09796213,17.181099,-0.0024596564
3,0.052230768,0.0051240553,-0.037403338,0.14635757,17.181099,-0.0024596564
4,0.077846155,0.05942621,-0.13503902,0.14078456,17.181099,-0.0024596564
5,0.10346154,-0.004186098,-0.18308547,0.18278326,17.181099,-0.0024596564
6,0.12907693,-0.029085234,-0.30625585,0.13046572,17.181099,-0.0024596564
7,0.1546923,-0.07948847,-0.4094806,0.27799207,17.181099,-0.0024596564
8,0.18030769,-0.11180613,-0.5260001,0.30525634,17.181099,-0.0024596564
9,0.20592308,-0.12090705,-0.55452716,0.2992878,17.181099,-0.0024596564
10,0.23153846,-0.26382938,-0.46043426,0.42848867,17.181099,-0.0024596564
11,0.25715384,-0.25112405,-0.5364575,0.5212878,17.181099,-0.0024596564
12,0.28276923,-0.45146516,-0.66247296,0.7360399,17.181099,-0.0024596564
13,0.30838463,-0.2728062,-0.80268234,0.89847344,17.181099,-0.0024596564
14,0.334,-0.91480637,-1.0022559,1.0455827,17.181099,-0.0024596564
15,0.3596154,-1.091217,-0.9529768,1.4827985,17.181099,-0.0024596564
16,0.38523078,-0.70502347,-0.9187909,2.120993,17.181099,-0.0024596564
17,0.41084614,-1.032969,-0.8780002,2.7282488,17.181099,-0.0024596564
18,0.43646154,-0.95604664,-1.5753953,3.3623652,17.181099,-0.0024596564
19,0.46207693,-1.5117598,-1.9408216,4.0535736,17.181099,-0.0024596564
20,0.4876923,-1.2023023,-2.8827984,4.703481,17.181099,-0.0024596564
21,0.5133077,-1.3444654,-3.0034418,5.0322723,17.181099,-0.0024596564
22,0.5389231,-2.017783,-4.0161786,5.658574,17.181099,-0.0024596564
23,0.5645385,-2.0540001,-4.988728,6.8217072,17.181099,-0.0024596564
24,0.5901538,-3.0514185,-5.042682,7.429667,17.181099,-0.0024596564
25,0.6157692,-4.085984,-5.5813336,7.49776,17.181099,-0.0024596564
26,0.6413846,-5.2293334,-5.207179,8.251768,17.181099,-0.0024596564
27,0.667,-5.2142015,-6.738674,11.066907,17.181099,-0.0024596564
28,0.6926154,-9.134032,-7.2497835,13.349838,17.181099,-0.0024596564
29,0.7182308,-9.0510235,-7.8751087,15.0371475,17.181099,-0.0024596564
30,0.7438462,-11.750357,-9.320597,19.081766,17.181099,-0.0024596564
31,0.7694615,-11.631224,-10.960086,21.719767,17.181099,-0.0024596564
32,0.7950769,-15.2110615,-15.619789,24.388529,17.181099,-0.0024596564
33,0.8206923,-20.738987,-18.041088,24.277956,17.181099,-0.0024596564
34,0.8463077,-30.227407,-19.188784,25.298452,17.181099,-0.0024596564
35,0.8719231,-28.85679,-20.737606,39.71152,17.181099,-0.0024596564
36,0.8975385,-37.150127,-26.361462,49.53299,17.181099,-0.0024596564
37,0.9231538,-56.64398,-31.23508,64.43576,17.181099,-0.0024596564
38,0.9487692,-59.986908,-37.447292,69.919785,17.181099,-0.0024596564
39,0.9743846,-67.13744,-41.074318,95.49279,17.181099,-0.0024596564
40,1.0,-71.185036,-48.123714,105.56101,17.181099,-0.0024596564
