index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,14.86451,0.019173345
1,0.001,-0.039647523,0.014720032,0.0059678806,14.86451,0.019173345
2,0.026615385,-0.08375183,0.033456102,-0.0123040965,14.86451,0.019173345
3,0.052230768,-0.1165434,0.09589606,0.03131194,14.86451,0.019173345
4,0.077846155,-0.20202349,0.14526397,0.081431895,14.86451,0.019173345
5,0.10346154,-0.29284027,0.052855972,0.06667195,14.86451,0.019173345
6,0.12907693,-0.34863997,0.16264822,0.12699185,14.86451,0.019173345
7,0.1546923,-0.2752232,0.23200016,0.09771199,14.86451,0.019173345
8,0.18030769,-0.48688,0.319,0.17191188,14.86451,0.019173345
9,0.20592308,-0.62121576,0.23357609,0.15312803,14.86451,0.019173345
10,0.23153846,-1.0267115,0.2870403,0.18651986,14.86451,0.019173345
11,0.25715384,-1.0102552,0.24404003,0.33024797,14.86451,0.019173345
12,0.28276923,-1.3431195,0.6563762,0.27092797,14.86451,0.019173345
13,0.30838463,-1.5095996,0.8738881,0.3906159,14.86451,0.019173345
14,0.334,-1.4536476,0.889504,0.60207987,14.86451,0.019173345
15,0.3596154,-2.3214083,0.888096,0.6692639,14.86451,0.019173345
16,0.38523078,-2.873176,0.86672014,0.45858404,14.86451,0.019173345
17,0.41084614,-3.3089359,1.235112,0.38699988,14.86451,0.019173345
18,0.43646154,-4.194504,0.6844,0.590328,14.86451,0.019173345
19,0.46207693,-4.7922792,0.5944641,0.85739994,14.86451,0.019173345
20,0.4876923,-5.8770247,0.73572,0.86808,14.86451,0.019173345
21,0.5133077,-7.174456,1.0628718,0.7882799,14.86451,0.019173345
22,0.5389231,-8.643287,1.034672,1.3419917,14.86451,0.019173345
23,0.5645385,-10.239592,1.8007041,1.1818959,14.86451,0.019173345
24,0.5901538,-10.957552,1.518656,1.2259679,14.86451,0.019173345
25,0.6157692,-11.78852,0.888568,1.6895039,14.86451,0.019173345
26,0.6413846,-12.264367,-0.33814374,2.8865843,14.86451,0.019173345
27,0.667,-13.522489,-0.7857839,3.1621761,14.86451,0.019173345
28,0.6926154,-15.233376,-1.1230478,2.7440078,14.86451,0.019173345
29,0.7182308,-18.73276,-3.391584,4.0663285,14.86451,0.019173345
30,0.7438462,-18.565496,-0.56528,5.3106318,14.86451,0.019173345
31,0.7694615,-16.972261,-0.7538158,6.782583,14.86451,0.019173345
32,0.7950769,-19.94247,1.6443281,7.4375196,14.86451,0.019173345
33,0.8206923,-24.552145,7.4376163,4.536576,14.86451,0.019173345
34,0.8463077,-30.90036,5.922288,3.0164316,14.86451,0.019173345
35,0.8719231,-37.057987,3.8262799,5.9704328,14.86451,0.019173345
36,0.8975385,-43.947266,12.488752,3.1118479,14.86451,0.019173345
37,0.9231538,-57.02955,14.967897,-1.5651121,14.86451,0.019173345
38,0.9487692,-66.35202,26.217064,6.2674713,14.86451,0.019173345
39,0.9743846,-68.872185,23.919836,-0.3028001,14.86451,0.019173345
40,1.0,-87.17614,24.167536,-6.692368,14.86451,0.019173345
