index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,19.60757,3.6797295
1,0.001,-0.034875765,-0.024962831,0.00081371225,19.60757,3.6797295
2,0.026615385,-0.0319565,-0.09763366,0.036981314,19.60757,3.6797295
3,0.052230768,-0.052826118,-0.09333552,0.018130371,19.60757,3.6797295
4,0.077846155,-0.14092553,-0.11503117,0.049267113,19.60757,3.6797295
5,0.10346154,-0.20847207,-0.1544474,0.03872656,19.60757,3.6797295
6,0.12907693,-0.36742857,-0.2380002,0.018844616,19.60757,3.6797295
7,0.1546923,-0.56357765,-0.21952805,0.040285513,19.60757,3.6797295
8,0.18030769,-0.62280124,-0.34600016,0.013260806,19.60757,3.6797295
9,0.20592308,-0.7266708,-0.32657158,0.00829811,19.60757,3.6797295
10,0.23153846,-0.8646459,-0.5663976,-0.119490854,19.60757,3.6797295
11,0.25715384,-1.2200062,-0.6800001,-0.17260243,19.60757,3.6797295
12,0.28276923,-1.4486212,-0.5395592,-0.29839757,19.60757,3.6797295
13,0.30838463,-1.5061055,-0.6239008,-0.49309322,19.60757,3.6797295
14,0.334,-1.6834534,-0.74411196,-0.6277641,19.60757,3.6797295
15,0.3596154,-2.139621,-1.0174038,-0.6494847,19.60757,3.6797295
16,0.38523078,-2.1467018,-1.7791367,-0.8117515,19.60757,3.6797295
17,0.41084614,-2.6206772,-2.3480995,-1.0032487,19.60757,3.6797295
18,0.43646154,-2.864304,-2.1501305,-0.9876897,19.60757,3.6797295
19,0.46207693,-3.51133,-2.1920125,-1.3251988,19.60757,3.6797295
20,0.4876923,-4.3680434,-1.8024472,-1.7784905,19.60757,3.6797295
21,0.5133077,-4.950783,-2.6930315,-1.6625715,19.60757,3.6797295
22,0.5389231,-4.787249,-3.5307078,-1.663174,19.60757,3.6797295
23,0.5645385,-5.436155,-4.283739,-2.9128761,19.60757,3.6797295
24,0.5901538,-6.6674714,-4.702298,-3.9655275,19.60757,3.6797295
25,0.6157692,-9.166944,-4.1396585,-5.5814915,19.60757,3.6797295
26,0.6413846,-10.476205,-2.6314101,-6.1737084,19.60757,3.6797295
27,0.667,-9.833018,-5.3550754,-10.030019,19.60757,3.6797295
28,0.6926154,-13.438826,-7.7358384,-14.383604,19.60757,3.6797295
29,0.7182308,-14.831103,-10.344614,-16.610554,19.60757,3.6797295
30,0.7438462,-17.54903,-13.78603,-17.0417,19.60757,3.6797295
31,0.7694615,-18.713995,-12.757157,-18.486416,19.60757,3.6797295
32,0.7950769,-21.490955,-17.078484,-16.391876,19.60757,3.6797295
33,0.8206923,-22.793106,-15.314621,-22.926739,19.60757,3.6797295
34,0.8463077,-16.42741,-16.974379,-31.259102,19.60757,3.6797295
35,0.8719231,-20.17375,-24.837473,-34.38227,19.60757,3.6797295
36,0.8975385,-23.006268,-35.781796,-34.28398,19.60757,3.6797295
37,0.9231538,-17.704142,-43.035133,-31.713873,19.60757,3.6797295
38,0.9487692,-8.529453,-52.763027,-28.4084,19.60757,3.6797295
39,0.9743846,-6.589956,-51.52361,-36.88576,19.60757,3.6797295
40,1.0,-9.203392,-73.7711,-45.510086,19.60757,3.6797295
