index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,11.403807,8.573917
1,0.001,-0.009217432,0.014744013,-0.038884085,11.403807,8.573917
2,0.026615385,-0.11165701,0.022603989,-0.10322704,11.403807,8.573917
3,0.052230768,-0.13611601,0.03124157,-0.1305121,11.403807,8.573917
4,0.077846155,-0.18077298,0.09818853,-0.15485995,11.403807,8.573917
5,0.10346154,-0.26443478,0.078932405,-0.24853627,11.403807,8.573917
6,0.12907693,-0.3050676,0.08386963,-0.24742515,11.403807,8.573917
7,0.1546923,-0.34684065,0.17889382,-0.19871499,11.403807,8.573917
8,0.18030769,-0.40485024,0.25472474,-0.10028504,11.403807,8.573917
9,0.20592308,-0.49485514,0.17982131,-0.22928019,11.403807,8.573917
10,0.23153846,-0.46610633,0.33322224,-0.12025124,11.403807,8.573917
11,0.25715384,-0.8190869,0.37770537,-0.0016377373,11.403807,8.573917
12,0.28276923,-0.9355073,0.3613576,0.12881157,11.403807,8.573917
13,0.30838463,-1.0319808,0.271203,-0.1766087,11.403807,8.573917
14,0.334,-1.0660435,0.003473457,-0.23604345,11.403807,8.573917
15,0.3596154,-1.1011884,-0.14757964,-0.69958943,11.403807,8.573917
16,0.38523078,-1.161628,-0.18732844,-0.5368551,11.403807,8.573917
17,0.41084614,-0.980744,-0.35676804,-0.62118363,11.403807,8.573917
18,0.43646154,-0.71831405,-0.2720386,-0.33594686,11.403807,8.573917
19,0.46207693,-0.8512898,-0.70375836,0.0110531375,11.403807,8.573917
20,0.4876923,-0.8269372,-1.4943331,-0.81707734,11.403807,8.573917
21,0.5133077,-0.067946896,-2.216966,-0.5625507,11.403807,8.573917
22,0.5389231,0.5144927,-2.341744,-0.5120435,11.403807,8.573917
23,0.5645385,0.79216415,-4.9619846,-0.710517,11.403807,8.573917
24,0.5901538,1.9133286,-6.5884204,0.56121737,11.403807,8.573917
25,0.6157692,2.1211305,-5.8656363,3.0771737,11.403807,8.573917
26,0.6413846,2.2670193,-4.0946913,2.3760238,11.403807,8.573917
27,0.667,0.3064444,-3.3982365,3.367865,11.403807,8.573917
28,0.6926154,-1.1498358,-3.4749658,3.5185318,11.403807,8.573917
29,0.7182308,-4.1206717,-0.9129324,1.7560145,11.403807,8.573917
30,0.7438462,-5.312638,-1.2986907,2.0617778,11.403807,8.573917
31,0.7694615,-2.4499807,2.8640141,3.7940097,11.403807,8.573917
32,0.7950769,3.7972372,0.16262324,3.137841,11.403807,8.573917
33,0.8206923,3.3131254,-3.198942,5.5460725,11.403807,8.573917
34,0.8463077,-2.9734058,0.54523194,4.1654882,11.403807,8.573917
35,0.8719231,-1.8835458,-9.452847,7.202155,11.403807,8.573917
36,0.8975385,-4.4659033,-18.02987,15.038589,11.403807,8.573917
37,0.9231538,6.0942564,-19.118116,19.182924,11.403807,8.573917
38,0.9487692,7.982127,-26.90021,18.616886,11.403807,8.573917
39,0.9743846,2.6094208,-29.725266,19.8387,11.403807,8.573917
40,1.0,12.886763,-53.744896,25.897972,11.403807,8.573917
