index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,13.9964,-0.0107479645
1,0.001,-0.006986618,0.0008400472,-0.042413685,13.9964,-0.0107479645
2,0.026615385,-0.046399865,-0.029999696,-0.16491994,13.9964,-0.0107479645
3,0.052230768,-0.060799815,-0.062105816,-0.24820028,13.9964,-0.0107479645
4,0.077846155,-0.064306386,-0.052733153,-0.31417394,13.9964,-0.0107479645
5,0.10346154,-0.06183993,-0.0559198,-0.42942682,13.9964,-0.0107479645
6,0.12907693,-0.11830673,0.002840271,-0.5305597,13.9964,-0.0107479645
7,0.1546923,-0.15465312,0.006960653,-0.5683469,13.9964,-0.0107479645
8,0.18030769,-0.19442663,-0.014679871,-0.57310665,13.9964,-0.0107479645
9,0.20592308,-0.24561323,-0.081133015,-0.70445347,13.9964,-0.0107479645
10,0.23153846,-0.2851332,-0.15353312,-0.7232135,13.9964,-0.0107479645
11,0.25715384,-0.11165331,0.09732015,-0.98610675,13.9964,-0.0107479645
12,0.28276923,0.0051735686,0.22864054,-0.97098655,13.9964,-0.0107479645
13,0.30838463,-0.27361324,0.434841,-1.2507868,13.9964,-0.0107479645
14,0.334,-0.2391199,0.52232087,-1.5743604,13.9964,-0.0107479645
15,0.3596154,-0.3144664,0.5877608,-1.9664807,13.9964,-0.0107479645
16,0.38523078,-0.41913334,0.31421426,-2.3230002,13.9964,-0.0107479645
17,0.41084614,-0.4612266,0.7548409,-2.6588008,13.9964,-0.0107479645
18,0.43646154,-0.7592799,1.716014,-3.9786272,13.9964,-0.0107479645
19,0.46207693,-0.57150644,0.9750136,-4.8351736,13.9964,-0.0107479645
20,0.4876923,-1.3385065,1.8428408,-5.059507,13.9964,-0.0107479645
21,0.5133077,-1.9856535,1.6439608,-6.0473204,13.9964,-0.0107479645
22,0.5389231,-2.3804667,1.5120001,-7.310427,13.9964,-0.0107479645
23,0.5645385,-2.5499732,2.4667075,-8.587148,13.9964,-0.0107479645
24,0.5901538,-3.02376,3.7810006,-8.866133,13.9964,-0.0107479645
25,0.6157692,-3.554467,3.349507,-12.0184145,13.9964,-0.0107479645
26,0.6413846,-4.5886526,2.5101075,-13.492134,13.9964,-0.0107479645
27,0.667,-4.0048666,3.3103607,-15.432786,13.9964,-0.0107479645
28,0.6926154,-4.2893066,2.4084404,-17.121868,13.9964,-0.0107479645
29,0.7182308,-5.83832,4.465014,-17.384268,13.9964,-0.0107479645
30,0.7438462,-8.173359,1.0453207,-18.192917,13.9964,-0.0107479645
31,0.7694615,-6.969693,1.727974,-21.525799,13.9964,-0.0107479645
32,0.7950769,-11.614227,8.045361,-25.794004,13.9964,-0.0107479645
33,0.8206923,-10.5,9.999359,-27.871454,13.9964,-0.0107479645
34,0.8463077,-16.158226,17.256332,-28.251055,13.9964,-0.0107479645
35,0.8719231,-13.6616535,18.9894,-30.747454,13.9964,-0.0107479645
36,0.8975385,-8.8196535,24.385006,-32.33472,13.9964,-0.0107479645
37,0.9231538,-2.8874269,25.849802,-41.7195,13.9964,-0.0107479645
38,0.9487692,2.6476266,29.740852,-54.323063,13.9964,-0.0107479645
39,0.9743846,-1.9453467,34.355015,-72.926544,13.9964,-0.0107479645
40,1.0,-7.8411345,46.850353,-82.98613,13.9964,-0.0107479645
