index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,8.624365,12.783836
1,0.001,-0.01848602,-0.021906571,-0.031672884,8.624365,12.783836
2,0.026615385,-0.028467339,0.001140187,0.020999998,8.624365,12.783836
3,0.052230768,0.0074859336,0.010710262,-0.004794344,8.624365,12.783836
4,0.077846155,0.055644855,0.03728037,-0.054551356,8.624365,12.783836
5,0.10346154,-0.012261752,-0.008130852,0.0014392416,8.624365,12.783836
6,0.12907693,0.09536444,-0.17581305,-0.021999974,8.624365,12.783836
7,0.1546923,0.03419622,-0.2259159,0.0518785,8.624365,12.783836
8,0.18030769,-0.08928976,-0.4034673,0.12318697,8.624365,12.783836
9,0.20592308,-0.021242984,-0.507729,-0.2201121,8.624365,12.783836
10,0.23153846,0.10180368,-0.6323645,-0.25952333,8.624365,12.783836
11,0.25715384,0.38166353,-0.8643738,-0.27992517,8.624365,12.783836
12,0.28276923,0.42228028,-1.1557289,-0.2545887,8.624365,12.783836
13,0.30838463,0.68733644,-1.0011402,-0.09857933,8.624365,12.783836
14,0.334,0.49989715,-1.1512897,0.2324392,8.624365,12.783836
15,0.3596154,0.60233635,-1.0256822,0.34084114,8.624365,12.783836
16,0.38523078,0.4724393,-1.5467571,-0.28119624,8.624365,12.783836
17,0.41084614,0.25509337,-1.4580189,-0.28929904,8.624365,12.783836
18,0.43646154,0.48186913,-0.90099055,0.18809353,8.624365,12.783836
19,0.46207693,0.24101858,-0.8281963,0.5008879,8.624365,12.783836
20,0.4876923,0.047242887,-0.35901874,0.7064768,8.624365,12.783836
21,0.5133077,0.17595312,0.11208414,-0.5743364,8.624365,12.783836
22,0.5389231,0.28250462,-0.32801872,0.54928976,8.624365,12.783836
23,0.5645385,1.2614018,0.32871032,0.08780376,8.624365,12.783836
24,0.5901538,2.2995327,-0.7777197,1.7728412,8.624365,12.783836
25,0.6157692,2.2229533,-1.9703367,0.24302799,8.624365,12.783836
26,0.6413846,1.9614486,-1.6061028,3.327533,8.624365,12.783836
27,0.667,0.71509343,-4.4108133,4.502878,8.624365,12.783836
28,0.6926154,0.7355139,-4.876794,-0.7929065,8.624365,12.783836
29,0.7182308,2.2666633,-2.52214,-0.13144858,8.624365,12.783836
30,0.7438462,6.4628587,-1.4758692,1.3324394,8.624365,12.783836
31,0.7694615,5.078495,2.987411,4.075608,8.624365,12.783836
32,0.7950769,6.7207108,0.47524297,-1.9072616,8.624365,12.783836
33,0.8206923,0.91353256,-1.638103,1.2419348,8.624365,12.783836
34,0.8463077,4.3849163,1.623187,3.00157,8.624365,12.783836
35,0.8719231,4.3085885,-6.983496,-4.3478785,8.624365,12.783836
36,0.8975385,15.958485,-9.251906,-6.591719,8.624365,12.783836
37,0.9231538,4.8832154,-2.0517197,-16.068542,8.624365,12.783836
38,0.9487692,13.701514,0.16642053,-19.413,8.624365,12.783836
39,0.9743846,11.447533,-14.593141,-19.495533,8.624365,12.783836
40,1.0,14.009663,-40.346836,-2.1246915,8.624365,12.783836
