index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,22.659681,18.41274
1,0.001,-0.008833361,-0.02101854,-0.036351826,22.659681,18.41274
2,0.026615385,-0.025629647,-0.011537067,-0.038185135,22.659681,18.41274
3,0.052230768,0.020518513,0.001722159,-0.14370367,22.659681,18.41274
4,0.077846155,0.013148151,-0.08779632,-0.23659255,22.659681,18.41274
5,0.10346154,-0.020740738,-0.17477779,-0.31770366,22.659681,18.41274
6,0.12907693,-0.04974077,-0.21170372,-0.33090737,22.659681,18.41274
7,0.1546923,-0.21305555,-0.18192595,-0.47664812,22.659681,18.41274
8,0.18030769,-0.12920369,-0.13574082,-0.51601845,22.659681,18.41274
9,0.20592308,-0.22875929,-0.39070377,-0.7854444,22.659681,18.41274
10,0.23153846,-0.32764816,-0.59827775,-0.8938518,22.659681,18.41274
11,0.25715384,-0.18974072,-0.2887963,-1.0485926,22.659681,18.41274
12,0.28276923,-0.24200003,-0.2732222,-1.1665,22.659681,18.41274
13,0.30838463,-0.18522225,-0.40759262,-1.5289073,22.659681,18.41274
14,0.334,-0.024759198,-0.57055557,-1.5355555,22.659681,18.41274
15,0.3596154,0.10983333,-1.0227038,-2.2522037,22.659681,18.41274
16,0.38523078,0.43855554,-0.63959265,-2.528481,22.659681,18.41274
17,0.41084614,0.7925555,-0.7527963,-3.2961302,22.659681,18.41274
18,0.43646154,0.7617778,-1.415963,-3.3131297,22.659681,18.41274
19,0.46207693,0.9626296,-1.8683703,-4.1362414,22.659681,18.41274
20,0.4876923,1.2453704,-1.4039629,-4.1759253,22.659681,18.41274
21,0.5133077,1.9907964,-1.8685926,-3.3473704,22.659681,18.41274
22,0.5389231,2.0248332,-2.7387965,-3.089593,22.659681,18.41274
23,0.5645385,2.537778,-2.9697592,-3.4099813,22.659681,18.41274
24,0.5901538,2.0854628,-1.4927038,-4.831593,22.659681,18.41274
25,0.6157692,3.5100188,-3.0193338,-4.7841296,22.659681,18.41274
26,0.6413846,4.7831855,-2.8667965,-4.3873334,22.659681,18.41274
27,0.667,5.7222404,-1.731037,-3.6667037,22.659681,18.41274
28,0.6926154,4.386556,0.916,-5.8493886,22.659681,18.41274
29,0.7182308,3.1908147,1.5298887,-7.905666,22.659681,18.41274
30,0.7438462,2.1379445,-0.3765,-8.425817,22.659681,18.41274
31,0.7694615,5.317297,3.9690378,-6.2253327,22.659681,18.41274
32,0.7950769,7.2633705,0.21972221,-4.869981,22.659681,18.41274
33,0.8206923,8.161204,0.3994814,-1.9141666,22.659681,18.41274
34,0.8463077,5.254203,-2.839926,-4.647703,22.659681,18.41274
35,0.8719231,4.5588694,-6.307389,-10.969092,22.659681,18.41274
36,0.8975385,-2.3652592,-8.569648,-8.623279,22.659681,18.41274
37,0.9231538,-8.739739,-9.462203,-17.497555,22.659681,18.41274
38,0.9487692,0.024944391,4.633037,-10.197333,22.659681,18.41274
39,0.9743846,-11.092482,-1.0248519,-5.327222,22.659681,18.41274
40,1.0,-4.692371,7.7451863,-6.9224253,22.659681,18.41274
