index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,2.4109588,-0.62159705
1,0.001,-0.0407163,-0.0061489595,0.006858122,2.4109588,-0.62159705
2,0.026615385,-0.045340415,-0.0529007,0.067553245,2.4109588,-0.62159705
3,0.052230768,0.0026808851,-0.05210636,-0.040567465,2.4109588,-0.62159705
4,0.077846155,0.046482276,-0.12426952,0.040354602,2.4109588,-0.62159705
5,0.10346154,-0.04629789,-0.17755316,0.009354774,2.4109588,-0.62159705
6,0.12907693,0.09302127,-0.23314896,-0.08175175,2.4109588,-0.62159705
7,0.1546923,0.035659604,-0.3155532,-0.04037592,2.4109588,-0.62159705
8,0.18030769,-0.075248204,-0.2875674,-0.07472332,2.4109588,-0.62159705
9,0.20592308,-0.15129787,-0.285149,-0.11464526,2.4109588,-0.62159705
10,0.23153846,-0.32044685,-0.45112765,-0.0019502302,2.4109588,-0.62159705
11,0.25715384,-0.4822695,-0.41849646,-0.22649625,2.4109588,-0.62159705
12,0.28276923,-0.61221284,-0.47961697,-0.3564964,2.4109588,-0.62159705
13,0.30838463,-0.64263827,-0.4476241,-0.34071636,2.4109588,-0.62159705
14,0.334,-0.5587021,-1.1797659,0.0330993,2.4109588,-0.62159705
15,0.3596154,-0.94427663,-1.6906099,0.70175177,2.4109588,-0.62159705
16,0.38523078,-1.2888651,-1.7470921,0.99367374,2.4109588,-0.62159705
17,0.41084614,-1.5942978,-1.7271632,1.3749788,2.4109588,-0.62159705
18,0.43646154,-1.9348792,-1.7946243,1.9460497,2.4109588,-0.62159705
19,0.46207693,-2.7196882,-2.28461,1.7119504,2.4109588,-0.62159705
20,0.4876923,-3.6246102,-2.733518,2.1817236,2.4109588,-0.62159705
21,0.5133077,-3.0860705,-3.5078864,2.5646172,2.4109588,-0.62159705
22,0.5389231,-3.289944,-3.7403266,4.286248,2.4109588,-0.62159705
23,0.5645385,-3.1831417,-4.728085,4.162511,2.4109588,-0.62159705
24,0.5901538,-2.328411,-6.4529085,1.9354538,2.4109588,-0.62159705
25,0.6157692,-2.5588155,-6.29839,2.0369575,2.4109588,-0.62159705
26,0.6413846,-0.23601422,-6.87142,1.5271631,2.4109588,-0.62159705
27,0.667,2.125716,-8.74812,-1.8835176,2.4109588,-0.62159705
28,0.6926154,2.5205462,-10.038901,-2.5841208,2.4109588,-0.62159705
29,0.7182308,3.368759,-8.464454,-1.177085,2.4109588,-0.62159705
30,0.7438462,4.849524,-7.7651496,-1.1605532,2.4109588,-0.62159705
31,0.7694615,8.5344095,-12.926482,1.927759,2.4109588,-0.62159705
32,0.7950769,8.195234,-14.772658,-0.9201701,2.4109588,-0.62159705
33,0.8206923,5.13427,-15.21899,-1.8882979,2.4109588,-0.62159705
34,0.8463077,1.2278866,-14.404949,-11.614347,2.4109588,-0.62159705
35,0.8719231,5.935169,-10.389581,-9.863915,2.4109588,-0.62159705
36,0.8975385,4.710716,-7.2726245,-9.888221,2.4109588,-0.62159705
37,0.9231538,-5.642879,-9.475149,-13.223566,2.4109588,-0.62159705
38,0.9487692,7.4081693,-14.788768,-10.477623,2.4109588,-0.62159705
39,0.9743846,25.107851,-17.04408,-24.191864,2.4109588,-0.62159705
40,1.0,14.777439,-20.245785,-22.794493,2.4109588,-0.62159705
