index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,8.38485,14.530508
1,0.001,-0.0056747673,0.028841695,0.029949952,8.38485,14.530508
2,0.026615385,0.0043417932,0.033175007,0.04546671,8.38485,14.530508
3,0.052230768,-0.0012415807,0.07634168,0.028849987,8.38485,14.530508
4,0.077846155,0.0020002364,0.112608306,-0.106916636,8.38485,14.530508
5,0.10346154,0.037591934,0.22510837,-0.06811668,8.38485,14.530508
6,0.12907693,-0.11955826,0.19730833,-0.14225002,8.38485,14.530508
7,0.1546923,-0.15876658,0.29117504,-0.16950832,8.38485,14.530508
8,0.18030769,-0.18525822,0.28955832,0.025008367,8.38485,14.530508
9,0.20592308,-0.23548327,0.12077505,-0.0050833737,8.38485,14.530508
10,0.23153846,-0.074933164,0.20845833,-0.11063333,8.38485,14.530508
11,0.25715384,-0.26799986,-0.14280829,0.004799978,8.38485,14.530508
12,0.28276923,0.07019172,0.05648334,0.02382497,8.38485,14.530508
13,0.30838463,-0.015366602,-0.03769165,-0.22327499,8.38485,14.530508
14,0.334,-0.013558348,0.19057499,0.19039999,8.38485,14.530508
15,0.3596154,-0.2399331,-0.11282497,0.38801664,8.38485,14.530508
16,0.38523078,0.3312834,-0.34954166,0.0030583097,8.38485,14.530508
17,0.41084614,0.21876684,-0.88044167,-0.16175833,8.38485,14.530508
18,0.43646154,-0.32827485,-0.68935,-0.02089166,8.38485,14.530508
19,0.46207693,0.23706679,0.1624,-0.2905167,8.38485,14.530508
20,0.4876923,-0.35529166,0.40117502,-0.7496666,8.38485,14.530508
21,0.5133077,-0.39866647,0.22200005,-0.35171673,8.38485,14.530508
22,0.5389231,-0.52001655,-0.56669164,-1.2745917,8.38485,14.530508
23,0.5645385,0.0922169,0.49625003,0.19485,8.38485,14.530508
24,0.5901538,-0.49049142,0.69625,0.10229165,8.38485,14.530508
25,0.6157692,1.6468251,-1.1242083,-2.0617087,8.38485,14.530508
26,0.6413846,0.32100853,0.079108335,-4.653175,8.38485,14.530508
27,0.667,-0.57556653,-2.7024415,-4.541116,8.38485,14.530508
28,0.6926154,-0.5704667,0.9320166,-4.7885923,8.38485,14.530508
29,0.7182308,-1.452,-0.7530251,-3.2407334,8.38485,14.530508
30,0.7438462,-2.3105416,-2.0059836,-3.0802338,8.38485,14.530508
31,0.7694615,0.2744835,0.033341687,-8.374926,8.38485,14.530508
32,0.7950769,0.33826673,-5.6075673,-9.212808,8.38485,14.530508
33,0.8206923,6.5547504,-0.19099998,-8.476866,8.38485,14.530508
34,0.8463077,4.921158,0.68609166,-4.491234,8.38485,14.530508
35,0.8719231,-3.010175,5.4985423,4.3678503,8.38485,14.530508
36,0.8975385,1.471325,0.75106674,16.61885,8.38485,14.530508
37,0.9231538,-0.9952665,6.6936255,28.284367,8.38485,14.530508
38,0.9487692,-9.289783,-4.933649,16.572233,8.38485,14.530508
39,0.9743846,-17.731567,-13.539184,7.621635,8.38485,14.530508
40,1.0,-5.403175,-13.850417,6.0376344,8.38485,14.530508
