index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,15.693416,-0.013823858
1,0.001,-0.03525218,-0.01044348,0.021921905,15.693416,-0.013823858
2,0.026615385,-0.059747647,-0.010991436,0.06221705,15.693416,-0.013823858
3,0.052230768,-0.086904176,-0.068669595,0.15238263,15.693416,-0.013823858
4,0.077846155,-0.14485222,-0.03626948,0.20962597,15.693416,-0.013823858
5,0.10346154,-0.16126958,-0.14132167,0.2612348,15.693416,-0.013823858
6,0.12907693,-0.3151389,-0.08893041,0.2978343,15.693416,-0.013823858
7,0.1546923,-0.5706956,-0.16061729,0.41724348,15.693416,-0.013823858
8,0.18030769,-0.742626,-0.20428687,0.46011293,15.693416,-0.013823858
9,0.20592308,-0.82752174,-0.19374788,0.67206055,15.693416,-0.013823858
10,0.23153846,-0.8746435,-0.14629559,0.58280885,15.693416,-0.013823858
11,0.25715384,-0.8967217,-0.33316526,0.57473016,15.693416,-0.013823858
12,0.28276923,-1.0114783,-0.39704338,0.8002175,15.693416,-0.013823858
13,0.30838463,-1.2133479,-0.5174348,0.8263475,15.693416,-0.013823858
14,0.334,-1.4294001,-0.6175477,0.9998,15.693416,-0.013823858
15,0.3596154,-1.265287,-0.33552173,1.1457477,15.693416,-0.013823858
16,0.38523078,-1.5062869,-0.30192167,1.3602437,15.693416,-0.013823858
17,0.41084614,-1.879287,-0.029634692,2.2120953,15.693416,-0.013823858
18,0.43646154,-1.7565477,-0.33249557,2.5725126,15.693416,-0.013823858
19,0.46207693,-2.713539,-0.7054696,3.2095566,15.693416,-0.013823858
20,0.4876923,-3.6909478,-0.8183652,3.3611999,15.693416,-0.013823858
21,0.5133077,-4.508504,-1.0089391,4.18987,15.693416,-0.013823858
22,0.5389231,-5.6876,-1.7007825,5.6972265,15.693416,-0.013823858
23,0.5645385,-7.160183,-0.8278521,6.041182,15.693416,-0.013823858
24,0.5901538,-7.7695656,-1.4451913,6.5236263,15.693416,-0.013823858
25,0.6157692,-8.132487,-1.4959216,6.890896,15.693416,-0.013823858
26,0.6413846,-9.591288,-1.7708782,7.231139,15.693416,-0.013823858
27,0.667,-10.265913,-3.1954608,8.697382,15.693416,-0.013823858
28,0.6926154,-12.739626,-3.4861476,8.164191,15.693416,-0.013823858
29,0.7182308,-16.6886,-6.650191,8.480687,15.693416,-0.013823858
30,0.7438462,-18.298191,-8.317792,8.264748,15.693416,-0.013823858
31,0.7694615,-18.851868,-10.4274435,14.685024,15.693416,-0.013823858
32,0.7950769,-22.075893,-12.325469,14.602433,15.693416,-0.013823858
33,0.8206923,-27.72835,-14.474939,21.405437,15.693416,-0.013823858
34,0.8463077,-34.32261,-17.627045,25.201164,15.693416,-0.013823858
35,0.8719231,-42.066605,-20.863026,25.89885,15.693416,-0.013823858
36,0.8975385,-42.684258,-30.085144,34.2724,15.693416,-0.013823858
37,0.9231538,-45.841236,-32.11801,37.62813,15.693416,-0.013823858
38,0.9487692,-49.52087,-25.870424,41.45728,15.693416,-0.013823858
39,0.9743846,-45.175564,-25.981768,55.380142,15.693416,-0.013823858
40,1.0,-60.364044,-27.094885,60.080032,15.693416,-0.013823858
