index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,14.048302,-0.0075874464
1,0.001,0.016674647,0.037617907,-0.01194298,14.048302,-0.0075874464
2,0.026615385,0.012068942,0.057821475,-0.040999994,14.048302,-0.0075874464
3,0.052230768,0.007735663,0.13854894,-0.058658615,14.048302,-0.0075874464
4,0.077846155,0.009178766,0.17375223,-0.119784504,14.048302,-0.0075874464
5,0.10346154,0.06402419,0.3353378,-0.087264396,14.048302,-0.0075874464
6,0.12907693,0.15300804,0.49613005,-0.09194709,14.048302,-0.0075874464
7,0.1546923,0.31588194,0.5676667,-0.18023176,14.048302,-0.0075874464
8,0.18030769,0.47289413,0.68413043,-0.22663037,14.048302,-0.0075874464
9,0.20592308,0.41114607,0.7210204,-0.09690652,14.048302,-0.0075874464
10,0.23153846,0.4083171,0.97319955,-0.16382915,14.048302,-0.0075874464
11,0.25715384,0.5740366,1.2837318,-0.039438944,14.048302,-0.0075874464
12,0.28276923,1.1150651,1.5829837,0.03916255,14.048302,-0.0075874464
13,0.30838463,1.1788331,1.7148051,-0.088297,14.048302,-0.0075874464
14,0.334,1.6078981,2.0739636,0.087382324,14.048302,-0.0075874464
15,0.3596154,1.3696624,2.3091304,0.033959333,14.048302,-0.0075874464
16,0.38523078,1.1661464,2.6768293,-0.2637196,14.048302,-0.0075874464
17,0.41084614,1.3842235,3.0738988,-0.40485364,14.048302,-0.0075874464
18,0.43646154,1.5250405,3.9242847,-0.07072764,14.048302,-0.0075874464
19,0.46207693,1.6365324,4.4787927,-0.14017485,14.048302,-0.0075874464
20,0.4876923,1.6365201,4.445,-0.15613826,14.048302,-0.0075874464
21,0.5133077,2.7999513,5.029374,-1.0481503,14.048302,-0.0075874464
22,0.5389231,2.798069,5.4171996,-0.8850484,14.048302,-0.0075874464
23,0.5645385,3.1110814,6.4287195,-2.1033413,14.048302,-0.0075874464
24,0.5901538,3.3622804,7.996122,-2.7038984,14.048302,-0.0075874464
25,0.6157692,3.2300484,9.496988,-4.4251623,14.048302,-0.0075874464
26,0.6413846,2.3940773,9.928105,-3.7462926,14.048302,-0.0075874464
27,0.667,2.267878,11.076865,-6.3565445,14.048302,-0.0075874464
28,0.6926154,3.2355042,12.245643,-8.415191,14.048302,-0.0075874464
29,0.7182308,6.239504,13.597592,-8.394284,14.048302,-0.0075874464
30,0.7438462,4.8886995,16.428362,-5.88187,14.048302,-0.0075874464
31,0.7694615,6.59878,21.125437,-8.339887,14.048302,-0.0075874464
32,0.7950769,4.751833,24.385056,-9.516943,14.048302,-0.0075874464
33,0.8206923,1.8743658,27.442825,-9.8970375,14.048302,-0.0075874464
34,0.8463077,3.2353697,33.581078,-11.388785,14.048302,-0.0075874464
35,0.8719231,-0.20110579,40.360825,-12.302189,14.048302,-0.0075874464
36,0.8975385,-0.573805,43.125122,-12.027529,14.048302,-0.0075874464
37,0.9231538,-6.8447194,44.62787,-19.352919,14.048302,-0.0075874464
38,0.9487692,-3.4402604,58.555813,-27.57315,14.048302,-0.0075874464
39,0.9743846,-6.1150093,73.52501,-30.02988,14.048302,-0.0075874464
40,1.0,-8.217081,77.60706,-19.60041,14.048302,-0.0075874464
