index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.07846984,-3.1089454
1,0.001,-0.02260716,-0.010150784,0.031021211,-0.07846984,-3.1089454
2,0.026615385,0.024898136,-0.032428958,0.10757744,-0.07846984,-3.1089454
3,0.052230768,-0.026110373,-0.088505365,0.1104777,-0.07846984,-3.1089454
4,0.077846155,-0.048571106,-0.15507643,0.1122951,-0.07846984,-3.1089454
5,0.10346154,-0.14804244,-0.2633631,0.09380465,-0.07846984,-3.1089454
6,0.12907693,-0.24010617,-0.2564862,0.051407613,-0.07846984,-3.1089454
7,0.1546923,-0.33530357,-0.19315504,0.0464225,-0.07846984,-3.1089454
8,0.18030769,-0.42529932,-0.18617201,0.085912906,-0.07846984,-3.1089454
9,0.20592308,-0.46825686,-0.23257752,0.16626324,-0.07846984,-3.1089454
10,0.23153846,-0.5990806,0.015817355,0.18475795,-0.07846984,-3.1089454
11,0.25715384,-0.63870066,0.19727379,0.41456684,-0.07846984,-3.1089454
12,0.28276923,-0.53780675,0.46061346,0.4026985,-0.07846984,-3.1089454
13,0.30838463,-0.21192567,0.4406878,0.5471656,-0.07846984,-3.1089454
14,0.334,0.13820384,0.28745425,0.82163906,-0.07846984,-3.1089454
15,0.3596154,0.18404669,0.27787262,0.7968811,-0.07846984,-3.1089454
16,0.38523078,0.10179621,-0.35518464,0.50150955,-0.07846984,-3.1089454
17,0.41084614,0.0972739,-0.84212947,0.62351376,-0.07846984,-3.1089454
18,0.43646154,0.02129727,-0.8030532,-0.06058813,-0.07846984,-3.1089454
19,0.46207693,-0.075193174,-0.43576226,-0.3286858,-0.07846984,-3.1089454
20,0.4876923,-0.002702727,0.630206,-0.7904182,-0.07846984,-3.1089454
21,0.5133077,-0.09888534,0.84275573,-0.9331062,-0.07846984,-3.1089454
22,0.5389231,-0.83057326,0.21070051,-0.09868155,-0.07846984,-3.1089454
23,0.5645385,-0.2977961,1.6868769,-0.74706155,-0.07846984,-3.1089454
24,0.5901538,-1.3153546,2.720361,-0.6509724,-0.07846984,-3.1089454
25,0.6157692,-2.591592,2.6866179,-0.5195669,-0.07846984,-3.1089454
26,0.6413846,1.0783228,2.620516,3.135826,-0.07846984,-3.1089454
27,0.667,-0.06030782,4.602603,2.9524882,-0.07846984,-3.1089454
28,0.6926154,0.1114565,5.710564,3.305864,-0.07846984,-3.1089454
29,0.7182308,-0.60978127,5.722845,-0.6075648,-0.07846984,-3.1089454
30,0.7438462,-0.5602865,3.8004858,3.9390845,-0.07846984,-3.1089454
31,0.7694615,-0.4599851,4.964183,1.043431,-0.07846984,-3.1089454
32,0.7950769,0.8529385,6.5401273,-0.17381321,-0.07846984,-3.1089454
33,0.8206923,-3.883575,9.212214,1.7778196,-0.07846984,-3.1089454
34,0.8463077,-5.6239047,2.4024608,1.6042866,-0.07846984,-3.1089454
35,0.8719231,3.608232,4.5986924,0.20947559,-0.07846984,-3.1089454
36,0.8975385,-2.2941232,6.484476,-4.2274184,-0.07846984,-3.1089454
37,0.9231538,5.491535,19.692608,-3.268342,-0.07846984,-3.1089454
38,0.9487692,22.66157,28.808695,-1.9174055,-0.07846984,-3.1089454
39,0.9743846,18.563791,32.339428,-16.81033,-0.07846984,-3.1089454
40,1.0,9.856848,17.329668,-30.174726,-0.07846984,-3.1089454
