index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,18.239107,15.683055
1,0.001,-0.040230755,0.011400037,-0.008892336,18.239107,15.683055
2,0.026615385,-0.05855387,-0.02012302,0.014599986,18.239107,15.683055
3,0.052230768,-0.10341537,-0.067738414,-0.0020307838,18.239107,15.683055
4,0.077846155,-0.117876895,-0.13838454,-0.062446184,18.239107,15.683055
5,0.10346154,-0.13830775,-0.075523004,-0.06992311,18.239107,15.683055
6,0.12907693,-0.13224614,-0.06579993,0.09199998,18.239107,15.683055
7,0.1546923,-0.2671077,-0.2568153,0.061907656,18.239107,15.683055
8,0.18030769,-0.3815539,-0.31479996,-0.013061579,18.239107,15.683055
9,0.20592308,-0.5243385,-0.24952301,-0.17700002,18.239107,15.683055
10,0.23153846,-0.6472462,-0.24999997,-0.22927698,18.239107,15.683055
11,0.25715384,-0.63866156,-0.06607691,-0.1384923,18.239107,15.683055
12,0.28276923,-0.90675384,0.0655847,-0.3275385,18.239107,15.683055
13,0.30838463,-0.9207231,0.12250776,-0.13566154,18.239107,15.683055
14,0.334,-0.83186156,-0.014692292,0.16118456,18.239107,15.683055
15,0.3596154,-1.187723,0.14023079,0.038307715,18.239107,15.683055
16,0.38523078,-1.8906616,0.47755396,0.01990766,18.239107,15.683055
17,0.41084614,-1.813415,0.5829693,-0.3134308,18.239107,15.683055
18,0.43646154,-1.3333077,0.49843088,-0.5930001,18.239107,15.683055
19,0.46207693,-1.6537999,1.0689694,-0.20961538,18.239107,15.683055
20,0.4876923,-1.7760772,0.98319995,0.04438457,18.239107,15.683055
21,0.5133077,-2.7708004,1.2793385,0.7996615,18.239107,15.683055
22,0.5389231,-3.8957849,1.143,0.8683385,18.239107,15.683055
23,0.5645385,-4.282615,1.5048153,1.6303384,18.239107,15.683055
24,0.5901538,-4.950446,2.2758002,0.6733385,18.239107,15.683055
25,0.6157692,-4.4430313,1.8649231,-0.51487696,18.239107,15.683055
26,0.6413846,-4.0174613,1.7388155,-1.0223078,18.239107,15.683055
27,0.667,-1.0670769,-0.7174461,1.6264305,18.239107,15.683055
28,0.6926154,-1.0409694,-2.9959998,1.7338153,18.239107,15.683055
29,0.7182308,-1.6016307,0.8647847,-0.84918463,18.239107,15.683055
30,0.7438462,-0.9191076,0.8587539,-2.416431,18.239107,15.683055
31,0.7694615,-2.3342152,1.6538769,-1.1988616,18.239107,15.683055
32,0.7950769,-5.8025084,1.7173537,-1.8625537,18.239107,15.683055
33,0.8206923,-12.428183,-3.3742614,-2.6169386,18.239107,15.683055
34,0.8463077,-16.491863,-1.6156306,1.9629999,18.239107,15.683055
35,0.8719231,-26.243341,-0.5514922,11.152753,18.239107,15.683055
36,0.8975385,-28.46875,4.4263544,8.92574,18.239107,15.683055
37,0.9231538,-24.783304,-2.7957382,12.879955,18.239107,15.683055
38,0.9487692,-32.15134,0.38873845,12.692462,18.239107,15.683055
39,0.9743846,-35.285233,13.016264,14.960139,18.239107,15.683055
40,1.0,-34.31872,26.814198,27.965725,18.239107,15.683055
