index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,20.923851,9.147765
1,0.001,-0.023551065,0.03513388,0.007173222,20.923851,9.147765
2,0.026615385,-0.064779535,0.10114174,0.057999946,20.923851,9.147765
3,0.052230768,-0.07529138,0.13451175,0.026976347,20.923851,9.147765
4,0.077846155,-0.12143305,0.19920468,0.0066141295,20.923851,9.147765
5,0.10346154,-0.2775905,0.32200786,0.17861414,20.923851,9.147765
6,0.12907693,-0.35881883,0.39714167,0.070212565,20.923851,9.147765
7,0.1546923,-0.3271495,0.4778661,0.057149563,20.923851,9.147765
8,0.18030769,-0.3602835,0.62565356,0.17459841,20.923851,9.147765
9,0.20592308,-0.6283622,0.7741969,0.180685,20.923851,9.147765
10,0.23153846,-0.74440944,0.8482204,0.20764564,20.923851,9.147765
11,0.25715384,-0.80985826,0.94629127,0.32481882,20.923851,9.147765
12,0.28276923,-0.86927557,1.1198896,0.5428661,20.923851,9.147765
13,0.30838463,-0.7564803,1.3541654,0.36070865,20.923851,9.147765
14,0.334,-1.3072757,1.7674489,0.58318895,20.923851,9.147765
15,0.3596154,-1.6854094,2.1678264,0.6841496,20.923851,9.147765
16,0.38523078,-1.837677,2.5423229,0.78361416,20.923851,9.147765
17,0.41084614,-2.714496,3.0906928,1.4861338,20.923851,9.147765
18,0.43646154,-3.7240624,3.1471019,1.6383072,20.923851,9.147765
19,0.46207693,-3.2715902,2.694819,2.3217716,20.923851,9.147765
20,0.4876923,-3.5844328,3.207,2.498205,20.923851,9.147765
21,0.5133077,-4.2890086,3.8438509,3.8334801,20.923851,9.147765
22,0.5389231,-5.871292,4.7211185,3.4765198,20.923851,9.147765
23,0.5645385,-5.4902506,4.5945992,4.1712365,20.923851,9.147765
24,0.5901538,-6.515897,5.6016617,4.6783314,20.923851,9.147765
25,0.6157692,-8.31951,4.465598,6.4677253,20.923851,9.147765
26,0.6413846,-8.523781,3.304709,5.4751644,20.923851,9.147765
27,0.667,-10.260984,2.2651575,9.5219145,20.923851,9.147765
28,0.6926154,-10.449086,0.95159835,11.521663,20.923851,9.147765
29,0.7182308,-12.652512,2.2825274,13.944686,20.923851,9.147765
30,0.7438462,-14.906301,2.6726065,14.397151,20.923851,9.147765
31,0.7694615,-12.735551,3.5841336,19.009771,20.923851,9.147765
32,0.7950769,-11.973512,5.117094,17.380684,20.923851,9.147765
33,0.8206923,-15.122858,3.3831258,18.175863,20.923851,9.147765
34,0.8463077,-7.059259,3.3149998,21.157883,20.923851,9.147765
35,0.8719231,-8.694292,5.156889,21.843723,20.923851,9.147765
36,0.8975385,-11.798292,19.38104,21.469616,20.923851,9.147765
37,0.9231538,-7.79774,12.77896,19.523605,20.923851,9.147765
38,0.9487692,-10.22837,3.982378,22.971207,20.923851,9.147765
39,0.9743846,-18.607565,-2.2927794,29.369328,20.923851,9.147765
40,1.0,-19.49307,-0.23969294,31.95218,20.923851,9.147765
