index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.61073595,0.00013461604
1,0.000100000005,-0.003070639,-0.0021865484,-0.0020492366,0.61073595,0.00013461604
2,0.00020000001,-0.006141278,-0.004373097,-0.004098473,0.61073595,0.00013461604
3,0.0003,-0.009211917,-0.0065596453,-0.00614771,0.61073595,0.00013461604
4,0.00040000002,-0.012282556,-0.008746194,-0.008196946,0.61073595,0.00013461604
5,0.0005,-0.015353194,-0.010932742,-0.010246183,0.61073595,0.00013461604
6,0.0006,-0.018423835,-0.013119291,-0.01229542,0.61073595,0.00013461604
7,0.00070000003,-0.021494472,-0.015305839,-0.014344656,0.61073595,0.00013461604
8,0.00080000004,-0.024565112,-0.017492387,-0.016393892,0.61073595,0.00013461604
9,0.00090000004,-0.02763575,-0.019678935,-0.018443128,0.61073595,0.00013461604
10,0.001,-0.030706389,-0.021865483,-0.020492366,0.61073595,0.00013461604
11,0.0035615386,-0.035233,-0.024007697,-0.019788388,0.835461,0.0038437387
12,0.006123077,-0.039759614,-0.02614991,-0.019084414,0.835461,0.0038437387
13,0.008684616,-0.044286225,-0.02829212,-0.018380439,0.835461,0.0038437387
14,0.011246154,-0.048812836,-0.030434333,-0.017676465,0.835461,0.0038437387
15,0.013807693,-0.053339448,-0.032576546,-0.016972488,0.835461,0.0038437387
16,0.016369231,-0.05786606,-0.03471876,-0.016268512,0.835461,0.0038437387
17,0.018930769,-0.06239267,-0.03686097,-0.015564537,0.835461,0.0038437387
18,0.021492308,-0.06691928,-0.039003182,-0.014860561,0.835461,0.0038437387
19,0.024053846,-0.07144589,-0.04114539,-0.014156586,0.835461,0.0038437387
20,0.026615385,-0.075972505,-0.043287605,-0.01345261,0.835461,0.0038437387
21,0.029176923,-0.080954455,-0.045067407,-0.020511936,1.4695121,0.008709613
22,0.03173846,-0.08593641,-0.04684721,-0.02757126,1.4695121,0.008709613
23,0.0343,-0.09091836,-0.04862701,-0.03463059,1.4695121,0.008709613
24,0.03686154,-0.09590031,-0.050406814,-0.04168991,1.4695121,0.008709613
