index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.4065758,0.025269758
1,0.000100000005,-0.00028614575,0.0039633685,0.0013663422,0.4065758,0.025269758
2,0.00020000001,-0.0005722915,0.007926737,0.0027326844,0.4065758,0.025269758
3,0.0003,-0.00085843727,0.011890106,0.004099027,0.4065758,0.025269758
4,0.00040000002,-0.001144583,0.015853474,0.0054653687,0.4065758,0.025269758
5,0.0005,-0.0014307287,0.019816842,0.0068317107,0.4065758,0.025269758
6,0.0006,-0.0017168745,0.023780212,0.008198054,0.4065758,0.025269758
7,0.00070000003,-0.0020030201,0.027743578,0.009564395,0.4065758,0.025269758
8,0.00080000004,-0.002289166,0.031706948,0.0109307375,0.4065758,0.025269758
9,0.00090000004,-0.0025753116,0.035670314,0.012297079,0.4065758,0.025269758
10,0.001,-0.0028614574,0.039633684,0.013663421,0.4065758,0.025269758
11,0.0035615386,-0.0055357083,0.04247725,0.006846594,1.3430365,0.57495624
12,0.006123077,-0.00820996,0.04532082,2.9767863e-05,1.3430365,0.57495624
13,0.008684616,-0.0108842105,0.048164386,-0.0067870608,1.3430365,0.57495624
14,0.011246154,-0.013558461,0.051007956,-0.013603886,1.3430365,0.57495624
15,0.013807693,-0.016232712,0.053851523,-0.020420713,1.3430365,0.57495624
16,0.016369231,-0.018906964,0.05669509,-0.027237542,1.3430365,0.57495624
17,0.018930769,-0.021581214,0.05953866,-0.03405437,1.3430365,0.57495624
18,0.021492308,-0.024255466,0.062382225,-0.040871195,1.3430365,0.57495624
19,0.024053846,-0.026929716,0.065225795,-0.04768802,1.3430365,0.57495624
20,0.026615385,-0.029603967,0.06806936,-0.05450485,1.3430365,0.57495624
21,0.029176923,-0.032259416,0.073910944,-0.05343554,2.0720768,0.9960947
22,0.03173846,-0.034914866,0.07975253,-0.052366238,2.0720768,0.9960947
23,0.0343,-0.037570313,0.08559412,-0.051296934,2.0720768,0.9960947
24,0.03686154,-0.040225763,0.0914357,-0.050227627,2.0720768,0.9960947
25,0.03942308,-0.04288121,0.09727728,-0.04915832,2.0720768,0.9960947
26,0.041984614,-0.04553666,0.10311887,-0.048089016,2.0720768,0.9960947
27,0.044546153,-0.048192106,0.10896045,-0.047019713,2.0720768,0.9960947
28,0.047107693,-0.050847556,0.11480203,-0.045950405,2.0720768,0.9960947
29,0.04966923,-0.053503003,0.120643616,-0.044881098,2.0720768,0.9960947
30,0.052230768,-0.056158453,0.1264852,-0.043811794,2.0720768,0.9960947
31,0.054792307,-0.06255153,0.11963074,-0.04603061,2.186645,1.2109497
32,0.057353847,-0.0689446,0.11277628,-0.048249424,2.186645,1.2109497
33,0.059915386,-0.07533768,0.10592182,-0.05046824,2.186645,1.2109497
34,0.062476926,-0.081730746,0.09906737,-0.052687056,2.186645,1.2109497
35,0.06503846,-0.08812381,0.09221291,-0.05490587,2.186645,1.2109497
36,0.0676,-0.094516896,0.08535845,-0.05712469,2.186645,1.2109497
