index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.46319398,0.01568145
1,0.000100000005,0.0019165537,-0.0034993072,-0.0014386184,-0.46319398,0.01568145
2,0.00020000001,0.0038331074,-0.0069986144,-0.0028772368,-0.46319398,0.01568145
3,0.0003,0.005749661,-0.010497922,-0.0043158554,-0.46319398,0.01568145
4,0.00040000002,0.007666215,-0.013997229,-0.0057544736,-0.46319398,0.01568145
5,0.0005,0.009582768,-0.017496536,-0.007193092,-0.46319398,0.01568145
6,0.0006,0.011499322,-0.020995844,-0.008631711,-0.46319398,0.01568145
7,0.00070000003,0.013415875,-0.024495149,-0.010070329,-0.46319398,0.01568145
8,0.00080000004,0.01533243,-0.027994458,-0.011508947,-0.46319398,0.01568145
9,0.00090000004,0.017248983,-0.031493764,-0.012947565,-0.46319398,0.01568145
10,0.001,0.019165536,-0.03499307,-0.014386184,-0.46319398,0.01568145
11,0.0035615386,0.016313808,-0.033119973,-0.0098130815,0.3399963,0.5576094
12,0.006123077,0.013462081,-0.03124687,-0.0052399803,0.3399963,0.5576094
13,0.008684616,0.010610351,-0.029373769,-0.0006668782,0.3399963,0.5576094
14,0.011246154,0.007758625,-0.02750067,0.003906223,0.3399963,0.5576094
15,0.013807693,0.0049068965,-0.025627568,0.008479325,0.3399963,0.5576094
16,0.016369231,0.0020551686,-0.02375447,0.013052427,0.3399963,0.5576094
17,0.018930769,-0.00079655927,-0.021881368,0.01762553,0.3399963,0.5576094
18,0.021492308,-0.0036482874,-0.02000827,0.02219863,0.3399963,0.5576094
19,0.024053846,-0.006500015,-0.018135168,0.026771734,0.3399963,0.5576094
20,0.026615385,-0.009351743,-0.016262067,0.031344835,0.3399963,0.5576094
21,0.029176923,-0.00850002,-0.014684136,0.028915871,0.2919568,0.85903424
22,0.03173846,-0.007648297,-0.0131062055,0.026486907,0.2919568,0.85903424
23,0.0343,-0.0067965738,-0.011528274,0.024057943,0.2919568,0.85903424
24,0.03686154,-0.005944851,-0.0099503435,0.02162898,0.2919568,0.85903424
25,0.03942308,-0.005093127,-0.008372412,0.019200016,0.2919568,0.85903424
26,0.041984614,-0.004241404,-0.006794481,0.016771052,0.2919568,0.85903424
27,0.044546153,-0.0033896808,-0.00521655,0.014342088,0.2919568,0.85903424
28,0.047107693,-0.0025379576,-0.0036386189,0.011913125,0.2919568,0.85903424
29,0.04966923,-0.0016862343,-0.0020606876,0.009484161,0.2919568,0.85903424
30,0.052230768,-0.00083451107,-0.00048275662,0.007055198,0.2919568,0.85903424
31,0.054792307,-0.010885535,-0.0023586187,0.0075145103,0.4046442,1.12977
32,0.057353847,-0.02093656,-0.0042344807,0.007973824,0.4046442,1.12977
33,0.059915386,-0.030987583,-0.006110342,0.008433136,0.4046442,1.12977
34,0.062476926,-0.041038606,-0.007986205,0.00889245,0.4046442,1.12977
35,0.06503846,-0.05108963,-0.009862066,0.009351762,0.4046442,1.12977
36,0.0676,-0.061140656,-0.011737928,0.009811075,0.4046442,1.12977
37,0.07016154,-0.071191676,-0.01361379,0.010270387,0.4046442,1.12977
38,0.072723076,-0.0812427,-0.015489652,0.0107297,0.4046442,1.12977
39,0.075284615,-0.09129372,-0.017365513,0.011189013,0.4046442,1.12977
40,0.077846155,-0.10134475,-0.019241376,0.011648326,0.4046442,1.12977
41,0.08040769,-0.10163164,-0.018155854,0.016535914,0.3128799,1.2741513
42,0.08296923,-0.101918556,-0.017070334,0.021423502,0.3128799,1.2741513
43,0.08553077,-0.10220545,-0.015984815,0.02631109,0.3128799,1.2741513
44,0.08809231,-0.102492355,-0.014899293,0.031198679,0.3128799,1.2741513
45,0.09065385,-0.102779254,-0.013813773,0.036086265,0.3128799,1.2741513
46,0.09321539,-0.103066154,-0.012728252,0.040973857,0.3128799,1.2741513
47,0.09577692,-0.10335305,-0.011642732,0.045861438,0.3128799,1.2741513
48,0.09833847,-0.10363996,-0.010557211,0.05074903,0.3128799,1.2741513
49,0.100899994,-0.103926845,-0.00947169,0.05563661,0.3128799,1.2741513
50,0.10346154,-0.10421375,-0.00838617,0.060524203,0.3128799,1.2741513
51,0.10602307,-0.10237582,-0.0013041031,0.055218678,0.27448627,1.5031385
52,0.10858463,-0.1005379,0.0057779625,0.04991316,0.27448627,1.5031385
53,0.11114616,-0.09869997,0.01286003,0.044607636,0.27448627,1.5031385
54,0.1137077,-0.09686205,0.019942094,0.039302118,0.27448627,1.5031385
55,0.11626923,-0.09502411,0.027024161,0.033996597,0.27448627,1.5031385
56,0.118830785,-0.093186185,0.03410623,0.028691074,0.27448627,1.5031385
57,0.12139231,-0.09134826,0.041188292,0.023385553,0.27448627,1.5031385
58,0.12395386,-0.08951034,0.04827036,0.018080031,0.27448627,1.5031385
59,0.12651539,-0.0876724,0.055352423,0.012774508,0.27448627,1.5031385
60,0.12907693,-0.08583447,0.06243449,0.0074689873,0.27448627,1.5031385
61,0.13163847,-0.09401585,0.07172829,0.01389037,0.9581617,1.6384192
62,0.1342,-0.102197245,0.08102209,0.020311752,0.9581617,1.6384192
63,0.13676155,-0.11037862,0.09031589,0.026733134,0.9581617,1.6384192
64,0.13932309,-0.11856,0.09960969,0.033154517,0.9581617,1.6384192
65,0.14188462,-0.12674138,0.10890349,0.039575897,0.9581617,1.6384192
66,0.14444616,-0.13492277,0.11819729,0.04599728,0.9581617,1.6384192
67,0.1470077,-0.14310414,0.12749109,0.05241866,0.9581617,1.6384192
68,0.14956923,-0.15128553,0.1367849,0.058840048,0.9581617,1.6384192
69,0.15213077,-0.15946689,0.14607869,0.06526142,0.9581617,1.6384192
70,0.1546923,-0.16764829,0.15537249,0.07168281,0.9581617,1.6384192
71,0.15725383,-0.15236,0.13800834,0.052302808,-0.049686432,2.0818949
72,0.15981539,-0.13707173,0.120644204,0.03292281,-0.049686432,2.0818949
73,0.16237693,-0.12178345,0.10328005,0.013542805,-0.049686432,2.0818949
74,0.16493845,-0.10649518,0.08591592,-0.005837191,-0.049686432,2.0818949
75,0.16749999,-0.0912069,0.06855177,-0.02521719,-0.049686432,2.0818949
76,0.17006153,-0.07591862,0.05118763,-0.044597194,-0.049686432,2.0818949
77,0.17262307,-0.060630344,0.03382349,-0.06397719,-0.049686432,2.0818949
78,0.17518461,-0.045342065,0.016459342,-0.08335719,-0.049686432,2.0818949
79,0.17774615,-0.030053787,-0.0009047985,-0.10273719,-0.049686432,2.0818949
80,0.18030769,-0.014765509,-0.018268943,-0.12211719,-0.049686432,2.0818949
81,0.18286921,-0.0035199923,0.0013400204,-0.11583305,0.84937376,2.492556
82,0.18543077,0.007725524,0.02094898,-0.10954893,0.84937376,2.492556
83,0.1879923,0.01897104,0.040557947,-0.10326479,0.84937376,2.492556
84,0.19055384,0.030216556,0.060166907,-0.09698066,0.84937376,2.492556
85,0.19311538,0.04146207,0.07977587,-0.09069651,0.84937376,2.492556
86,0.19567692,0.05270759,0.09938484,-0.08441238,0.84937376,2.492556
87,0.19823846,0.0639531,0.11899379,-0.07812825,0.84937376,2.492556
88,0.2008,0.07519862,0.13860275,-0.071844116,0.84937376,2.492556
89,0.20336153,0.08644413,0.15821171,-0.065559976,0.84937376,2.492556
90,0.20592308,0.09768965,0.17782068,-0.059275843,0.84937376,2.492556
91,0.2084846,0.1079862,0.16977102,-0.055942737,0.7334881,2.7132616
92,0.21104616,0.118282765,0.16172138,-0.052609637,0.7334881,2.7132616
93,0.2136077,0.12857932,0.15367171,-0.049276527,0.7334881,2.7132616
94,0.21616924,0.13887587,0.14562207,-0.045943428,0.7334881,2.7132616
95,0.21873078,0.14917241,0.13757241,-0.04261032,0.7334881,2.7132616
96,0.22129232,0.15946898,0.12952277,-0.03927722,0.7334881,2.7132616
97,0.22385384,0.16976553,0.121473104,-0.03594411,0.7334881,2.7132616
98,0.2264154,0.18006207,0.11342345,-0.03261101,0.7334881,2.7132616
99,0.2289769,0.19035862,0.1053738,-0.029277906,0.7334881,2.7132616
100,0.23153846,0.20065518,0.09732415,-0.025944801,0.7334881,2.7132616
101,0.23409998,0.20829172,0.07854414,-0.039814454,1.1281855,3.034151
102,0.23666155,0.21592829,0.059764147,-0.053684108,1.1281855,3.034151
103,0.23922308,0.22356483,0.04098414,-0.06755376,1.1281855,3.034151
104,0.24178462,0.23120138,0.022204142,-0.08142341,1.1281855,3.034151
105,0.24434614,0.23883793,0.0034241378,-0.09529306,1.1281855,3.034151
106,0.24690771,0.2464745,-0.015355866,-0.10916272,1.1281855,3.034151
107,0.24946922,0.25411105,-0.034135863,-0.12303237,1.1281855,3.034151
108,0.25203076,0.2617476,-0.05291587,-0.13690202,1.1281855,3.034151
109,0.2545923,0.26938415,-0.071695864,-0.15077168,1.1281855,3.034151
110,0.25715384,0.2770207,-0.09047587,-0.16464132,1.1281855,3.034151
111,0.25971538,0.27088413,-0.124998614,-0.14911236,1.3685807,3.1053724
112,0.26227692,0.2647476,-0.15952137,-0.1335834,1.3685807,3.1053724
113,0.26483846,0.25861102,-0.19404413,-0.11805443,1.3685807,3.1053724
114,0.26740003,0.2524745,-0.22856687,-0.10252546,1.3685807,3.1053724
115,0.26996154,0.24633792,-0.26308963,-0.08699649,1.3685807,3.1053724
116,0.2725231,0.24020138,-0.2976124,-0.071467526,1.3685807,3.1053724
117,0.2750846,0.23406482,-0.3321351,-0.05593856,1.3685807,3.1053724
118,0.27764615,0.22792828,-0.36665785,-0.040409595,1.3685807,3.1053724
119,0.2802077,0.2217917,-0.40118062,-0.024880629,1.3685807,3.1053724
120,0.28276923,0.21565516,-0.43570337,-0.009351661,1.3685807,3.1053724
121,0.28533077,0.17859516,-0.38568544,0.0044573005,0.35822546,3.2009914
122,0.2878923,0.14153518,-0.3356675,0.018266262,0.35822546,3.2009914
123,0.29045385,0.10447517,-0.28564957,0.032075226,0.35822546,3.2009914
124,0.29301542,0.06741518,-0.23563166,0.045884185,0.35822546,3.2009914
125,0.29557693,0.030355185,-0.18561372,0.059693146,0.35822546,3.2009914
126,0.2981385,-0.0067048073,-0.13559578,0.07350211,0.35822546,3.2009914
127,0.3007,-0.0437648,-0.08557787,0.08731107,0.35822546,3.2009914
128,0.30326155,-0.08082481,-0.035559926,0.10112003,0.35822546,3.2009914
129,0.3058231,-0.11788479,0.014458001,0.11492899,0.35822546,3.2009914
130,0.30838463,-0.15494479,0.06447593,0.12873796,0.35822546,3.2009914
131,0.31094617,-0.1718703,0.05436834,0.13278002,0.6455536,3.5682523
132,0.3135077,-0.18879583,0.04426075,0.1368221,0.6455536,3.5682523
133,0.31606925,-0.20572135,0.03415316,0.14086416,0.6455536,3.5682523
134,0.31863078,-0.22264686,0.024045572,0.14490624,0.6455536,3.5682523
135,0.32119232,-0.23957238,0.013937982,0.14894831,0.6455536,3.5682523
136,0.32375386,-0.2564979,0.003830392,0.15299039,0.6455536,3.5682523
137,0.3263154,-0.2734234,-0.006277196,0.15703245,0.6455536,3.5682523
138,0.3288769,-0.29034892,-0.016384788,0.16107452,0.6455536,3.5682523
139,0.33143845,-0.3072744,-0.026492378,0.16511658,0.6455536,3.5682523
140,0.334,-0.32419994,-0.036599968,0.16915865,0.6455536,3.5682523
141,0.33656153,-0.32827994,-0.00353376,0.114055194,0.4605563,4.0102696
142,0.33912307,-0.33235994,0.029532446,0.05895175,0.4605563,4.0102696
143,0.3416846,-0.33643997,0.06259866,0.0038482994,0.4605563,4.0102696
144,0.34424615,-0.34051996,0.09566486,-0.051255144,0.4605563,4.0102696
145,0.3468077,-0.34459996,0.12873107,-0.106358595,0.4605563,4.0102696
146,0.34936923,-0.34867996,0.16179729,-0.16146205,0.4605563,4.0102696
147,0.35193077,-0.35275996,0.19486348,-0.21656549,0.4605563,4.0102696
148,0.3544923,-0.35683995,0.2279297,-0.27166897,0.4605563,4.0102696
149,0.35705385,-0.36091995,0.2609959,-0.3267724,0.4605563,4.0102696
150,0.3596154,-0.36499995,0.2940621,-0.38187584,0.4605563,4.0102696
151,0.36217692,-0.38587442,0.30000347,-0.40952548,0.94152653,4.469062
152,0.36473846,-0.40674892,0.30594486,-0.43717515,0.94152653,4.469062
153,0.3673,-0.4276234,0.31188625,-0.46482483,0.94152653,4.469062
154,0.36986154,-0.4484979,0.31782764,-0.4924745,0.94152653,4.469062
155,0.37242308,-0.46937236,0.323769,-0.52012414,0.94152653,4.469062
156,0.37498462,-0.49024683,0.3297104,-0.54777384,0.94152653,4.469062
